Atlas_Number,Dating_Type,Dating_Comments
2342,Artefactual,Penbryn spoons and cinerary urns.
2359,Artefactual,"Finds from roundhouses included nails, coal fragments and a broken amber bead, possibly indicating Romano-British period."
2360,Artefactual,Pottery and coin.
2414,Artefactual,null
2415,Artefactual,null
2415,C14,null
2416,Artefactual,null
2416,Morphology/Earthwork/Typology,null
2418,Artefactual,null
2419,Artefactual,null
2420,Artefactual,null
2420,Morphology/Earthwork/Typology,null
2426,Artefactual,"Early Iron Age and Roman pottery, non of latter later than c. 75 AD."
2429,Artefactual,Finds indicate mid 2nd century BC to early 2nd century AD.
2430,Morphology/Earthwork/Typology,Possibly late Iron Age.
2435,C14,C14 date of c. 400 BC for end.
2436,Artefactual,iron Age pottery.
2438,Artefactual,Wattle and daub.
2438,C14,C14 date of second phase of the round house gave a date of about 2350 BP.
2440,Artefactual,null
2440,C14,null
2442,Artefactual,null
2449,Other,Estate plan of 1797
2456,Artefactual,null
2457,Artefactual,Iron Age pottery.
2461,Artefactual,Material dating to the early medieval period from the later occupation
2461,C14,Six dates
2466,Artefactual,Large early medieval assemblage
2466,C14,Eighteen dates from various contexts
2466,Other,Literary
2468,Morphology/Earthwork/Typology,Motte
2472,Morphology/Earthwork/Typology,null
2488,Artefactual,null
2494,Artefactual,Pottery and beads
2496,Artefactual,null
2541,C14,null
2548,Artefactual,null
2551,Morphology/Earthwork/Typology,Architectural features in the ground-plan
2553,Artefactual,null
2567,Morphology/Earthwork/Typology,null
2574,Artefactual,null
2575,Artefactual,null
2576,Artefactual,null
2577,Artefactual,null
2578,Artefactual,null
2578,C14,null
2579,Artefactual,null
2595,Artefactual,null
2597,Artefactual,null
2616,C14,null
2621,Artefactual,Interpretation from excavations.
2621,C14,null
2621,Morphology/Earthwork/Typology,Interpretation from excavations.
2625,Artefactual,"E-ware, glass boss and beaker, silvered bronze dangle; mould fragments"
2625,C14,"Ten dates, and five from a structural timber for wiggle matching"
2625,Other,Documentary sources
2642,C14,Two dates
2646,C14,Fourteen dates
2648,C14,Three dates
2650,Artefactual,Roman goods
2650,C14,Not yet published
2650,Morphology/Earthwork/Typology,Broch within the interior
2658,Artefactual,"Flints, jet, iron 'lance head' Roman pottery, coin."
2658,C14,Two samples
2661,Artefactual,Assemblage fro excavation
2661,C14,Five radiocarbon dates
2661,Other,Documentary
2668,Artefactual,null
2668,C14,Nine dates
2674,Artefactual,"Neolithic flints, late Bronze Age, Early Iron Age pottery sherds."
2674,C14,Three samples taken
2674,Morphology/Earthwork/Typology,null
2675,Artefactual,null
2682,Artefactual,null
2734,Artefactual,null
2734,C14,null
2757,Artefactual,Pottery
2759,Other,Historical
2760,Artefactual,Ceramics
2760,C14,Eight radiocarbon dates from seeds
2772,Artefactual,null
2780,C14,"Five dates in all, one apparently a contaminated re-run sample"
2782,Morphology/Earthwork/Typology,Identification as a monastic site
2796,Artefactual,null
2809,Morphology/Earthwork/Typology,Castle with mortared masonry
2813,Morphology/Earthwork/Typology,null
2820,Artefactual,Roman items from various contexts
2824,Morphology/Earthwork/Typology,Castle
2827,Morphology/Earthwork/Typology,Castle
2840,Artefactual,null
2840,C14,null
2846,Artefactual,Roman objects recovered from the excavations
2849,Artefactual,null
2850,Morphology/Earthwork/Typology,null
2851,Artefactual,Early to middle IA pottery
2851,C14,3rd century BC to early 1st century AD
2855,Morphology/Earthwork/Typology,null
2858,Artefactual,null
2860,Artefactual,null
2861,Artefactual,null
2863,Artefactual,Pottery
2864,Artefactual,null
2864,C14,Five old radiocarbon dates
2879,Artefactual,null
2879,C14,Eight dates from stratified deposits extending into the High Middle Ages
2879,Other,Documentary
2896,Artefactual,"A bronze pin from the earlier occupation phase; sherds of E ware, a mould for the escutcheon of an early medieval hanging bowl from the upper."
2896,C14,Seven 'old dates' with very wide probabilities; new work provides another six dates but these have yet to be published
2912,C14,Seven Radiocarbon dates
2925,Artefactual,Various uncontexted finds
2925,C14,Five dates currently available
2926,Morphology/Earthwork/Typology,null
2929,C14,null
2935,Morphology/Earthwork/Typology,Look more likely as castle defences
2938,Other,Erroneous thermoluminescence date (Sanderson et al 1988)
2941,Artefactual,wide-ranging assemblage
2941,C14,Unpublished dates
2945,Artefactual,null
2945,C14,Eleven dates are available
2946,Morphology/Earthwork/Typology,Motte-like
2954,Artefactual,Roman coin hoard and pottery.
2956,Artefactual,Two brooch moulds and one pin mould
2956,C14,Two dates
2957,C14,A single radiocarbon date from an evaluation of the defences
2958,C14,null
2959,C14,Two radiocarbon dates from hazel rod samples beneath and within the collapse of the vitrified wall
2959,Other,Six archaeomagnetic dates from vitrifaction
2961,C14,Two radiocarbon dates
2962,Artefactual,"Crucibles and metalworking, decorated glass and a glass bead"
2962,C14,Three radiocarbon dates
2965,C14,Two dates
2968,Artefactual,null
2968,C14,null
2968,Morphology/Earthwork/Typology,null
2969,Artefactual,null
2969,C14,null
2969,Morphology/Earthwork/Typology,null
2970,Artefactual,null
2972,Artefactual,null
2972,Morphology/Earthwork/Typology,null
2981,C14,Two dates
2982,Artefactual,Late Roman sherds and a LBA tanged chisel
2982,C14,Eleven old radiocarbon dates
2983,Artefactual,Enamelled button
2983,Other,Supposed documentary reference
2990,Artefactual,"Finds said to be Roman recovered in the 18th century, but unverified"
2994,C14,Dates have yet to be published
2995,Artefactual,Possible Iron Age pottery and Samien ware
2997,Artefactual,null
3002,Artefactual,"Mesolithic fints including microliths, cores and flakes. Earlier Neolithic flint arrowheads, scrapers and stone axes, plus some sherds of Peterborough Ware. Grooved Ware and Beaker sherds associated with the henge. Earlier Bronze Age flint implements and food vessel sherds. Artefacts and other finds of mid-to-late Bronze Age, including evidence for metalworking activity."
3006,Artefactual,Unknown
3009,C14,Unpublished dates
3011,C14,Unpublished dates
3020,Artefactual,null
3020,C14,null
3021,Artefactual,null
3023,Artefactual,null
3023,C14,null
3024,Artefactual,null
3024,C14,null
3025,Artefactual,null
3030,Artefactual,Bronze spiral finger ring
3031,Morphology/Earthwork/Typology,null
3032,Artefactual,null
3032,C14,null
3033,C14,null
3034,C14,Not yet published
3035,Other,"Moncrieffe was considered to be possibly derived from Monad Croib (Monad Craebi), site of a battle fort AD 728 (Watson 1926, 400-1)"
3042,Artefactual,The inner rampart incorporates Gourdie stone robbed from the adjacent legionary fortress after AD 87.
3045,Other,Documentary
3059,C14,Unreliable due to the context of the dates themselves.
3062,Other,"Possibly to be correlated with Dunsion in Pictish Regnal lists (Alcock 1981, 173-4)"
3068,C14,Five radiocarbon dates from various contexts
3070,Artefactual,Extensive assemblage from the broch and souterrain contexts providing a pre-Roman Iron Age context for the promontory enclosure.
3081,Artefactual,Range of artefacts but not from secure contexts
3082,Morphology/Earthwork/Typology,Broch overlies
3083,Artefactual,None distinctive
3083,C14,Three old radiocarbon dates with wide standard errors
3083,Other,TL dates in the mid 1st millennium AD (Sanderson et al 1988)
3085,C14,Thirteen radiocarbon dates
3086,C14,Four radiocarbon dates
3088,Artefactual,null
3093,Artefactual,null
3096,Artefactual,null
3097,Artefactual,null
3101,C14,Five old dates
3111,Artefactual,Five Pictish symbol stones found
3112,Other,Documentary
3120,Artefactual,Incised bull on a small slab
3125,Artefactual,null
3125,C14,Five dates spanning AD 390-880
3135,Artefactual,null
3136,Artefactual,null
3136,C14,null
3145,Artefactual,Iron Age pottery
3145,C14,null
3145,Morphology/Earthwork/Typology,null
3146,Artefactual,Pottery
3147,Artefactual,null
3147,Morphology/Earthwork/Typology,null
3149,Artefactual,Iron Age pottery
3155,Artefactual,null
3164,Morphology/Earthwork/Typology,null
3183,Morphology/Earthwork/Typology,null
3184,C14,C14 date of 3950-3780 from wood charcoal above bedrock. Charcoal-rich silt of inner face of earliest rampart dated to 1435-1320 BC. Late bronze Age C14 dates of 1250-1050 BC from wood charcoal higher up sequence. Grains of charred wheat from interior posthole C14 dated to 210-90 BC.
3184,Morphology/Earthwork/Typology,General features show similarities to other Cheshire hillforts.
3185,Artefactual,Pottery and other evidence.
3185,C14,null
3185,Other,Archaeomagnetic date of 510-290 BC.
3186,Other,OSL
3187,Artefactual,null
3187,C14,C14 dates of barley grains of 770-410 BC and middle Iron Age C14 dates of 360-160 BC and 410-385 BC.
3188,C14,"C14 dates of 1000-840 BC from charcoal from base of rampart. C14 dates of AD 1020-1160 from wood charcoal from early ditch and of AD 990-1120 and AD 690-890 from charcoal-filled pits suggest possible re-fortification in late Mercian or early Norman period. Excavation 2011 suggested that ditch post-medieval, with C14 dates of 17th or 18th century for fill."
3189,C14,"C14 dates of J. Taylor never fully published, but dates from outer rampart of 380-10 BC and 405-390 BC and dates from inner rampart of range 860-330 BC."
3190,Artefactual,Neolithic finds.
3193,Artefactual,Deposit evidence.
3193,Morphology/Earthwork/Typology,General morphology of site.
3199,Artefactual,Pottery and many other artefacts.
3199,C14,"C14 dates from roundhouse features produced dates between 520BC and 380BC, 410BC and 360BC and 280BC and 240BC. Another date from charcoal from inner ditch 830 BC to 190 BC."
3199,Morphology/Earthwork/Typology,General features.
3200,Artefactual,Cheshire VCP and Romano-British coarseware pottery.
3200,C14,C14 gave date range of c. 500 BC to c. AD 200.
3201,Artefactual,LATE IRON Age pottery.
3201,C14,Earliest date range of 550 to 350 cal BC and a latest range of 47 to 247 cal AD.
3218,Artefactual,Pottery support dates.
3218,C14,2nd century BC - 1st century AD initial phase with re-occupation and raising of interior 7th and into 8th century AD.
3219,Artefactual,Late Bronze Age pottery.
3219,C14,C.14 date of 523+84 (uncalibrated) came from a second phase hearth in Hut D which was excavated in 1968.
3221,C14,Early medieval date from charcoal.
3223,Artefactual,First century BC or first century AD finds.
3223,Morphology/Earthwork/Typology,"Early medieval norse-type longhouse, possible fifth or sixth century AD."
3224,Morphology/Earthwork/Typology,Probably Iron Age origin with later Viking longhouse.
3240,Artefactual,Casual discovery of a Roman coin
3252,Morphology/Earthwork/Typology,null
3282,Artefactual,Roman diamond-broached stones are incorporated into the latest ramparts
3294,Artefactual,"Ring-headed pin, the spring from a La Tene 1c brooch and saddle querns indicate an early Iron Age occupation (Harding 2004, 57), and a blue glass bead considered by Piggott to be early medieval can no longer be regarded as diagnostic (Harding 2004, 204)"
3295,Artefactual,Pottery
3296,Artefactual,null
3296,Morphology/Earthwork/Typology,null
3297,Artefactual,null
3298,Artefactual,null
3298,Morphology/Earthwork/Typology,null
3299,Artefactual,null
3300,Artefactual,null
3315,Artefactual,null
3316,Artefactual,"Pottery, Bronze Age metal artefacts"
3316,C14,Green (1981)
3327,Artefactual,"Roman pottery, fibula, glass bead and glass armlets relate to an Roman Iron Age occupation"
3327,C14,Thirteen radiocarbon dates split between the Late Bronze Age and the Roman Iron Age
3328,Artefactual,Flavian pottery from under a collapsed wall
3340,C14,Date of AD 878-1017.
3344,Artefactual,Pottery and bronze figurines.
3350,Artefactual,"Early Iron Age pottery, middle Iron Age SWD ware and piece of late Iron Age plain ware."
3352,Artefactual,Lithics and pottery.
3352,C14,Neolithic to middle Iron Age dates.
3353,Artefactual,Early Iron Age pottery.
3353,C14,HAR S235 1930+/- 200BP.
3354,Artefactual,Pottery.
3356,Artefactual,Pottery and bead.
3359,Morphology/Earthwork/Typology,Unusual rectangular shape for hillfort.
3364,C14,null
3366,Morphology/Earthwork/Typology,Likely to be a medieval ringwork
3368,Artefactual,Limited range of items include a glass bead
3368,C14,"Eight radiocarbon dates, mainly from internal houses"
3368,Other,Thermo-luminescence dates were also obtained
3371,Artefactual,Series of finds relating to the Roman Iron Age occupation
3382,Morphology/Earthwork/Typology,null
3399,Artefactual,Early Iron Age pottery. Romano-British and earlier material.
3399,Morphology/Earthwork/Typology,Late Bronze Age/Iron Age multi-phase site.
3401,Artefactual,Roman items from the overlying settlement
3403,Artefactual,Pottery suggest late Bronze Age/early Iron Age date.
3403,C14,"Sequence from 16 C14 dates, one of very few sequences of dates determined for hillfort in Devon."
3403,Morphology/Earthwork/Typology,Palisade trenches.
3411,Morphology/Earthwork/Typology,Nuclear fort
3422,Artefactual,Middle Iron Age glass bead.
3422,C14,Middle Iron Age dates.
3425,Artefactual,null
3440,Artefactual,"The suggestion that the spearhead is a Hallstatt import (Ritchie 1970, 53, 60) should be discarded (information from Fraser Hunter)"
3441,Artefactual,Pottery
3441,Morphology/Earthwork/Typology,null
3442,Artefactual,null
3442,Morphology/Earthwork/Typology,null
3443,Artefactual,null
3443,Morphology/Earthwork/Typology,null
3446,Artefactual,null
3448,Artefactual,null
3448,Morphology/Earthwork/Typology,null
3450,Artefactual,Pottery
3451,Artefactual,null
3462,Artefactual,Late Roman or post Roman.
3462,Morphology/Earthwork/Typology,Late Roman and medieval earthworks.
3467,Artefactual,"Evidence of Roman activity, with finding of glandis (sling bullets)."
3474,Morphology/Earthwork/Typology,Construction details.
3483,Artefactual,Pottery
3510,Artefactual,null
3517,Artefactual,null
3523,Artefactual,null
3525,C14,null
3526,Artefactual,Pottery
3526,C14,null
3526,Other,OSL
3527,Artefactual,null
3533,Artefactual,Pottery
3542,Artefactual,Roman goods from overlying contexts
3558,Artefactual,null
3569,Artefactual,null
3580,Artefactual,Late Iron Age pottery. Roundhouse sites.
3580,Morphology/Earthwork/Typology,Morphology suggests probably Iron Age to Romano-British date.
3582,Artefactual,Pottery suggests construction in mid first millennium BC.
3583,Artefactual,Hoard.
3584,Artefactual,"Iron Age and Roman sherds and metalwork, animal bone and burnt daub"
3585,Artefactual,Iron Age and Roman pottery was found.
3585,Morphology/Earthwork/Typology,"Recent geophysical and lidar surveys 2006, revealed D-shaped Neolithic causewayed enclosure forming basis of site, which continued in use, evolving in form, up until Iron Age."
3585,Other,Road-widening section of inner enclosure bank suggested scraped up after 2nd century AD.
3587,Morphology/Earthwork/Typology,Excavations.
3588,Artefactual,Iron Age sherds.
3590,Artefactual,null
3591,Artefactual,Late Roman pottery and building debris.
3592,Artefactual,Finds from Neolithic onwards. Dating evidence of 3rd-1st centuries BC.
3593,Artefactual,Iron Age pottery.
3594,Artefactual,Many dateable finds.
3595,Artefactual,Many dateable finds from Iron Age through to Roman period.
3598,Artefactual,Many dateable finds.
3598,C14,15 C14 dates.
3603,Artefactual,"Ceramics of mainly middle Iron Age South-Western decorated form, but later bead-rimmed plain wares also. Coin of Gallo-Belgic XV found."
3604,Artefactual,Roman and Iron Age pottery.
3605,Artefactual,Chance early and late Iron Age sherds.
3606,Artefactual,Iron Age pottery.
3607,Artefactual,7th century AD iron objects.
3607,Morphology/Earthwork/Typology,null
3612,Artefactual,Iron Age pottery
3612,Artefactual,Mesolithic and Neolithic flint
3612,C14,Single radiocarbon date
3617,Artefactual,Pottery
3691,Artefactual,null
3694,Artefactual,Pottery
3698,Artefactual,"Stray finds of a gold stud cap and several fragments of moulds of early medieval date are reported by Feachem (1963, 136-7)"
3698,Morphology/Earthwork/Typology,Supposed 'nuclear fort'
3699,C14,Eleven old radiocarbon dates
3713,Artefactual,"Extensive assemblage of Roman goods, including over 50 vessels, two sherds of glass and several brooches, the overwhelming majority of which dates from the 1st / 2nd century AD, with two fine ware sherds and a fragment of glass probably being later. Early medieval material from the upper levels of the middens, which also contained occasional Roman sherds, was restricted to three items"
3713,C14,"Eight radiocarbon dates, and while the earliest from the LBA pits seems secure, the contexts of the other seven, spanning from 2nd century BC to the 7th century AD suggest very mixed deposits in the middens overlying the remains of round-houses"
3713,Other,Documentary; appears in the Gododdin and in annal entries
3720,Artefactual,Itaglio found within the interior
3721,Artefactual,Roman glass fragments
3723,Morphology/Earthwork/Typology,Norse Buildings
3728,Artefactual,Iron Age and Romano-British pottery.
3729,Artefactual,Pottery sherds of Iron Age and early second century AD.
3730,Artefactual,Many dateable finds including middle Iron Age pottery.
3730,Morphology/Earthwork/Typology,Excavation showed complex morphology from Iron Age to 12th century AD.
3732,Artefactual,Pottery evidence.
3733,Artefactual,null
3734,Artefactual,Dating of pottery sherds buried beneath ramparts.
3734,Other,"Forging hearth and baking oven, both constructed within clay make-up of rampart, dated by archaeomagnetic techniques to mid 1st century BC."
3736,Artefactual,null
3739,Artefactual,Iron Age pottery.
3739,Morphology/Earthwork/Typology,Excavation evidence.
3741,Artefactual,null
3743,Artefactual,"Fragments of bone, pottery sherds of c. ninth and tenth centuries BC, and worked flint found in ditch fills of Bronze Age enclosure. Pottery excavated hillfort suggests construction during the sixth century BC and continued in use until the mid third century BC."
3744,Artefactual,"Excavations found burnt clay, charcoal, pieces of iron ore and a hearth probably of the last century BC, with fragments of early Iron Age pottery. Fragments of Romano-British and medieval pottery also found."
3745,Artefactual,Pottery assemblages.
3746,Artefactual,Early Iron Age pottery.
3747,Artefactual,"Early to middle Iron Age pottery found during excavations 1953-5, together with Roman finds and a flint knife."
3748,Artefactual,Analysis of pottery sherds and refuse pits.
3748,C14,Date of 760+/-190 cal BC.
3749,Artefactual,Middle Iron Age saucepan pottery from pits.
3749,C14,C14 dates of flint mine evidence indicate activity on the site from c. 3600 BC.
3749,Morphology/Earthwork/Typology,General features.
3750,Artefactual,Beaker pottery. Finds from outer rampart 1995 excavation suggest late Neolithic origin.
3751,Artefactual,Pottery dating.
3771,Artefactual,null
3771,C14,null
3772,Artefactual,null
3773,Artefactual,null
3773,C14,null
3774,C14,null
3783,Artefactual,"Coin of Trajan, a brooch and a patera"
3789,Artefactual,Iron Age pottery and possible Samian ware.
3789,Morphology/Earthwork/Typology,Various features associated with phases.
3791,Artefactual,Iron Age and possibly Bronze Age pottery and Neolithic material.
3793,Morphology/Earthwork/Typology,Possibly early Iron Age.
3796,Morphology/Earthwork/Typology,Ditch possibly recut at end of Iron Age.
3797,Artefactual,Lower Iron Age pottery and ring-headed pin.
3801,Artefactual,"Iron Age, Roman and medieval pottery."
3808,Artefactual,Iron Age pottery - date unknown.
3812,Artefactual,Early and middle Iron Age pottery and other domestic items.
3812,Morphology/Earthwork/Typology,Defences refurbished in post-Roman or early Saxon period.
3813,Artefactual,Late Iron Age pottery recovered from the ditch on 1931 excavations. Coin of Eppaticus.
3817,Artefactual,Finds dating construction to early Iron Age c. 550 BC.
3817,C14,Six C14 dates.
3822,Artefactual,null
3823,Artefactual,null
3827,Artefactual,Earliest diagnostic sherds haematite coated 'scratched cordoned bowls' of later 6th and 5th centuries BC. Others indicate activity during the 1st century BC through to later Roman period.
3828,Artefactual,Much dateable pottery assemblages.
3828,C14,null
3831,Artefactual,Pottery of fifth and fourth century BC.
3833,Artefactual,Pottery
3833,C14,"Seven C14 samples of antler, charcoal and human bone."
3836,Artefactual,Haematite coated pottery from earlier enclosure suggesting middle Iron Age 5th to 3rd century date. In later enclosure assemblage dominated by saucepan pots of late Iron Age 2nd to 1st century BC.
3836,C14,"Fifteen C14 dates, 200 BC to 120/100 BC."
3840,Artefactual,"Bronze Age, Iron Age and Roman pottery."
3841,Artefactual,Iron Age and Roman pottery.
3843,Artefactual,Artefacts covering entire occupation of site.
3852,C14,"Seven radiocarbon dates from evaluations, ranging from 7th century BC to the 4th century AD"
3857,C14,c. 228 BC
3870,C14,Three radiocarbon dates
3885,Morphology/Earthwork/Typology,null
3890,Artefactual,null
3892,Artefactual,null
3893,Artefactual,null
3894,Artefactual,null
3895,Artefactual,null
3897,Artefactual,null
3899,Artefactual,"A brooch and three sherds of Roman pottery, but their contexts in relation to the defences are unknown"
3902,C14,Ten radiocarbon dates from a range of contexts
3911,Artefactual,A viking comb
3911,C14,Ten dates from a range of contexts
3911,Other,Documentary
3914,C14,Two old radiocarbon dates
3918,Artefactual,Sherd of 2nd century Samian and an enamelled copper alloy stud
3918,C14,"18 dates from a range of contexts, only two of which relate directly to the defences"
3919,Artefactual,Pottery
3921,C14,No details published
3932,Artefactual,"Wide range of Roman Iron Age goods, including coins, and a more limited range of Late Bronze Age metalwork"
3932,C14,Wide suite of unpublished radiocarbon dates from a range of contexts
3938,Artefactual,"Glastonbury type bead-rim pottery, slingstones and spindle whorls. Roman coin and pottery."
3940,Artefactual,Many dateable artefcats.
3940,Morphology/Earthwork/Typology,evidence of buildings of many periods.
3948,Artefactual,Much dateable pottery and other artefacts.
3948,C14,"22 C14 samples, largely concentrating at either end of late Bronze Age to Roman sequence."
3954,Artefactual,Mostly Roman finds.
3961,Artefactual,Pottery.
3961,Other,Early Roman longhouse.
3963,Artefactual,Many finds.
3963,Morphology/Earthwork/Typology,null
3967,Artefactual,Iron Age pottery.
3970,Artefactual,Early Iron Age pottery.
3975,Artefactual,Early Iron Age pottery.
3983,Artefactual,Late Iron Age and Romano-British occupation finds in interior.
3986,Artefactual,Pottery and other artefacts.
4015,Artefactual,null
4028,Artefactual,Yellow glass bead of probable late Iron Age date but context has yet to be published
4035,Morphology/Earthwork/Typology,Conjecture only.
4043,Artefactual,Iron Age sherds and brooches.
4044,Artefactual,Pottery.
4060,Artefactual,Coin hoard.
4069,Artefactual,Mainly relating to the broch
4094,Artefactual,An enamelled brooch from the overlying settlement
4115,Artefactual,Iron Age blue glass bead
4147,Artefactual,1st century AD pottery.
4147,Morphology/Earthwork/Typology,Nature of defences Iron Age.
4149,Artefactual,"Many small dateable finds including coins, and stone and bronze dogs associated with Nodens. Middle Iron Age saucepan pot ceramics."
4150,C14,Three radiocarbon dates
4161,Artefactual,null
4161,C14,null
4161,Other,Dendrochronological
4162,Artefactual,null
4168,Artefactual,Early Iron Age and Romano-British pottery.
4168,Morphology/Earthwork/Typology,Features including timber-lacing.
4172,Morphology/Earthwork/Typology,Turf dykes of post-medieval date
4180,Artefactual,Undecorated sherds
4181,C14,Three dates from post abandonment contexts
4182,Morphology/Earthwork/Typology,"Analogy would suggest an early medieval occupation, probably monastic"
4189,Morphology/Earthwork/Typology,By analogy likely to be an early medieval monastic site
4195,Morphology/Earthwork/Typology,The form of the buildings has led to an interpretation that this is a monastic site of Norse date (Lamb 1973; 1976)
4196,Morphology/Earthwork/Typology,The form of the buildings has led to an interpretation that this is a monastic site of Norse date (Lamb 1973; 1976)
4197,Artefactual,Pottery probably of 'Pictish' date
4197,C14,Two radiocarbon dates from pot residues
4212,C14,Ten dates from a range of contexts
4217,Other,"Excavation of structure, though no dateable finds."
4227,Artefactual,Pottery
4227,C14,null
4228,Other,Documentary sources
4235,Artefactual,Middle Iron Age pottery and metal waste found in rubble deposit in ditch. Early 1st century sherds in separate ditch.
4236,Artefactual,Pottery evidence.
4236,C14,"Two C14 dates from animal bone from fill of first ditch suggests filled during the middle, or earlier, part of late Bronze Age."
4252,Artefactual,Bronze Age pottery. Roman coins and pottery.
4252,Morphology/Earthwork/Typology,null
4256,Artefactual,Samian pottery.
4256,C14,AMS dating.
4260,Artefactual,Pottery and hammerstones recovered from the erosion
4270,Artefactual,Chance finds.
4284,Morphology/Earthwork/Typology,null
4292,C14,null
4307,Artefactual,Pottery and Roman coins.
4308,C14,null
4309,Other,Documentary sources
4339,Artefactual,Early medieval and Roman finds.
4339,Other,Two rectangular buildings in interior.
4343,Artefactual,Pottery
4344,C14,CADW radiocarbon dating programme.
4345,Artefactual,Pottery evidence.
4345,Other,Contemporary buildings evidence.
4348,Artefactual,Sherds of Samian and Castor Ware
4348,C14,Seven old radiocarbon dates
4353,Morphology/Earthwork/Typology,NE enclosure suggested as Roman fortlet.
