Main_Atlas_Number,Main_Display_Name,Interior_Summary,Interior_Water_Comments,Interior_Surface_Comments,Interior_Excavation_Comments,Interior_Geophysics_Comments,Interior_Water_None,Interior_Water_Spring,Interior_Water_Stream,Interior_Water_Pool,Interior_Water_Flush,Interior_Water_Well,Interior_Water_Other,Interior_Surface_None,Interior_Surface_Round,Interior_Surface_Rectangular,Interior_Surface_Curvilinear,Interior_Surface_Roundhouse,Interior_Surface_Pit,Interior_Surface_Quarry,Interior_Surface_Other,Interior_Excavation_None,Interior_Excavation_Pit,Interior_Excavation_Posthole,Interior_Excavation_Roundhouse,Interior_Excavation_Rectangular,Interior_Excavation_Road,Interior_Excavation_Quarry,Interior_Excavation_Other,Interior_Excavation_Nothing,Interior_Geophysics_None,Interior_Geophysics_Pit,Interior_Geophysics_Roundhouse,Interior_Geophysics_Rectangular,Interior_Geophysics_Road,Interior_Geophysics_Quarry,Interior_Geophysics_Other,Interior_Geophysics_Nothing
892,"Lahard, Cork (Doonpower)","There are no recorded features in  the interior, besides the remains of a later castle. Much of the interior is suffering badly from erosion.","Springs noted by Westropp in some parts of the inner ditch, while the outer ditch is 'fed by a hearty little brook pouring down the west slope' (1914, 103-4).",NA,NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
893,"Moyross, Cork",There are no recorded features within the interior of the promontory,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
894,"Derryvreeveen (Bere Island), Cork",There are no recorded features within the interior of the site,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
895,"Allihies, Cork",There are no features relating to an early fort in the interior of the headland,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
896,"Derrycreeveen (Bear Island), Cork (Bear Island)",There are no recorded features within the interior of the headland,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
897,"Loughane Beg, Cork",There are no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
898,"Slievemore (Sherkin Island), Cork (Sherkin Island) (Carrigdoona (Rock Fort))",There are no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
899,"Ballytransna, Cork",There are no recorded features within the interior of the site,A well is depicted on the second edition 25-inch OS map c. 160m to the N of the promontory,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
900,"Dooneenmacotter, Cork (Dooneen)",There are no recorded internal features,A spring is recorded c. 50m to the NW of the site on the second edition 25-inch map,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
901,"Downmacpatrick (Old Head), Cork","Four hut-sites and an enclosure recorded by David Sweetman and Muiris de Buitl_ir of National Monuments Service in 1983 on the W side of the narrow neck of the promontory are now no longer evident (Hurley 2012). Noted by Cleary in 1996 (2001, 10). According to local information there were once stones on the E side of the promontory called 'Leaba Diarmuid' which translates as Diarmuid's bed. Not evident on the ground. Though no apparent traces of prehistoric habitation are evident on the headland itself, many features such as hut-sites were visible before the headland was reclaimed and ploughed in the 1970",NA,NA,NA,Geological features,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
902,"Dunbogey, Cork (Barry's Head)",At S end of ditch and immediately inside (to E) is a roughly square sod-covered platform with some stone facing visible at its base. This is the remains of Barry castle.,NA,Medieval castle foundations,NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
903,"Annestown, Waterford",There are no recorded features within the interior of the headland,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
904,"Ballynaharda, Waterford (Rinanillaun)",There are no recorded internal features within the site,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
905,"Ballynamona Lower, Waterford",There are no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
906,"Glennageer, Clare",There are no obvious features of archaeological interest within the interior. A modern track runs through the middle of the fort and a modern structure truncates the S section of the enclosing elements and interior.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
907,"Keelderry, Clare (Keelderry Fort, Newtown)",A modern field boundary runs N-S through the fort. There are no feature on the surface that may be of archaeological interest.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
908,"Kildrum, Clare",No obvious features on the surface. The first edition Ordnance Survey maps suggest a possible souterrain is located within the fort. It also indicates that the enclosure may have formed the boundary of a burial ground.,NA,Possible souterrain noted on early maps.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
909,"Knockadoon, Clare",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
910,"Rathclooney, Clare",A number of modern field boundaries traverse the interior. There is no features on the surface that may be of archaeological interest.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
911,"Tullagh Lower 1, Clare (Knockalish Fort)",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
912,"Tullagh Lower 2, Clare",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
914,"Glenphuca, Cork","At SW side of interior a curving earthen bank cuts off an oval area approximately 25m by 20m in area (Power 1994, 66). A possible souterrain is positioned at the centre of the fort. An Ogham stone was used as a roofing slab for the souterain (O'Kelly 1945, 19).",NA,Possible souterrain and earthwork.,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
915,"Greenville, Cork",Possible souterrain immediately inside the enclosing elements at the S (Power 1997).,NA,Possible souterrain.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
916,"Dunglara, Limerick (Doonglara)",There are no visible features within the interior. A number of circular features at the centre of the fort visible on aerial photography may represent hut structures.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
917,"Knocknasnaa, Limerick",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
918,"Knockroe, Limerick (Knockroe Hill)",Two hut structures are located within the interior. A further three hut sites have been recorded immediately outside the enclosing elements to the immediate E. Some rock outcrop within interior.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
919,"Farranshea, Tipperary",Early medieval ringfort.,NA,Ringfort,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
920,"Ebb's Nook, Northumberland (Ebb's Snook)",No apparent features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
921,"Kilbragh, Tipperary",No evidence for any internal features on the surface of the interior. A hut site is recorded between the inner and outer enclosing elements at the SW. This abuts the interior of the outer bank. The structure is approximately 6m in diameter.,NA,Hut site recorded between the two ramparts,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
922,"Windmill, Tipperary (Windmill Hill)",Possible ring-barrow at centre of fort. Geophysical survey has identified a possible internal timber revetment abutting the bank and up to three circular hut structures (O'Driscoll 2011).,NA,Possible ring-barrow at centre of fort.,NA,Possible internal timber revetment abutting the bank and up to three circular hut structures.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
923,"Carrickahilla, Waterford",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
924,"Whittlebury, Northamptonshire","Geophysics shows 16 roundhouses of c.7-14m diameter along the inside of the rampart. Test pitting found pits containing Iron Age pottery, carbonised grain, human and animal bones. A quern stone of Hunsbury type is in the church yard.",NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
925,"Cluttahina, Waterford",Early Medieval souterrain at the centre of the fort. No other evidence for any internal features on the surface.,NA,Souterrain at centre,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
926,"Kilnamack East, Waterford (Liscamnaboe)",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
927,"Knockatrellane, Waterford",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
928,"Thrapston, Northamptonshire","Excavation revealed 63 pits of LBA/EIA and LIA, plus postholes. Pits and enclosure ditch contained pottery, animal bones, a worked bone pin and an antler pick.",River Nene to the W.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
929,"Shanakill, Waterford",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
930,"Cappanakilla, Clare (Cahergurraun)",There is a recorded hut structure abutting the exterior face of the inner rampart to the S. The interior is under dense woodland.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
931,"Caherhurley, Clare",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
932,"Derryragh, Cavan (Derryragh Fort)",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
933,"Drumacleeskin, Cavan",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
934,"Castlehill, Dumfries & Galloway (Pilmuir Common; Castlehill, St Mungo; Hallmuir)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
935,"Magherintemple, Cavan","Later graveyard and church within hillfort interior (Davis 1948, 95).",NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
936,"Killoughterane, Carlow (Knockscur)",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
937,"Castlehill, Dumfries & Galloway (Pilmuir Common; Castlehill, Dryfesdale; Hallmuir)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
938,"Hallmuir, Dumfries & Galloway",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
939,"Ballynarry, Donegal (Crockacashel Hill)",Sub-circular band of stones 5m by 2.5m abuts the internal face of the enclosing elements at the N (Lacy 1983). Four possible hut structures 3m in diameter immediately outside the fort to the E (Lacy 1983).,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
940,"Nutholm, Dumfries & Galloway (Camp Hill; Nutholmhill Farm)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
941,"Carrowmore, Donegal",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
942,"Nutholm Hill, Dumfries & Galloway (Nutholmhill)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
943,"Crislaghmore, Donegal (Cashel Hill)",The interior has a number of areas of rock outcrop and a possible hut oval hut structure 2m by 4m at the centre (Lacy 1983).,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
944,"Balleeghan Lower, Donegal (Doonmore Hill)","No evidence for any internal features on the surface, though Lacy (1983) suggests that some of the loose stones within the interior could indicate structures.",NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
945,"Oakbank, Dumfries & Galloway (Nether Murthat; Oakbank)",Featureless,NA,NA,Little found in evaluation,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
946,"Carrownderry, Galway",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
947,"Buckiebank Plantation, Dumfries & Galloway",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
948,"Dalton, Dumfries & Galloway (Thistle Cottage; Kirkwood Lodge)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
949,"Clooncah, Galway",No evidence for any internal features on the surface. Modern field boundary cuts through the center of the fort.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
950,"Moanbaun, Galway",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
951,"Braehead, Dumfries & Galloway (Braehill Oak Wood; Oakbank)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
952,"Balgray Cleuchheads, Dumfries & Galloway",Featureless apart from the overlying settlement enclosure,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
953,"Burrain Skelton, Dumfries & Galloway (Cleuchheads Hill; Burane Skentoun)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
954,"Blindhillbush Hill, Dumfries & Galloway","At least four circular house platforms, two of them particulalry deeply cut and well formed",NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
955,"Ballynarrid, Waterford (Slippery Island)",There are no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
956,"Mosshead Hill, Dumfries & Galloway",Featureless apart from old quarries,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
957,"Ballynarrid, Waterford (Danes Island)","Interior reputed to have a number of hut-sites  (Westropp 1914-16, 219-21) and three are indicated on the 1840 ed. of the OS six-inch map. These are no longer visible.",NA,Possible hut-sites depicted on 1840's map no longer visible.,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
958,"Fairholm, Dumfries & Galloway",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
959,"Ballyvoony, Waterford",There are no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
960,"Blackford, Dumfries & Galloway",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
961,"Coolum, Waterford",There is no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
962,"Millbank, Dumfries & Galloway",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
963,"Dunbrattin, Waterford","Evidence of three hut sites inside the bank when surveyed by Westropp. These are no longer visible. A possible enclosure is recorded inside the ditch to the E (Moore 1999, 66).",A subsidiary promontory fort (WA025-069002) is located internally on the W. A spring is marked on the second edition 6-inch map directly outside the promontory defences to the NW.,"Westropp recorded three 'greatly defaced hut-sites, one with a large white quartz block' (1914-16, 224). A small promontory fort also lies within the interior",NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
964,"Brewel West, Kildare (Brewel Hill)",Possible stone circle known as 'The Piper's Stones' at centre of the fort. Smaller enclosure approximately 25m in diameter abuts the S face of the hillfort rampart. This comprises a low bank approximately 6m wide and 0.4m in maximum height. The possible stone circle is positioned within this smaller enclosure and these may have formed a composite ritual monument centred on the hilltop.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
965,"Greenhillhead, Dumfries & Galloway",No clearly defined features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
967,"Gallaberry, Dryfeholm, Dumfries & Galloway (Gallaberry Hill)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
968,"Ringlestown, Meath (Ringlestown Rath)",Interior is under dense woodland cover. No record of any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
969,"Raferagh, Monaghan",The interior is divided by a earth and stone bank cutting off an oval area of approximately 0.14ha at the NE sector of the fort. Up to five rectangular hut structures have been identified on the surface within the interior. Two are positioned at the NE where the internal bank divides the interior (Brindely 1986).,NA,The interior is divided by a earth and stone bank cutting off an oval area of approximately 0.14ha at the NE sector of the fort. Up to five rectangular stone structures within interior.,NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
970,"Dryfesdalegate, Dumfries & Galloway (Dryfesdale Gate)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
971,"Ballymartin, Mayo (Lisnatreanduff)",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
972,"Ballykilleen, Offaly (Ballykilleen Hill)",The interior is raised approximately 3m above the exterior ground surface. No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
973,"Green Hill, Dumfries & Galloway (Dryfe Water)",Featureless apart from the short arc of ditch of a smaller enclosure,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
974,"Catharine's Hill, Dumfries & Galloway (River Annan; Nether Murthat)","At least six timber round-houses, and a later enclosure in its N end",NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
975,"Woodend, Dumfries & Galloway (Johnstone)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
976,"Dunbrattin, Waterford","A possible souterrain (WA025-069007-) recorded by Tracey (1983) is likely to be a natural fault in the rock (Moore 1999, 66). There are no other recorded internal features.",A spring is recorded on the second edition OS 6-inc map outside the main headland to the N.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
977,"Knock Hill, Northumberland","Enclosure almost equally divided into three compartments, two lower compartments in the NE and SW created by a low stone bank 0.4m high and 3m wide with a gap connecting the two in the NW.  The single upper compartment is bordered by a scarp around its SE side. A circular flat area, probably a hut stance but now much mutilated, lies within the compartment.  The SW side of the hut is cut by a line of stones 5.8m long. A small scooped area 3m in diameter, possibly the site of a further hut lies inside the main enclosure to the N of the entrance.",Situated above Greenside Burn,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
978,"Dunmore (Shanooan), Waterford (Black Knob)","At the E end of the headland, a circular hut-site (int. diam. c. 3m) was recorded by Westropp along with a low enclosure (diam. c. 48m) and a possible embankment.",NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
979,"Dundoran, Dumfries & Galloway (Dundoran Plantation)","Featureless, apart from an earlier or later enclosure",NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
980,"Garrarus, Waterford (Illauncoltia)",There are no recorded internal features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
981,"Islandhubbock, Waterford","Two possible hut sites are recorded in the interior of the promontory, both of them circular (int. dims. 5.2m by 4.1m; 7.8m by 6.9m)",Westropp notes a stream falling over the cliff from a little spring close beside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
982,"Carthur Hill, Dumfries & Galloway (Boreland)",At least four house platforms,NA,Small rectilinear platform,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
983,"Islandikane East/Islandikane South, Waterford","There are no recorded internal features within the enclosed area on the mainland, however, Westropp notes an oval hut site within a grass-covered enclosure (1914-16, 221-2) on the smaller, isolated headland to the SE during an investigation by him in the early twentieth century.",NA,"Westropp notes an oval hut site within a grass-covered enclosure (1914-16, 221-2) on the stack to the SE during an investigation by him in the early twentieth century",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
984,"Broom Hill, Dumfries & Galloway (Cacrabank Hill; Broomhill)",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
986,"Killowen, Offaly",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
987,"Togher, Offaly",No evidence for any internal features on the surface.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
