Main_Atlas_Number,Main_Display_Name,Investigations_Summary,Related_Investigations
1036,"Minsca, Dumfries & Galloway (Minsca Farm)","First depicted on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 52.1), it was described by Alexander Curle in 1912 for the County Inventory of Dumfriesshire (RCAHMS 1920, 167, no. 465). It was surveyed in the late 1960s by George Jobey in his work in eastern Dumfriesshire (Jobey 1971) and resurveyed at 1:2500 by the OS in 1970. It has been photographed from the air by CUCAP, and on four occasions by RCAHMS, revealing the  settlement enclosure that overrides its ditch on the S. It was revisited by RCAHMS in 1995. Both enclosures were Scheduled in 2010.",1st Identified Map Depiction (1857); Other (1912); Other (1970); Earthwork Survey (1971); Other (1995); Other (2010)
1037,"Newhall Hill (NW), Dumfries & Galloway (Newhall Farm)","First depicted in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheets 44.10 & 44.14), it was described in 1912 by Alexander Curle during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 205-6, no.601). It was surveyed in late 1967 by George Jobey as part of his work in eastern Dumfriesshire (Jobey 1971), and resurveyed by the OS at 1:2500 in 1970, and revisited in 1979. It was Scheduled in 1977. The earlier palisade was first recognised when RCAHMS revisited the site in 1993 (RCAHMS 1997, 126).",1st Identified Map Depiction (1857); Other (1912); Earthwork Survey (1967); Other (1970); Other (1977); Other (1979); Other (1993)
1038,"Newhall Hill (SE), Dumfries & Galloway (Newhall Farm)","First depicted in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheets 44.10 & 44.14), it was described in 1912 by Alexander Curle during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 205-6, no.601). It was surveyed in the late 1960s by George Jobey as part of his work in eastern Dumfriesshire (Jobey 1971, 90, fig 10), and resurveyed by the OS at 1:2500 in 1970, and revisited in 1979. It was Scheduled in 1977. The palisade was first recognised when RCAHMS revisited the site in 1993 (RCAHMS 1997, 126).",1st Identified Map Depiction (1857); Other (1912); Other (1970); Earthwork Survey (1971); Other (1977); Other (1979); Other (1993)
1039,"Kilfarrasy, Waterford","The promontory along with its defences are depicted on the first edition OS six-inch map (1840) and it is marked as an 'entrenchment' on the second edition. Inspected by Westropp in 1906 who describes the defences as consisting of a 'fosse 12 feet wide, which is still marshy or full of water for most of its extent' running in a straight line across the headland. He also notes an inner mound or bank 10 feet or 12 feet wide, but only visible in a few places' (Westropp 1906, 254-55). When the site was surveyed as part of the Waterford Archaeological inventory, this bank was no longer visible (Moore 1999, 69)",1st Identified Map Depiction (1840); 1st Identified Written Reference (1906); Earthwork Survey (1989); Earthwork Survey (1914-1916)
1040,"Knockmahon, Waterford",The site is not depicted on any of the early 6-inch OS maps of the area. An Ogham stone was recovered from the ditch in the 1980's while another was found in the 1990s (Manning 1989). Site was inspected and surveyed for the compilation of the Archaeological Inventory of County Waterford (Moore 1999).,1st Identified Written Reference (1989); Earthwork Survey (1989)
1041,"Rathmoylan, Waterford","The promontory along with its defences are depicted on the first edition OS six-inch map (1840) and it is marked as an 'entrenchment' on the second edition. Inspected by Westropp in 1914 who describes the inner rampart as '87 feet long, rising steeply at a slope usually of 1 in 1, for 11 feet high' (1914-16, 212). He notes that the 'fosse was convex, nearly 100 feet long, 9 feet wide' (ibid., 212). Site was inspected and surveyed for the compilation of the Archaeological Inventory of County Waterford (Moore 1999)",1st Identified Map Depiction (1840); Earthwork Survey (1989); 1st Identified Written Reference (1914-1916)
1042,"Crawthat Cottage, Dumfries & Galloway","First depicted in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 44.14), it was described by Alexander Curle in 1912 during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 203-4, no.595, fig.147), though the plan drawn up at the same time is patently distorted and the north point is misaligned. George Jobey drew up a plan in the course of his work in eastern Dumfriesshire (Jobey 1971), and it was resurveyed by the OS at 1:2500 in 1970, and in 1979 revisited by them shortly after its demolition. RCAHMS revisited in 1991 and having been a Scheduled monument it was de-scheduled in 2009. Fortunately CUCAP photographed the site from the air before its demolition, and RCAHMS have photographed it on two occasions since.",1st Identified Map Depiction (1857); Earthwork Survey (1912); Earthwork Survey (1968); Earthwork Survey (1970); Other (1979)
1043,"West-Town, Waterford (Great Island)","Marked as an ÇEntrenchment' on the first edition (1841) 6-inch map. Inspected by Westropp in 1906 who describes 'fosse and bank, nearly straight, and about 200 feet long'. He also describes 'an oval hut-site in the enclosure, but it seems to have disappeared' (1906, 256). Site was inspected and surveyed for the compilation of the Archaeological Inventory of County Waterford (Moore 1999).",1st Identified Map Depiction (1841); 1st Identified Written Reference (1906); Earthwork Survey (1989)
1044,"Woodstown, Waterford","The promontory along with its defences are depicted on the first edition OS six-inch map (1840) and it is marked as an 'entrenchment' on the second edition. Inspected by Westropp in 1906 who notes that the headland was once of considerable size; 'Two portions have been cut through by the sea, and a narrow arch is drilled through the centre fragment. Owing to the extreme narrowness of the southern channel, it is evident that the splitting of the Green Island' (Westropp 1906, 253).",1st Identified Map Depiction (1840); 1st Identified Written Reference (1906); Earthwork Survey (1989); Other (1914-1916)
1045,"Kilpoole Upper, Wicklow","Visible as a cropmark on aerial photographs, the seaward end of the promontory below the coastal escarpment is depicted as an oval, hachured mound on the second edition twenty-five-inch OS map.",1st Identified Map Depiction (1900); Other (1971)
1046,"Mountbagnall, Louth (Mota Gormfhlaith)","The site is depicted as a 'promontory fort' on the second edition six-inch OS map. The interior of the site was bulldozed level prior to 1966 and completely removed in the course of gravel extraction sometime before 1985 (Buckley and Sweetman 1991, 65).",1st Identified Map Depiction (1900)
1047,"Nook, Wexford","Marked as an ÇEntrenchment' on the first edition (1841) OS six-inch map, the promontory was later surveyed by Westropp in 1918, who noted  'works running in a bold curve across the saddle of the ridge and down the western slope to the cliff'. He observed that the bank or mound was '21 to 24 feet thick, and rises 12 to 15 feet over the fosse and 6 to 8 over the field' (1918, 14). The site was later visited for the compilation of the Wexford Archaeological Inventory (Moore 1996).",1st Identified Map Depiction (1841); 1st Identified Written Reference (1918); Earthwork Survey (1988)
1048,"Ramstown, Wexford (Dundonnell)",Marked as ÇDundonnell (Donel's fort)' on the first edition (1841) 6-inch map. Defences and interior features recorded by Westropp in 1906. The site was later visited for the compilation of the Wexford Archaeological Inventory (Moore 1996).,1st Identified Map Depiction (1841); 1st Identified Written Reference (1906); Earthwork Survey (1989); Earthwork Survey (2003)
1049,"Castlewideham, Cork (Dun Cruadha)",Site description by Power (2000).,Other (2000)
1050,"Gort An Choirce, Donegal (Cashel)",Site survey by Lacey (2000).,Other (2000)
1051,"Slieve, Louth",Described as a fort in the first edition Ordnance Survey maps without any further depiction or record. First map depiction and earthwork survey in second edition Ordnance Survey mapping. Site survey by Buckley and Sweetman (1991).,1st Identified Map Depiction (1906); Other (1986)
1052,"Knockagh, Louth",First map depiction and earthwork survey in second edition Ordnance Survey mapping. Site survey by Buckley and Sweetman (1991).,1st Identified Map Depiction (1906); Other (1991)
1053,"Kane, Louth",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by Buckley and Sweetman in 1991.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1991)
1054,"Anneville, Clare",Not depicted in any historic mapping. No published archaeological record for the site exists.,NA
1055,"Oldcourt, Cork",Not identified in any historic mapping. Site survey by Power in 2000.,Other (2000)
1056,"Drombrow, Cork",Not identified in any historic mapping.,NA
1057,"Ballyhugh, Cavan",First map depiction in first edition Ordnance Survey mapping where it is identified as a fort. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by O'Donovan in 1995,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1995)
1058,"Glasleck, Cavan","First map depiction in first edition Ordnance Survey mapping. Site site was subsequently largely levelled before the completion of the second edition Ordnance Survey maps, though it is by no means certain that the enclosure shown on the map is one and the same as the earthwork cutting across the neck. Site survey by O'Donovan in 1995.",1st Identified Map Depiction (1842); Other (1995)
1059,"Garrysallagh (D'Arcy), Cavan",Not identified in any historic mapping. Recently identified by Dr. Gillian Barrett through aerial photography.,NA
1060,"Mullagh, Cavan","Earliest written reference and identification by Davis (1947, 98). Site survey by O'Donovan in 1995.",1st Identified Written Reference (1947); Other (1995)
1061,"Tullynavinn, Donegal",First map depiction in first edition Ordnance Survey mapping. Also depicted as an irregular shaped enclosure defined by field boundaries in the second edition Ordnance Survey maps. Site survey by Lacey (2000).,1st Identified Map Depiction (1842); Other (1906); Other (1983)
1062,"Doon, Donegal (Doon Rock)",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by Lacey in 1983.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1983)
1063,"Templetown, Wexford",Marked as a circular embanked enclosure on the 1839 ed. of the OS six-inch map. The site was later visited for the compilation of the Wexford Archaeological Inventory (Moore 1996).,1st Identified Map Depiction (1839); Earthwork Survey (1989)
1064,"Saltee Island Great, Wexford (Saltee Island Great)",The site is not marked on any edition of the OS six-inch maps. site was visited and surveyed for the compilation of the Wexford Archaeological Inventory (Moore 1996),1st Identified Written Reference (1989)
1065,"Conundrum South, Northumberland (Halidon Hill Iron Age Fort)",Identified from an aerial photograph taken in 1992 Glover 2006).,Other (1992)
1066,"An Machaire, Donegal",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by Lacey in 1983.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1983)
1067,"Drumnasillagh, Donegal",Not depicted in the historic mapping. Site survey by Lacey in 1983.,Other (1983)
1068,"An Bhraid Ochtarach, Donegal","First map depiction of the promontory in second edition Ordnance Survey mapping, although no enclosing elements were recorded. Site survey by Lacey in 1983.",Other (1983)
1069,"Liathleitir, Galway",NA,Other (2005); Other (2008)
1070,"Fawnlion, Leitrim",First map depiction in second edition Ordnance Survey mapping where it is depicted as a oval field boundary. Site survey by Moore in 2003.,1st Identified Map Depiction (1906); Other (2003)
1071,"Woodford Demesne, Leitrim",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by Moore in 2003.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (2003)
1072,"Ballinwing, Leitrim",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by Moore in 2003.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (2003)
1073,"Glen (Richards), Wexford (Pollshone Moat)",Depicted as 'Pollshone Moat' on the first edition six-inch OS map (1840s). Site investigated for the compilation of the Wexford Archaeological Inventory in 1987 (Moore 1996).,1st Identified Map Depiction (1840); Earthwork Survey (1987)
1074,"Ballinteskin, Louth",First depicted in second edition Ordnance Survey mapping. Site survey by Buckley and Sweetman (1991).,1st Identified Map Depiction (1906); Other (1991)
1075,"Ballycahill, Limerick",This was not identified in either the first or second edition Ordnance Survey maps.,NA
1076,"Chatton Law Camp, Northumberland (Chatton Park)",The site is shown on OS mapping for 1856-65.  General reference in MacLauchlan in 1864.  Field investigations in 1955 and 1969. Scheduled,1st Identified Written Reference (1864); Other (1955); Other (1969); 1st Identified Map Depiction (1856-1865); Other (None-None)
1077,"Bessie's Hill, Dumfries & Galloway","First depicted in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 26.14), it was visited by Alexander Curle in 1912 during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 70, no.174). It was re-surveyed at 1:2500 by the OS in 1962 and visited again in 1973. The fort was surveyed by George Jobey in the late 1960s (Jobey 1971, 86, fig 6). RCAHMS revisited in 1980 and it was Scheduled in 2002.",1st Identified Map Depiction (1857); Other (1912); Other (1962); Earthwork Survey (1971); Other (1973); Other (1980); Other (2002)
1078,"Errew, Mayo",This site is not recorded in any historic mapping. Visible as a cropmark in aerial photography. There is no published archaeological record of this monument.,NA
1079,"Cloghans, Mayo",First depicted in second edition Ordnance Survey mapping. Here the site is recorded as a triangular shaped enclosure comprising a low bank at the edge of promontory.,1st Identified Map Depiction (1906)
1080,"Treanbeg, Mayo","First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps, but not as an antiquity.",NA
1081,"Doontrusk, Mayo",First map depiction in first edition Ordnance Survey mapping. Also depicted in the second edition Ordnance Survey maps. Enclosing elements depicted as a large field boundary.,1st Identified Map Depiction (1842); Other (1906)
1082,"Bank Head Hill, Dumfries & Galloway (Bankhead Hill; Bank Head Hill 2; Bankburnfoot)","First depicted in 1804 on William Crawford's Map of Dumfriesshire, in 1857 it was surveyed for the 1st edition OS 25-inch map (Dumfiresshire 1862, sheet 35.7), and in 1912 visited by Alexander Curle during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 214, no.634), it was revisited by RCAHMS in 1955 and later again in 1980. George Jobey surveyed the earthworks in the late 1960s, and the OS resurveyed at 1:2500 in 1973, revisiting in 1978. It was first Scheduled in 1981 and re-Scheduled with a larger area in 2010.",1st Identified Map Depiction (1804); Other (1857); Other (1912); Other (1955); Earthwork Survey (1971); Other (1973); Other (1978); Other (1980); Other (1981); Other (2010)
1083,"Castlecarra, Mayo (Doon Wood.)",First map depiction in first edition Ordnance Survey mapping. Also depicted in the second edition Ordnance Survey maps. Enclosing elements depicted as a large field boundary.,1st Identified Map Depiction (1842); Other (1906); Other (1994)
1084,"Enzieholm, Bogle Walls, Dumfries & Galloway","First depicted in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 35.12), it was described by Alexander Curle in 1912 during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920,215-16, no.638). Revisited by RCAHMS in 1955, and again in 1980, the OS resurveyed at 1:2500 survey in 1973, and also revisited in 1981. In 1966 it was photographed from the air by CUCAP and in the late 1960s George Jobey drew up a plan (Jobey 1971, 92, fig 12). In the course of a new survey of Eastern Dumfriesshire RCAHMS reviewed the classification of the earthworks, which are unusually substantial, and speculated that they were possibly those of an earthwork castle, belonging to the Avenels, though the absence of a parish church or record of any chapel nearby perhaps makes this an unlikely candidate for a major medieval estate centre (RCAHMS 1997, 196). It was Scheduled as a fort in 2010.",1st Identified Map Depiction (1857); Other (1912); Other (1937); Other (1955); Earthwork Survey (1971); Other (1973); Other (1981); Other (2010)
1085,"Carrickspringan, Meath (Big Rock.)",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Site survey by Sweetman (1987).,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1987)
1086,"Knowth, Meath",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Survey by O'Kelly (1978). Site survey by Sweetman (1987). LiDAR survey by Davis et al. (2010).,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1978); Other (1987); LiDAR Survey (2010)
1087,"Billholm, Dumfries & Galloway (River Esk)","Discovered in the late 1960s by George Jobey (1971, 92), the fort was surveyed at 1:2500 by the OS in 1973, and revisited in both 1978 and 1981. It was visited by RCAHMS in 1980.",Other (1971); 1st Identified Map Depiction (1973); Other (1978); Other (1980); Other (1981)
1088,"Greaghnaglogh, Roscommon (Doon Roeree)",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps.,1st Identified Map Depiction (1842); Other (1906)
1089,"Castletenison Demesne, Roscommon",First map depiction in first edition Ordnance Survey mapping. Also depicted in the second edition Ordnance Survey maps.,1st Identified Map Depiction (1842); Other (1906)
1090,"Cloonamore (Cluana Mór), Galway (Inishbofin) (Dunahineena)","Depicted as Dunahineena on fist edition OS 6-Inch map and named as D–n na hInne in the OS Name Books (1839). Westropp also associates the headland with the name ÇFinguines fort' (1914, 333). It is not marked as an antiquity on the maps and no defences are noted. Westropp describes it as a 'great dome of rock joined to the mainland by a long neck between two gullies' (1914, 333). Site surveyed as part of the Galway Archaeological inventory (1993, 28).",1st Identified Map Depiction (1839); 1st Identified Written Reference (1911); Earthwork Survey (1914); Earthwork Survey (1993)
1091,"Annagh, Roscommon",First map depiction in first edition Ordnance Survey mapping. Also depicted in the second edition Ordnance Survey maps as a series of field boundaries.,1st Identified Map Depiction (1842); Other (1906); Other (2002)
1092,"Churchacres, Roscommon",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1995)
1093,"Beagh, Roscommon",Not recorded in any historic mapping. No published record of this site.,Other (2007)
1094,"Camp Hill, Bailiehill, Dumfries & Galloway (Bailiehill)","First depicted in 1804 on William Crawford's map of Dumfriesshire, in 1857 it was surveyed for the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 35.10). The fort was described in 1912 by Alexander Curle during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 216-7, no.640). It was first Scheduled in 1937 (and re-Scheduled in 2010) and in 1955 revisited by RCAHMS investigators, who suggested it comprised a citadel with an outer ward, though while Kenneth Steer suspected an early medieval date, Richard Feachem variously saw no reason to think that it was not all Iron Age in date (Feachem 1965, 180-2), or that perhaps the inner enclosure was an early medieval insertion into a large Iron Age fort (Feachem 1963, 115). George Jobey adapted a copy of the OS 1:10,560 map to draw up a plan in the late 1960s (Jobey 1971, 83, fig 4), and it was resurveyed at 1:2500 by the OS in 1973, and revisited in 1978. RCAHMS drew upa new plan in 1993 (RCAHMS 1997, 81, fig 74). It was photographed from the air by CUCAP in 1972 and RCAHMS in 1996.",1st Identified Map Depiction (1804); Other (1857); Other (1912); Other (1937); Other (1955); Earthwork Survey (1971); Other (1973); Other (1978); Earthwork Survey (1993); Other (2010)
1095,"Curragh (An Curragh), Galway (Caherdoona (Fort of The City))","Depicted on the first edition OS-six-inch map as 'Caherdoona', a hachured series of arching defences that seperate the site from the mainland. Defenes described by Lynam in 1922 as consisting of earth and stone. Site surveyed in 1983 for the compilation of the Galway Archaeological Inventory (Gosling 1993, 29).",1st Identified Map Depiction (1840); 1st Identified Written Reference (1922); Earthwork Survey (1983)
1096,"Ballymore, Roscommon",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (1996)
1097,"Shankoagh, Roscommon",Not recorded in any historic mapping. There is no published record of this site.,Other (1996)
1098,"Fahy (An Fhaiche), Galway","The site is depicted on the first edition OS-six-inch map (1840) as a small promontory cut off from the mainland by a single bank. Site surveyed in 1984 for the compilation of the Galway Archaeological Inventory (Gosling 1993, 29).",1st Identified Map Depiction (1840); 1st Identified Written Reference (1984)
1099,"Dundermot, Roscommon",Not recorded in any historic mapping. There is no published record of this site.,Other (1996)
1100,"Fawnmore (An Fán Mór), Fawnmore (Inishbofin)","The site is not depicted on any edition of the OS six-inch map series. The site was not visited for the compilation of the Galway Archaeological Inventory but information was supplied by Marcus Casey (Gosling 1993, 29).",1st Identified Written Reference (1983)
1101,"Warren, Roscommon (Rindown Peninsula)","First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. In both instances, the wide ditch is recorded and the bank has not been depicted.",1st Identified Map Depiction (1842); Earthwork Survey (1906); Other (2002)
1102,"High Island (Ardoileán), Galway (High Island)","The site is not depicted on any edition of the OS six-inch map series. The site was not visited for the compilation of the Galway Archaeological Inventory but information was supplied by Marcus Casey (Gosling 1993, 29).",NA
1103,"Castle O'Er, Dumfries & Galloway","Although it does not appear on Roy's Map (1747-55), William Roy drew up a plan and profiles of the fort for inclusion in his volume on Military Antiquities of the Romans in North Britain (Roy 1793, pl xxvi). Otherwise it was first depicted on William Crawford's Map of Dumfriesshire (1804). The depiction surveyed in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 35.6) was revised in more detail in 1898 (Dumfriesshire 1899, sheet 35.6), and this latter depiction evidently provided the basis for a plan drawn up in 1912 to accompany the description in the County Inventory for Dumfriesshire (RCAHMS 1920, 71-3, no.177, fig 58). A previous plan drawn by David Christison in the course of excavations carried out by Richard Bell about 1896 (Christison 1898, 159-62, fig 57; Bell 1895; Bell 1905) is a plainly sketch and lacks the metrical accuracy of the OS map. George Jobey drew up a plan in the late 1960's based upon the 1:10,560 OS depiction (Jobey 1971, 82, fig 3) and the OS revised the 1:2500 depiction in 1973, revisiting in 1978. RCAHMS drew up a  new plan at 1:1000 in 1980 and evaluation trenches were excavated by Roger Mercer about 1985 (Mercer 1985). RCAHMS returned to prepare a more detailed survey in 1993. It was Scheduled in 1969 and re-scheduled in 2010. Most recently the Forestry Commission have commissioned an aerial survey with a microcopter to create an orthorectified composite vertical aerial photograph and provide images from which Rubicon Heritage have created a contoured surface model of the fort.",Earthwork Survey (1793); 1st Identified Map Depiction (1804); Other (1857); Earthwork Survey (1896); Excavation (1896); Earthwork Survey (1912); Other (1969); Earthwork Survey (1971); Other (1973); Other (1978); Earthwork Survey (1980); Excavation (1985);
1104,"Inishark (Inis Airc), Galway","The site is depicted on the first edition of the OS six-inch map series. Visited for the compilation of the Galway Archaeological Inventory in 1984 (Gosling 1993, 29).",1st Identified Map Depiction (1840); Earthwork Survey (1984)
1105,"Clogher Beg, Sligo",First map depiction in the second edition Ordnance Survey maps.,1st Identified Map Depiction (1906); Other (2003)
1106,"Inishshark, Galway (Inishark) (Dooneenapisha)","This promontory fort, known locally as ÇD–inn' is recorded on early OS six-inch maps as ÇDooneenapisha' (little fort of the peas) (Westropp 1914, 333). While the site was not visited by Westropp, he does note the remains of enclosing elements suffering from erosion from the mainland.",1st Identified Map Depiction (1840); 1st Identified Written Reference (1914); Other (1984)
1107,"Bleakmoor Hill, Northumberland (Harden Quarry)",Included in a field survey in 1999. Scheduled,Other (1979); Other (1984)
1108,"Hazelwood Demesne, Sligo",First map depiction in the second edition Ordnance Survey maps.,1st Identified Map Depiction (1906)
1109,"Knoxspark, Sligo",First map depiction in first edition Ordnance Survey mapping. More detailed earthwork survey in second edition Ordnance Survey maps. Excavations by Mount prior to the development of the Collooney/Ballysadare by-pass in 1994. Excavation by Channing at N of promontory fort. Site survey by Egan et al. in 2005.,1st Identified Map Depiction (1842); Earthwork Survey (1906); Excavation (1994); Excavation (2005); Other (2005)
1110,"Killeany (Cill Ñinne), Galway (Inis Mór) (Dooncaher (The Black Fort))","ÇD–n D–cathair' is recorded on the first edition of the OS 6-inch map (1840). Described by Petrie in 1821, the site was extensively surveyed by Westropp in 1914.",1st Identified Written Reference (1821); 1st Identified Map Depiction (1840); Earthwork Survey (1914); Other (1927); Earthwork Survey (1984); Other (1986)
1111,"Haw Birren, Westside, Dumfries & Galloway (Westside)","First depicted by William Crawford on his Map of Dumfries-shire (1804), it is subsequently shown in 1857 on the 1st edition OS 6-inch map (Dumfriesshire 1862, sheet 35). The fort was visited by Alexander Curle in 1912 during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 76-7, no.192). It was surveyed by George Jobey in the late 1960s (Jobey 1971, 89, fig 9) and visited by the OS in 1978. RCAHMS revisited in 1980. It was Scheduled in 1969. It has been photographed from the Air by both CUCAP and RCAHMS, the latter only after the surrounding landscape was subsumed into forestry.",1st Identified Map Depiction (1804); Other (1857); Other (1912); Other (1969); Earthwork Survey (1971); Other (1978); Other (1980)
1112,"Tanlawhill, Dumfries & Galloway","First depicted by William Crawford on his Map of Dumfries-shire (1804), it is subsequently shown in 1857 on the 1st edition OS 6-inch map (Dumfriesshire 1862, sheet 35). The fort was visited by Alexander Curle in 1912 during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 76, no.191). It was surveyed by George Jobey in the late 1960s (Jobey 1971, 89, fig 9) and visited by the OS in 1978. RCAHMS revisited first in 1980 and again to in 1991 to draw up a plan, the interior of which was subsequently reworked in the field in 1993 (RCAHMS 1997, 83, fig 75). It is a Scheduled monument. It has been photographed from the Air by CUCAP.",1st Identified Map Depiction (1804); Other (1857); Other (1912); Other (1969); Earthwork Survey (1971); Other (1978); Other (1980); Earthwork Survey (1991); Earthwork Survey (1993); Other (2010)
1113,"Westquarter (An Cheathr– Iartharach), Galway (Inishbofin) (Doonmore (Big Fort))",The site is named 'Doonmore' on the first edition 6-inch OS map. Some indication of the defences are also marked running from the SE across the neck of the headland. The site is described by Westropp in the early twentieth century (1911;1914).,1st Identified Map Depiction (1840); 1st Identified Written Reference (1911); Earthwork Survey (1914); Other (1983)
1114,"Hetton Dean West, Northumberland","The location is shown on 1856-65 OS mapping. Field investigations in 1955 and 1964. The site has been mapped from the air as part of the Milfield Geoarchaeology Project. (Archive object MD000298). Transcription by Rog Palmer in Passmore and Waddington (2012, 72)",Other (1955); Other (1964); 1st Identified Map Depiction (1856-1865); Other (2000)
1115,"Lahanagh, Sligo",First map depiction in the second edition Ordnance Survey maps. Visible as a sub-triangular scarp at N edge of promontory.,1st Identified Map Depiction (1906)
1116,"Douglas Farm, Dumfries & Galloway (Wardens Dykes; Boghead; The Bracken; Gretna)","First noted in a parish account probably dating from the 2nd quarter of the 18th century, it is also noted by the local minister in the Statistical Account (13, 1794, 272n), it is shown in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 63.4). Subsequently visited in 1912 by Alexander Curle during the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 92, no.261), it was resurveyed at 1:2500 by the OS in 1970, and revisited in 1973. It was also revisited by RCAHMS in 1980, and Scheduled in 2007.",1st Identified Written Reference (1744); Other (1794); 1st Identified Map Depiction (1857); Other (1912); Other (1970); Other (1973); Other (1980); Other (2007); Other (2007)
1117,"Westquarter (An Cheathr– Iartharach), Westquarter (Inishbofin) (Doongrania)","Site named as ÇDoongrania' on the first edition 6-inch OS map.Visited by Westropp in the early twentieth century who noted Ça dry-stone revetment' along the NW side of the island. Visited for the compilation of the archaeological Inventory of County Galway in 1983 (Gosling 1993, 31).",1st Identified Map Depiction (1840); 1st Identified Written Reference (1914); Earthwork Survey (1983)
1118,"Alaghee/Alachaí Mór, Kerry (Doongar)","The site is not depicted on any edition of the OS 6-inch maps. Surveyed for the compilation of the Iveragh Archaeological Inventory in the early 1990's (O'Sullivan and Sheehan 1996, 127).",Earthwork Survey (1996)
1119,"Ballyhoge, Wexford",First map depiction in the first edition Ordnance Survey maps. The site is not identified in the second edition and is likely to have been destroyed prior to its completion. Site survey by Moore (1996).,1st Identified Map Depiction (1842); Other (1987)
1120,"Cloghanecanuig (Clochán Ceannúigh), Kerry (Iveragh Peninsula) (An Dún)","The site is depicted on the first edition of the OS 6-inch map. Surveyed by Westropp in 1912 and visited for the compilation of the Iveragh Archaeological Inventory in the 1990s (O'Sullivan and Sheehan 1996, 128).",1st Identified Map Depiction (1840); 1st Identified Written Reference (1912); Earthwork Survey (1996)
1121,"Cool East (An Chúil Thoir), Kerry (Iveragh Peninsula) (Dún Rua (Red Fort))","The site is not depicted on any editions of the OS six-inch maps. Surveyed by Westropp in 1912 and visited for the compilation of the Iveragh Archaeological Inventory in the 1990s (O'Sullivan and Sheehan 1996, 128).",1st Identified Written Reference (1912); Earthwork Survey (1996)
1122,"Gilknockie Castle, Dumfries & Galloway (Gilnockie Bridge)","First depicted in 1857 on the 1st edition OS 25-inch map (Dumfriesshire 1862, sheet 53.12), it was visited in 1915 in the final stages of the preparation of the County Inventory for Dumfriesshire (RCAHMS 1920, 30, no.50). It was resurveyed by the OS at 1:2500 in 1970 and revisited in 1973. It was revisited by RCAHMS in 1980. It was Scheduled in 2009.",1st Identified Map Depiction (1857); Other (1915); Other (1970); Other (1973); Other (1980); Other (2009)
