Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
359,"Woodhouse Farm, Shropshire",Cropmark site. No details.,Cropmark site.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
361,"Grinsdale Camp, Cumbria (Skew Hill)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
362,"The Mount, Beoley, Worcestershire",Much cut into by later marl pit. Medieval stronghold or manor house on site.,General scrub and tree growth. Medieval stronghold or manor house on site (little visible).,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
363,"Elmley Castle Earthworks, Worcestershire (Elmley Castle)",Ramparts possibly upstanding in places.,Elmley Castle. Mostly former deer park with scattered trees. S part pasture.,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
364,"Wychbury Ring, Worcestershire (Wychbury Camp; Wychbury Hill Camp)",Fair in places. On Heritage at Risk Register (2015).,Built up areas nearby.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
365,"Harborough Hill, Churchill, Worcestershire",Requires investigation to determine site form and condition.,Dense woodland.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
366,"Church Coppice, Hanbury, Worcestershire",Earthworks possibly upstanding in places.,Parish church on site.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
367,"Woodbury, Great Witley, Worcestershire (Woodbury Hill)",Well-preserved.,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
368,"Berrow Hill Camp, Martley, Worcestershire",Farm track crosses NE rampart where erosion. N part used for beacon bonfires. Midway along SE side destroyed by ploughing for 56m and E side greatly eroded generally.,Hill grass covered with occasional trees and bramble - grazed. Wooded slopes. N approach open with hawthorn.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
369,"Kempsey Promontory Fort, Worcestershire",Bank finally destroyed by housing.,Site of church.,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
370,"Arley Wood Camp, Worcestershire",Fair condition. Forestry Commission site.,Afforested.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
371,"Castle Hill Camp, Bow Wood, Worcestershire","Ploughed, but still recognisable as an earthwork. Old hedgeline with post and wire fence partially follows the infilled ditch - possibly some removal.",Improved grassland and few oaks.,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
373,"Berry Mound Camp, Worcestershire (Dane's Camp)","1831 records show that the hillfort was traceable throughout, but by 1882 it was only only intact for c. 100m at the S end with only a few remnants on the N.  Now, remnants only survive, but traceable with effort. Site used by 24th Warwickshire Home Guard in WWII as part of Birmingham defences. Old reclaimed quarry to NE.","Interior grazed pasture with banks mostly wooded with mature trees. Old quarry. Very near, and surrounded by, built-up areas.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
374,"Tunnel Hill, Chadbury, Worcestershire",Possible terracing.,Overgrown site.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
375,"Conderton Camp, Worcestershire (Danes Camp)",Well-preserved.,Pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
376,"Gadbury Bank, Worcestershire (Gadbury Camp)",No details on present condition.,In tree covered Gadbury Coppice.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
378,"Kemerton Camp, Bredon Hill, Worcestershire (Bredon Hill Camp)",Well-preserved.,Grazed upland pasture. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
381,"Island Covert, Worcestershire",Detail not determined.,In the middle of several field boundaries under cultivation,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
383,"Drakelow, Worcestershire (Solcum Farm Promontory Fort, Wolverley)",Ploughed down remains only.,Formerly part occupied by radar station.,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
384,"Whitley Crag, Asby, Cumbria",NA,NA,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
386,"Battlesbury Camp, Wiltshire","Good rampart condition, but interior long under cultivation in past obscured and obliterated features.","Interior long under cultivation, lynchet running immediately behind inner rampart result of soil accumulation from this cultivation, but present day land use rough upland pasture, SSSI.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
387,"Barbury Castle, Wiltshire","Within Barbury Castle Country Park. WWII damage by US soldiers when W entrance widened and bombing and slit trenches in interior. Trig point on inner rampart N of E entrance. Counterscarp to N much disturbed by quarrying. Generally, however, ramparts in good condition. Post medieval dew pond on SE rampart.",Good upland pasture free of restriction. Bombing and slit trenches in interior. Trig point. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
388,"Liddington Castle, Wiltshire (Badbury Camp)","In fine condition despite some slumping of ramparts (some erosion control undertaken), earlier flint digging in interior and damage to S and SW rampart and ditch. On Heritage at Risk Register (2015).",Good upland pasture. Flint diggings.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
389,"Casterley Camp, Wiltshire (Catterley Banks)","Damaged, but stable condition. Interior features obliterated by past ploughing. On Heritage at Risk Register (2015).",Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
390,"Sidbury Camp, Wiltshire (Chidbury; Sidbury Hillfort)",Central area damaged by extensive post-medieval gravel digging. Tank track damage and 19th century gravel digging on W side. Landscape appraisal in 2002 recommended removal of 1960s coniferous tree planting.,SSSI.,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
391,"Bilbury Rings, Wiltshire (Wylye Camp)",N part of site interior location of Bilbury Farm buildings. Much of site destroyed by agricultural activity and difficult to determine details.,Bilbury Farm with tree-lined boundary located in N part of enclosure. Pasture elsewhere.,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
392,"Grovely Castle, Wiltshire",Much damaged. Only one of former three ramparts surviving. Farmed for many years.,Farmed.,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
393,"Wick Ball Camp, Wiltshire",Damage and wear.,Wooded site.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
394,"Yarnbury Castle, Wiltshire (Yarnbury Camp)",General good condition apart from some quarrying on inner SE rampart. Numerous banks and scoops in interior result of annual sheep fairs from 18th century to 1916. SSSI.,Downland pasture. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
395,"Broadbury Banks, Wiltshire",Any interior features lost to plough. Old chalk quarry at N end.,Cultivated. Quarry.,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
396,"Oldbury Castle, Wiltshire (Oldbury Hill; Oldbury Camp)",Flint digging has eroded much of interior of W enclosure and part of S rampart. Lansdowne Monument at NW corner. A full topographic survey was carried out in advance of repair works to erosion scars at various points around the ramparts 2004.,Downland pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
397,"Rybury Camp, Wiltshire","Presumed post-medieval chalk or flint extraction pits, but site in good condition.",Good sheep grazed upland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
398,"Oliver's Castle, Wiltshire (Oliver's Camp)",Site in good condition.,Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
399,"Ringsbury Camp, Wiltshire",General good condition. Entrance on E widened by use as cart track.,"Wooded ramparts to E, S, W, sporadic tees to N. Pasture interior.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
400,"Bury Hill Camp, Purton, Wiltshire","Considerably reduced by ploughing, mostly visible as ditch although traces of bank remain in places.",Downland pasture.,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
401,"Odstock Copse, Wiltshire",N part ploughed away before 1894.,Earthworks now lie in plantations and coppiced woodlands and light coppice bank extends across site.,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
402,"Great Woodbury, Wiltshire",Site entirely destroyed by ploughing.,Cultivated.,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
403,"Clearbury Ring, Wiltshire",In interior most features eroded by past ploughing.,Woodland and scrub cover site.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
404,"Ogbury Camp, Wiltshire","Ramparts now slight bank/scarp for most of circuit, best on N. Fragmentary on E. Cultivated interior. Ditched entirely levelled/filled in now buried feature. On Heritage at Risk Register (2015).",Woodland on far N; cultivated/pasture on remainder.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
405,"Figsbury Ring, Wiltshire (Chlorus' Camp)","Open National Trust site, well-managed in good condition. SSSI.",Pasture with isolated trees in interior.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
406,"Old Sarum, Wiltshire",Guardianship site well-managed. Old Sarum and developments.,Managed grassland. Old Sarum and developments.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
407,"Vespasian's Camp, Wiltshire",Fair condition. Best on W. Built on S of ancient road.,Wooded spur. Built on S of ancient road.,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
408,"Chisenbury Camp, Wiltshire (Cissanbyrig; Chisenbury Trendle)",Part-levelled and cultivated. Road passes through site NE-SW.,Cultivated downland. Road.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
409,"Giant's Grave, Wiltshire","Ploughing, quarrying and track damage.",Downland pasture. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
410,"Martinsell Hill Camp, Wiltshire (Martin's Hill; Martinsell)",Numerous modern gaps in defences. Entrances damaged and NW angle mutilated by quarry and outer ditch destroyed on N.,Under cultivation and part woodland to NE and SE. Quarry.,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
411,"Scratchbury Camp, Wiltshire (Scratchbury Hill)",Good condition. SSSI.,Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
412,"Bratton Castle, Wiltshire (Bratton Camp)","N half of the E side crosses head of re-entrant valley where the outer rampart and ditch have been largely destroyed by quarrying or landslips and the construction of farm track. Quarrying has, in the past, also taken place within parts of the interior.",Downland pasture. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
413,"Castle Hill, Blunsdon St Andrew, Wiltshire (Castle Hill, Swindon; Bury Blunsdon)","Slight condition, but substantial counterscarp banks. Burytown Lane restricts site on SE.",Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
415,"Chisbury Camp, Wiltshire (Chisbury)","Remains medieval Chapel of St Martin lie on the E side of fort on line of defences and Manor Farm house located in the NE interior and road passes through site NW to SE. Despite this, generally well-preserved.","Pasture. Chapel remains, farmhouse and road.",Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
416,"Fosbury Camp, Wiltshire (Haydon Hill Castle; Knoll Ditches; Knolls Down)",On Heritage at Risk Register (2015).,"Site ploughed in past, but now permanent pasture. N ramparts wooded.",Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
417,"Park Hill Camp, Wiltshire (Park Hill)","Although wooded, site in good condition. Uneven bank and ditch suggests Phase II inner enclosure either not completed or damaged.",Wooded site.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
418,"Kenwalch's Castle, Wiltshire (Castle Wood)",Minor road runs through site entrances.,Wooded site. Road.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
419,"Castle Rings, Donhead St Mary, Wiltshire",Interior features destroyed by cultivation. Ramparts tree and scrub covered.,Interior cultivated. Ramparts tree and scrub covered.,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
420,"Winklebury Camp, Wiltshire (Winkelbury; Winterburgh; Winter Camp)",General good condition. SSSI.,Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
421,"White Sheet Castle, Wiltshire (Old Castle Hillfort; Whitesheet Hill; White Sheet Camp)",Much of interior scarred by ridge and furrow possibly accounting for damage to inner circuit. Numerous circular platforms up to 12m wide survive on the periphery of this ploughing.,SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
422,"Cley Hill Camp, Wiltshire",SW section has been quarried away by large chalk quarry cutting into hillside destroying rampart. Elsewhere ramparts denuded and interior ploughed in past. SSSI. On Heritage at Risk Register (2015).,Cultivated interior in past. Quarry.,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes
423,"Knook Castle, Wiltshire",Boundary features damaged by ploughing and heavy cattle grazing and ploughing removed all traces of contemporary detail within enclosure.,Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
424,"Budbury, Wiltshire",Destroyed by housing development.,Destroyed and built-up.,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
425,"Bury Wood Camp, Wiltshire (Bury Ditches; Bury Camp)",Good condition.,Open interior with wooded ramparts.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
426,"Castle Ditches, Tisbury, Wiltshire (Spelsbury; Wilburge)","Generally good condition, but interior cultivated and ploughed-out quarry and covered reservoir built against inner rampart. S entrance damaged.  On Heritage at Risk Register (2015).",Pasture interior. Heavily wooded ramparts and surrounding slopes. SW replanted with conifers. Quarry and covered reservoir built against inner rampart.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
427,"Ebsbury Hill, Wiltshire (Grovely Earthworks)",Part of outer rampart visible as cropmarks.,Interior wooded.,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
428,"Nuns Walk, Malmesbury., Wiltshire",Complex damaged site.,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
429,"Chiselbury, Wiltshire","Rampart and ditch well-preserved apart from some damage,",Has been arable in past.,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
430,"Nash Hill, Wiltshire (Naish Hill)",Naish Farm located on part of W and road skirting fort cuts S rampart.,Farmed.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
431,"Codford Circle, Wiltshire (Oldbury Camp; Wilsbury Ring; Woldsbury)",Enclosed area ploughed.,Under cultivation.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
433,"Trendle Ring, Somerset (Bicknoller Hill)",Monument in general good condition.,Open moorland/heath site with bracken.,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
434,"Dowsborough Camp, Somerset (Dowsborough Castle Hill; Danesborough; Dawesbury)","Bank much eroded on N side and part demolished along the S face from the W. Erosion becoming more pronounced on the NE where there is a viewpoint. Erosion works undertaken, eg. 2001 on path to the N. On Heritage at Risk Register (2015).",Generally overgrown and wooded apart from 30m on N side where bank much eroded. Post formally commemorated the Coronation of George V. SSSI.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
435,"Elworthy Barrows, Somerset","Fragmentary remains only of bank and ditch. No deliberate destruction of ramparts nor ditch infilling reported, but animal damage to main rampart on S, especially near field boundary.",Upland pasture with occasional ploughing.,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
436,"Clatworthy Camp, Somerset (Clatworthy Castle; Clatworthy Hillfort)","In agriculture, with much animal damage on E and other damage on S. On Heritage at Risk Register (2015).",General pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
437,"Curdon Wood Camp, Somerset (Curdon)","Banks on NW, S and E destroyed by quarrying,",Quarry.,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
438,"The Castles, Bathealton, Somerset (Castles Camp)","E, S and W banks blurred by ancient hedge banks.  On Heritage at Risk Register (2015).",NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
439,"Norton Camp, Somerset (Norton Fitzwarren Hillfort)","The single rampart which circles the site has been mutilated by agriculture, but much remains. On Heritage at Risk Register (2015).","Pasture interior, part wooded ramparts.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
440,"King's Castle, Somerset (Castle Hill, Wivelscombe)","Site destroyed by quarrying on the N and much mutilated generally. Barn, gate and troughs located within.","Wooded banks, arable interior. Quarrying.",Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
441,"Ilchester Mead, Somerset (The Oppidum)",Site mostly levelled.,Stable site under pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
442,"Bounds Lane, Somerset","S perimeter all but obliterated by ploughing and N and NW quadrants also ploughed-out, leaving E part of rampart which is used as a field boundary.",Down to pasture/arable use.,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
443,"Whitestaunton Camp, Somerset (Horse Pool Copse; Horse Pool Camp; Southay Camp; Harbury; Hamberry; Whitestanton Camp)","Affected by agricultural operations, especially the S entrance and infilling of S ditch. Dutch barn,troughs and gate adjacent to ditch on NE.",W rampart planted with conifers.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No
444,"Knapp Copse, Somerset",Nearly destroyed. Site only exists on W and SW sides.,Dense woodland of Knapp Copse.,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
445,"Dundon Hill Camp, Somerset (Compton Dundon Hillfort)","Ramparts complete circuit, but incomplete in places. In SE corner is Dundon Beacon mound, a former Bronze Age barrow later used as a Norman motte.","Site surrounded by steep wooded slopes of Hillwall Wood; less so on S and part of NW quadrant. Interior grazed scrubby grassland. Dundon Beacon mound, a former Bronze Age barrow later used as a Norman motte. Nature reserve.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
446,"Milborne Wick, Somerset (Burrow Hill)",Ramparts in excellent condition.,Ramparts grass covered. Interior cultivated.,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
447,"Westwood, Somerset (West Wood Hillfort)",Ploughed-out.,Ditch in West Wood to E.,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
448,"Ham Hill, Somerset (Hamdon Hill Camp)",Much affected by quarrying for valuable Ham Hill stone on W side; continuing and extending. Some regular ploughing in E of interior. Banks impressive in places.,Mostly pasture with some scrub clearance.  Quarry.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes
449,"Brean Down Camp, Somerset","Much disturbed by 20th century military buildings and road, which cuts through rampart on the W, and quarrying for limestone.","WWII building remains, quarrying, road construction. SSSI.",Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
450,"Ruborough Camp, Somerset (Roberrow; Roborough; Roborough)","The site generally well preserved, but barn constructed in ditch as part of Ruborough Farm. On Heritage at Risk Register (2015).",Farm development.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
451,"Rooks Castle, Somerset",Cropmark site visible on aerial photographs.,NA,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
452,"Cannington Park Camp, Somerset (Cynwit Castle; Cynuit Castle; Gynwir Castle; Kynwich Castle)",Quarry immediately to N of site. Its effects not recorded.,Wooded.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
453,"Brent Knoll, Somerset (Brent Knoll)","Damaged by medieval quarrying in interior and WWII Home Guard slit trenches with revetment, gun emplacement and other activity. Jubilee stone and flag mast.","Medieval quarrying in interior and WWII Home Guard slit trenches with revetment, gun emplacement and other activity. Jubilee stone and flag mast.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
454,"Plainsfield Camp, Somerset (Cockercombe Castle)",Interior uneven as result of past conifer plantation.,"Site cleared of conifer plantation, which surrounds the fort. WWII activity, including slit trenches and small pits.",Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes
455,"Orchard Wood, Somerset (Orchard Wood Hillfort)",Damaged and interior scarred by numerous trial pits for ironstone and heavily wooded effects.,Located within Orchard Wood.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
456,"Mells Down Camp, Somerset","Ploughed-down. Formerly bank to 1m high and 10m wide in places, but present extent not determined and probably no longer visible.",Under arable.,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
457,"Winsmoor Hill, Stocklinch, Somerset",NA,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
458,"Blacker's Hill, Somerset",Affected by farm operations of Blacker's Hill Farm located immediately to NW of fort boundary. Ploughed out and reduced in places and outer ditch to N used as farm track. Inner bank and ditch also damaged in 19th century and hardly visible in places.,NA,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
459,"Maesbury Castle, Somerset (Marksbury)","Much plough damage to rampart and ditch, levelled in places. Outer ditch used as field boundary with hedge or hedge bank around entire circuit. Outside, the remaining width of ditch and counterscarp degraded by past ploughing. Outwork disturbed by creation of golf course on E side and now seen as low linear bank for c. 22m, 0.4m high and 11m wide. Both entrances damaged.","Banks grassed, interior cultivated.",Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
460,"Dinies Camp, Somerset",Substantially eroded by cultivation and bank and counterscarp intermittent.,Upland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
461,"Tedbury Camp, Somerset",Affected by past limestone quarrying. Outer bank much reduced.,Now sited within Tedbury Covert. One part pasture. Quarrying.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
462,"Small Down Camp, Somerset (Small Down Knoll Camp)",Generally good preservation.,"Upland pasture with part wooded ramparts to N and isolated trees on ramparts to E, S, W.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
463,"Kingsdown Camp, Somerset",Nearly gone.,Downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
464,"Wadbury Camp, Somerset (Wadbury Hillfort)",Affected on E by domestic gardens and outer bank to N at entrance part-destroyed by farm track.,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
465,"Fox Covert, Somerset",Suggested bowl barrow mound to W interior may be due to quarrying. Old quarry pit at SE corner obliterated defences. To E ditch largely in-filled with building waste. Bank much reduced by ploughing.,Cultivated interior; grassed banks. Quarrying.,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes
466,"Westbury Camp, Somerset",Damaged by limestone quarries.,Upland pasture. Bare rock outcrops.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
467,"Roddenbury Hill, Somerset (Roddenbury Camp)",Affected by sand quarrying and digging since 19th century.,Dense undergrowth has precluded much investigation. Quarrying.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
468,"Yeavering Bell Camp, Northumberland",In 1998 a pilot archaeological survey project at Yeavering Bell resulted in a 25-year Management Agreement with the landowner to protect all the archaeologically sensitive areas.,"Rough grassland, possibly grazed",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
469,"Fawcett Shank, Northumberland",Extant but partially overlain by a post-medieval sheep fold.,The hillfort is surrounded by plantation which prevents access by grazing animals. Bracken has grown within the interior.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
470,"Great Hetha, Northumberland (Great Hetha Camp)","Quarrying within and around the hillfort, walls have tumbled in places","Short grassland, most probably grazed",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
471,"Ring Chesters, Northumberland (Elsdon Burn Camp)",Survives in good condition,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
472,"Staw Hill, Northumberland",Well preserved,"Rough grassland, possibly grazed",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
473,"Middleton Dean, Northumberland (Dod Hill (North) Camp)",NA,Satellite imagery appears to show rough grazing and some bracken on the ramparts,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
474,"West Wylam, Northumberland",NA,A car park and rough grassland lie in the approximate location of the hillfort,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
475,"Prendwick Chesters, Northumberland (Prickly Knowe Enclosures)",Severely mutilated and robbed,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
476,"Camp Hill, Northumberland",Survives visible only in the S,Within a copse on a golf course,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
477,"Glead's Cleugh Camp, Northumberland (Gledes-Cleugh Camp; Gleadscleugh)",NA,"Rough grassland, possibly grazed",Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
478,"Humbleton Hill Camp, Northumberland (Homildon; Hameldun; Holmedon; Homilheugh)",NA,Rough pasture,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
479,"Monday Cleugh, Northumberland",NA,Rough grassland and heather,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
480,"Castle Hill Alnham, Northumberland",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
481,"Chubden Camp, Northumberland (Low Chubden)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
482,"Isabella's Mount Camp, Northumberland (Rayheugh)",Survives in poor condition,Grassland with possible encroaching woodland in the N.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
483,"Lucker Camp, Northumberland (Ratchwood)","In poor condition, vulnerable to plant growth",NA,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
484,"Roundabouts Camp, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
485,"Broxmouth, East Lothian",Completely quarried away,NA,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
486,"Castle Dykes, Dunglass Dean, Scottish Borders (Castle Dykes, Dunglass Mill)",Part of the outermost ditches covered by house.,House and associated garden overlying part of the defences,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
487,"Castle Dykes, Bilsdean, East Lothian",NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
488,"Portencross, Auld Hill, North Ayrshire (Auldhill)",NA,Gorse thickets in places.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
489,"Easter Pinkerton, East Lothian (Thurston)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
491,"Gallow Law, Northumberland (Clennell Street; Castle Hills)",NA,Pasture with rocky outcrops,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
492,"Camp Knowe, Northumberland (Clennell Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
493,"Barcombe Hill, Northumberland",Extant but quarry pits extend for 450m along the northern ditch and to the E and W.,NA,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
494,"Bardon Mill, Northumberland",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
495,"Chesters Hill, Northumberland",Vulnerable to scrub and tree growth,"Rough grassland, woodland borders the enclosure in the N and SW. Satellite imagery appears to show gorse covering the NW corner and along the cliff edge",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
496,"Bantam Hill, Northumberland (Belsay Hill)",In poor condition,Bordered by encroaching woodland in the N and NW,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
497,"Harehope Hill, Northumberland","Ploughed down in the N, with lengths of extant banks and ditches on scrub and grassland in the S.",NA,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No
498,"Randy Burn Camp, Northumberland (Percy's Cross)",NA,NA,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
499,"Bewick Hill Moor Camp, Northumberland (Blawearie Fort)",Good preservation but vulnerable to stock erosion,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
