Main_Atlas_Number,Main_Display_Name,Landscape_Altitude,Landscape_Type_Comments,Landscape_Topography_Comments,Landscape_Topography_Dominant,Landscape_Type_Contour,Landscape_Type_Partial,Landscape_Type_Promontory,Landscape_Type_Hillslope,Landscape_Type_Level,Landscape_Type_Marsh,Landscape_Type_Multiple,Landscape_Topography_Hilltop,Landscape_Topography_Coastal,Landscape_Topography_Inland,Landscape_Topography_Valley,Landscape_Topography_Knoll,Landscape_Topography_Ridge,Landscape_Topography_Scarp,Landscape_Topography_Hillslope,Landscape_Topography_Lowland,Landscape_Topography_Spur,Landscape_Aspect_N,Landscape_Aspect_NE,Landscape_Aspect_E,Landscape_Aspect_SE,Landscape_Aspect_S,Landscape_Aspect_SW,Landscape_Aspect_W,Landscape_Aspect_NW,Landscape_Aspect_Level
1004,"Muckelty, Sligo",196.0,"Contour fort surrounding the domed summit of the E peak of Muckelty Hill. This isolated hilltop is a prominent feature in the landscape. It has two summits, at the E and W respectively, and overlooks flat terrain in all directions. The W summit partially blocks view to the NW.",,Muckelty Hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1005,"Alais Knowe, Elbeckhill, Dumfries & Galloway",240.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1006,"Mullaghcor, Sligo",121.0,"Contour fort surrounding the domed summit of hilltop in undulating terrain with panoramic views from the summit. A number of river systems run along the base of the hilltop at the N, S and W.",,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1007,"Bigwood, Westmeath (The Hill of Mael, The Hill of Moat)",241.0,Contour fort in commanding position surrounding the level summit of prominent hilltop with panoramic views from the summit and low-lying terrain to the W.,,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1008,"Dinwoodie Hill, Dumfries & Galloway (Dalmakethar; Millhill)",105.0,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1009,"Oldcourt, Wicklow (Woodend Hill)",302.0,Contour fort surrounding the domed summit of Woodend Hill from which there are panoramic views. The fort sits in a commanding position overlooking the River Liffey to the immediate N. Here the river breaks through the Wicklow Mountains and creates a natural routeway from E to W.,,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1010,"Rathmoon, Wicklow",150.0,"Multiple enclosure surrounding the domed summit of indistinctive low-rise hilltop in lowland terrain. This fort is positioned near the centre of the Baltinglass hillfort cluster, a confined group of large hillforts in the west extremity of the Wicklow Mountains.",,Low-rise hilltop,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
1011,"Middle Houghton, Northamptonshire (Great Houghton)",80.0,Inland promontory,,promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1012,"Athgoe, Dublin (Athgoe Hill, Raheen)",177.0,Contour fort surrounding the highest point of Athgoe Hill at NE edge of the Wicklow Mountains. Panoramic views from the summit with particularly impressive views of flat terrain to N.,,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1013,"Ardcarney, Clare",51.0,Contour fort surrounding the summit of hilltop in undulating terrain with panoramic views from the summit. The fort overlooks the River Fergus immediately to the E.,,Hilltop,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1015,"Dalmakethar, Dumfries & Galloway",120.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1016,"Ballyneillan, Clare (Cairn Hill)",104.0,"Contour fort at highest point of hill spur projecting E from a N-S running escarpment. Panoramic views from the summit with particular emphasis on views of low-lying terrain to the N, E and S.",,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1017,"Dalmakethar, Dumfries & Galloway",120.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
1019,"Ballybroony, Mayo (Rathnabart)",47.0,Oval contour enclosure surrounding the summit of low-lying hilltop overlooking level terrain in all directions and the former lake known as Lough Dalla to the immediate NW.,,Low-rise hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1020,"Broomhillbank Hill, Dumfries & Galloway (Broom Hill Bank Hill)",250.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1021,"Ballynamrossagh, Tipperary (Rathmoyle)",155.0,Contour fort surrounding the domed summit of hilltop with excellent views in all directions and overlooking the Shroughnagowneen River at the base of the hill to the N.,,Low-rise hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1022,"Ballyneety, Tipperary",63.0,Contour fort surrounding the summit of a prominent hilltop in undulating terrain with excellent views of the surrounding low-land. The site is positioned immediately to the N of the River Suir.,,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1023,"Broomhillbank Hill, Dumfries & Galloway (Broom Hill Bank Hill)",255.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1024,"Dornock Mains, Dumfries & Galloway (Dornoch; Gleningle)",15.0,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
1025,"Robgill, Dumfries & Galloway",60.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1026,"Carterton, Dumfries & Galloway",170.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
1027,"Boeeshil, Leitrim",98.0,"Contour fort positioned at the domed summit of hilltop in undulating terrain and at W edge of Garadice Lough, with extensive views of the lake and the surrounding terrain.",,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1028,"Dormont Rig, Carterton, Dumfries & Galloway",240.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1029,"Garristown, Dublin",168.0,Contour fort positioned around the domed summit of isolated hilltop with panoramic views from the summit.,,Hilltop.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1030,"Whitcastles, Dumfries & Galloway",240.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1031,"Newland Hill, Dumfries & Galloway",305.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1032,"Craighousesteads, Dumfries & Galloway",260.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1033,"Cleuchheads, Dumfries & Galloway (Wynholm Burn)",165.0,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
1034,"Doe's Hill, Dumfries & Galloway (Kirtlehead)",255.0,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
1035,"Mid Hill, Dumfries & Galloway (Cairnknowe; Haggy Hill)",330.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1036,"Minsca, Dumfries & Galloway (Minsca Farm)",242.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1037,"Newhall Hill (NW), Dumfries & Galloway (Newhall Farm)",260.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1038,"Newhall Hill (SE), Dumfries & Galloway (Newhall Farm)",255.0,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
1039,"Kilfarrasy, Waterford",14.0,"The coastal promontory can be described as a grass-covered headland measuring 120m N-S by 90m E-W that projects S from the mainland at an altitude of 14m OD. It is cut off on the landward side by a 40m ditch running in a NE-SW direction across the neck of the promontory. An Inner bank was also recorded by Westropp (1906; 1914-16), but this is no longer evident (Moore 1999).",,S-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1040,"Knockmahon, Waterford",5.0,"The coastal promontory can be described as a triangular, grass-covered headland projecting SW from the mainland into the Atlantic at an altitude of 5m OD. Defended on the landward side by an eroded earthen bank and ditch running in an E-W direction for c. 35m",,SW-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1041,"Rathmoylan, Waterford",20.0,This coastal promontory can be described as a triangular area with steep grassy slopes on either flank projecting S into the Atlantic from the mainland at an altitude of 20m OD. The headland is defended by an earthen bank and external ditch.,,South-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1042,"Crawthat Cottage, Dumfries & Galloway",165.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1043,"West-Town, Waterford (Great Island)",14.0,This promontory can be described as an irregular grass and heather-grown area measuring  60-90m N-S by 72-110m E-W that projects S from the mainland into the Atlantic at an altitude of 14m OD. The headland is cut off at the N end by an earthen bank  that runs in an E-W direction for approximately 72m and an external ditch.,,S-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1044,"Woodstown, Waterford",7.0,"The coastal promontory can be described as a grass-covered rectangular area that projects SW from the mainland into the Atlantic at an altitude of 7m OD, and may once in remote antiquity have been linked to a series of offshore stacks.",,S-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1045,"Kilpoole Upper, Wicklow",10.0,"Traces of a ditch visible as cropmark on aerial photographs on the top of the coastal escarpment, but with a finger of land projecting out into the ea at its foot.",,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
1046,"Mountbagnall, Louth (Mota Gormfhlaith)",18.0,Once situated in a commanding position projecting S into Dundalk Bay at an altitude of 18m OD. The triangular neck of land was cut off by a much degraded bank and ditch on the landward side to the N. A small V-shaped ditch cut off the apex of the site on the seaward side.,,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1047,"Nook, Wexford",7.0,This coastal promontory can be described as a roughly triangular area that barely projects N from the mainland into Nook Bay at an altitude of 7m OD. The natural defences are partly provided by the River Barrow at W with an earthen and stone bank (Wth 9.5m; H 2m) and outer ditch (Wth 5m; D 1.2) on S side.,,N-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1048,"Ramstown, Wexford (Dundonnell)",3.0,This coastal promontory projects E from the mainland into the sea at an elevation of 3m OD. The headland is defended to the W by an earthen bank  that runs in a N-S direction for c. 53m and an external ditch (Wth at base 3-4m). A possible outer bank is also evident  with a recorded width of 10m and height of 1.6m.,,E-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
1049,"Castlewideham, Cork (Dun Cruadha)",54.0,"Inland promontory fort positioned on the W side of the River Awbeg, a tributary of the Blackwater River. The interior of the fort surrounds E and SE facing slopes and is delimited by a steep incline from N to SW. Excellent views of the Awbeg from interior.",,E facing promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
1050,"Gort An Choirce, Donegal (Cashel)",29.0,Inland promontory fort positioned on an elevated N facing spur overlooking an extensive N-S running natural route-way and the Glenna River To W.,,W facing promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1051,"Slieve, Louth",47.0,"Positioned on the E side of ridge with sheer slopes all around, inland promontory fort overlooking Castletown River to the S and a number of small streams at the base of the hill to the NE.",,Ridge.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
1052,"Knockagh, Louth",50.0,"Inland promontory fort positioned on the E side of isolated hilltop with bank and ditch separating the E and W sections of the summit and sheer slopes defining the N, E and S portions of the site. Overlooking Castletown River to the S and a number of small streams at the base of the hill to the N.",,Isolated hilltop.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
1053,"Kane, Louth",51.0,Oval fort positioned on S end of hilltop promontory in undulating terrain. Panoramic views from the summit.,,Promontory on hilltop.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1054,"Anneville, Clare",24.0,Irregular shaped inland promontory fort positioned on a W facing promontory overlooking Inchiquin Lough.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1055,"Oldcourt, Cork",75.0,"Inland promontory fort positioned at intersection between the E-W running Awbeg River and a N-S running Bregoge River. The triangular shaped fort is bounded on the E, S and W by steep slopes to the floor of the river valleys and a now levelled set of banks cut off the N neck of the promontory.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1056,"Drombrow, Cork",51.0,Wedge shaped inland promontory fort positioned to the S of the Mealagh River. A series of enclosing elements at the S cut off the S neck of this promontory. Excellent views of the River valley to the S.,,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
1057,"Ballyhugh, Cavan",66.0,"Inland promontory fort surrounded by Dungummin Lough at the N, E and W and by a large bank and ditch at the S.",,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1058,"Glasleck, Cavan",107.0,Inland promontory fort positioned at NW end of long and low headland jutting out into Milltown Lough.,,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1059,"Garrysallagh (D'Arcy), Cavan",63.0,Inland promontory fort positioned at the S side of curve in river. A series of enclosing elements cut off this bend. Site in commanding position near the mouth of river where the river meets the E side of Lough Sheelin.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1060,"Mullagh, Cavan",121.0,"Inland promontory fort at SW end of long, narrow promontory surrounded at N, E, S and W by Mullagh Lough and defended on the landward side by a bank and ditch at the NE. The promontory was formerly an island prior to the recent drop in water levels. The site is immediately overlooked by Mullagh Hill to the NE.",,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1061,"Tullynavinn, Donegal",105.0,"Irregular shaped inland promontory positioned on level spit of high ground projecting W and overlooking river to S, W and N.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1062,"Doon, Donegal (Doon Rock)",119.0,Inland promontory fort positioned on oval rock outcrop defined by sheer slopes on all sides. The most accessible approach at the SW is defended by a denuded rubble stone wall (Lacey 1983). Panoramic views from the interior of the site.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1063,"Templetown, Wexford",17.0,The promontory is situated on top of sea-cliffs (H c. 20m) on the E side of the Barrow/Nore/Suir estuary. Described as a circular scrub-covered area (diam. 23m NW-SE) defined by the sea cliff WSW-W-NE and a ditch. It is overlooked by higher ground to the E and S.,,It is overlooked by higher ground to the E and S.,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1064,"Saltee Island Great, Wexford (Saltee Island Great)",2.0,"This possible coastal promontory fort is located at the NE point of the Great Saltee Island, on a low-lying, level (2m OD), grass and fern-covered field. The island lies off the S coast of Co. Wexford. Defended to the S by a curving bank and external ditch.",,N-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1065,"Conundrum South, Northumberland (Halidon Hill Iron Age Fort)",100.0,The remains of a possible hillslope fort lying at 100m OD on an E-facing slope,,E-facing slope,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
1066,"An Machaire, Donegal",115.0,"Inland promontory fort on the N shore of Aghnish Lough. Promontory projects S from shore and is defined on the E, S and W by the lake. A narrow neck of land at the N connects to the mainland. This is protected by a stone wall.",,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1067,"Drumnasillagh, Donegal",112.0,Inland promontory fort in commanding position overlooking Owenea River and valley to the S. Excellent views from the summit with particularly impressive views of low-lying terrain to the W.,,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1068,"An Bhraid Ochtarach, Donegal",125.0,Inland promontory fort in commanding position overlooking Glencolumbkille River and valley to N and NW. Excellent views of Glencolumbkille bay to W.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1069,"Liathleitir, Galway",89.0,What appeared from aerial photography to be an Inland promontory fort positioned on the S shore of Lough Alavamore has been shown by fieldwork to have been a drainage ditch cut for a land improvement scheme in the 1960s-70s.,,Promontory.,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1070,"Fawnlion, Leitrim",170.0,Inland promontory fort on S facing slopes of hilltop with excellent views of Doon Lough and valley to S. Fort is positioned on rock outcrop that rises from the S facing slope. Cliff edge on all side except NE where a ditch protects the most accessible route to the interior.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1071,"Woodford Demesne, Leitrim",58.0,Inland promontory fort at E edge of bend in Woodford River connecting Derrycassan and Garadice Lough's with excellent views of both lakes from the interior.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1072,"Ballinwing, Leitrim",62.0,"Inland promontory fort on prominent flat topped rock outcrop with panoramic views from the summit. The fort is defined by a steep natural slope at N, E and W and is protected at the S by a collapsed stone wall (Moore 2003).",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1073,"Glen (Richards), Wexford (Pollshone Moat)",7.0,"This possible coastal promontory fort is situated at Polshone Head, with the sea on the NW and E sides while a ravine is on the S side. Depicted as 'Pollshone Moat' on the first edition six-inch OS map, the oval, grass-covered area is defended by two oval sets of defences at an altitude of 7m OD.",,N-E facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
1074,"Ballinteskin, Louth",82.0,Inland promontory fort at N foothills of Carlingford mountain defined by a bend in a river on the E and SE and a arcing earth and stone bank on the W and N. Excellent views of Carlingford Lough to E.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1075,"Ballycahill, Limerick",82.0,"Inland promontory fort positioned on flood plain at the confluence of the River Camoge and a smaller tributary. The rivers define the site at the NE, SW, W and N. The SE neck of land is defended by a linear bank ditch-bank-ditch feature now visible only as a cropmark. The fort is surrounded by a dense distribution of barrow features, including the large multivallate barrow at Rathanny across the Camoge river 50m to the NE.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
1076,"Chatton Law Camp, Northumberland (Chatton Park)",171.0,A hillslope fort lying on a northwesterly-facing spur at 171m OD.,,"Hillslope, spur",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
1077,"Bessie's Hill, Dumfries & Galloway",240.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
1078,"Errew, Mayo",11.0,"Inland promontory fort on the NW shore of Lough Conn. The fort is defined by the lake at the N, E and W and is joined to the mainland by a neck of land at the S which is protected by an 8m wide ditch feature visible in aerial photographs as a vegetation mark.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1079,"Cloghans, Mayo",9.0,"Inland promontory fort on E shore of Lough Conn. The triangular shaped fort is positioned at the tip of a N facing promontory and is shown as a hachure defined scarp forming a complete enclosure on earlier OS mapping. Today the flanks open onto the edge of a sand and shingle beach at the N, E and W.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1080,"Treanbeg, Mayo",12.0,Inland promontory fort on E shore of Lough Feeagh. Thin promontory projecting SW into lake. Narrow neck of land at NE is blocked by two banks with an intervening ditch.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1081,"Doontrusk, Mayo",4.0,Irregularly shaped promontory enclosure projects SE into Furnace Lough. Enclosed on the NW where a substantial wall cuts off a narrow neck of land.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1082,"Bank Head Hill, Dumfries & Galloway (Bankhead Hill; Bank Head Hill 2; Bankburnfoot)",213.0,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
1083,"Castlecarra, Mayo (Doon Wood.)",19.0,Inland promontory fort on E shore of Lough Carra. Promontory projecting SW into Lough Carra. A narrow neck of land that joins the fort to the mainland at the NE is protected by a substantial wall and is defined elsewhere by the lake.,,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1084,"Enzieholm, Bogle Walls, Dumfries & Galloway",130.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1085,"Carrickspringan, Meath (Big Rock.)",124.0,Inland promontory fort on elevated rock outcrop with steep slopes encompassing the site. Excellent view of river system to immediate E.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1086,"Knowth, Meath",42.0,"Inland promontory fort positioned at the edge of a steep slope formed by the Boyne River to the W. The remainder of the fort is defined by a bank, external ditch and counterscarp bank apparent only in the N. Excellent views of the Boyne River valley from the interior. The fort is positioned near the famous Boyne Valley passage tombs of Newgrange, Knowth and Dowth and is overlooked by the former two.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1087,"Billholm, Dumfries & Galloway (River Esk)",135.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1088,"Greaghnaglogh, Roscommon (Doon Roeree)",230.0,"Inland promontory fort on S facing slope of hilltop. Promontory projects S towards a junction between two river systems. This junction is overlooked by the fort. The rectangular shaped site is defined by steep slopes of up to 20m at the E, S and W and is protected at the N by an earthen bank.",,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1089,"Castletenison Demesne, Roscommon",54.0,"Inland promontory fort projecting ESE from the W shore of Lough Meelagh. The fort is defined at the N, E and S by the lake. The WNW neck of land is protected by a linear ditch. Annagh inland promontory fort 180m to S (Atlas No.1091).",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1090,"Cloonamore (Cluana Mór), Galway (Inishbofin) (Dunahineena)",10.0,"This coastal promontory can be described as a small cliff-bound island of c. 1ha which was once connected to the mainland by a narrow neck of land. Situated on the NE side of Inishbofin, it is slightly overlooked to the SW by bare rock outcrop.",,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1091,"Annagh, Roscommon",48.0,"Inland promontory fort on W shore of Lough Meelagh projecting E from the mainland. The fort is defined at the N, E and S by the lake and by an earthen bank and external ditch at the neck joining the fort to the mainland on the W. Castletenison Demesne inland promontory fort 180m to N (Atlas No.1089).",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1092,"Churchacres, Roscommon",49.0,"One of three inland promontory forts positioned on the shore of Lough Meelagh. Churchacres fort is positioned on the NE shore and projects SW towards the centre of the lake. Defined by Lough Meelagh at the SE, S, W and NW. The NE neck of land that connects the fort with the mainland is protected by an earthen bank and external ditch.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1093,"Beagh, Roscommon",60.0,Inland promontory fort in a meander on the E side of the River Suck. The fort is defined on the S and W by the river and is defended on the N and E side by a curving set of enclosing elements.,,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1094,"Camp Hill, Bailiehill, Dumfries & Galloway (Bailiehill)",235.0,,,,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1095,"Curragh (An Curragh), Galway (Caherdoona (Fort of The City))",6.0,"This coastal promontory is situated on a prominent headland to the S of Renvyle Point. It can be described as an oval enclosure (Int 55m by 25m) that slopes steeply to the N from the cliff edge at an elevation of 6m OD. Defined by a revetted scarp, a ditch and an outer bank.",,S-facing promontory.,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1096,"Ballymore, Roscommon",85.0,"Inland promontory fort projecting W from the W slopes of Slieve Bawn. Located at the junction between two small rivers. These rivers and steep slopes at the river edge define the fort at the N and W, while on the E and S access on the landward is protected by an earthen bank and external ditch. Excellent views to the W from the interior.",,Promontory.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
