Main_Atlas_Number,Main_Display_Name,Dating_Date_Comments,Dating_Pre_Comments,Dating_Post_Comments,Dating_Date_Pre_1200BC,Dating_Date_1200BC_800BC,Dating_Date_800BC_400BC,Dating_Date_400BC_AD50,Dating_Date_AD50_AD400,Dating_Date_AD400_AD800,Dating_Date_Post_AD800,Dating_Date_Unknown,Dating_Date_Reliability,Dating_Pre,Dating_Post,Related_Dating_Artefactual,Related_Dating_NA,Related_Dating_Morph_Earth_Typo,Related_Dating_C14,Related_Dating_Other
960,"Blackford, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Ploughed flat,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
961,"Coolum, Waterford",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
962,"Millbank, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Incorporated into 19th-century plantation,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
963,"Dunbrattin, Waterford",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
964,"Brewel West, Kildare (Brewel Hill)",None.,Possible stone circle 'The Piper's Stones' at the centre of the fort.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
965,"Greenhillhead, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Ploughed flat,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
967,"Gallaberry, Dryfeholm, Dumfries & Galloway (Gallaberry Hill)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Part planted with trees and partly ploughed down,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
968,"Ringlestown, Meath (Ringlestown Rath)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
969,"Raferagh, Monaghan",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
970,"Dryfesdalegate, Dumfries & Galloway (Dryfesdale Gate)",There are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.,Flints found when the defences were sectioned,Ploughed down,No,No,No,No,No,No,No,Yes,D,Yes,Yes,No,Yes,No,No,No
971,"Ballymartin, Mayo (Lisnatreanduff)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
972,"Ballykilleen, Offaly (Ballykilleen Hill)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
973,"Green Hill, Dumfries & Galloway (Dryfe Water)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
974,"Catharine's Hill, Dumfries & Galloway (River Annan; Nether Murthat)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Creation of an enclosure within the N end of the interior; the defences are also ploughed down and a post-medieval field bank extends along the fort's W side.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
975,"Woodend, Dumfries & Galloway (Johnstone)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Ploughed down,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
976,"Dunbrattin, Waterford",No dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
977,"Knock Hill, Northumberland","Undated, presumed Iron Age",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,No,Yes,No,No
978,"Dunmore (Shanooan), Waterford (Black Knob)",There is no dating available for the site,NA,Land redeveloped in 1970s for commercial premises and housing.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
979,"Dundoran, Dumfries & Galloway (Dundoran Plantation)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Planted with trees,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
980,"Garrarus, Waterford (Illauncoltia)",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
981,"Islandhubbock, Waterford",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
982,"Carthur Hill, Dumfries & Galloway (Boreland)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
983,"Islandikane East/Islandikane South, Waterford",There is no dating available for the site.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
984,"Broom Hill, Dumfries & Galloway (Cacrabank Hill; Broomhill)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Ploughed down with rig-and-furrow an overlain by plantation bank,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
986,"Killowen, Offaly",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
987,"Togher, Offaly",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
988,"Carrowkeel, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
989,"Peat Hill, Dumfries & Galloway (Dryfe Water)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Overlain by a rectilinear settlement,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
990,"Castleruby, Roscommon (Tonroe, Lissawaddy)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
991,"Moydow, Roscommon (Moydow Hill)",None.,Cairn at centre of fort.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
992,"Castle Hill, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",The unfinished rampart was thought by RCAHMS in 1990 to overlie the westernmost round-house,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
993,"Rockville, Roscommon (Mullinashee Wood)",None.,Large cairn at highest point of interior. Known as 'The Giants Grave'.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
994,"Carrowgilhooly, Sligo",None.,NA,Quarry dug into N side,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
995,"Rangecastle, Dumfries & Galloway (Rangecastle Hill; Range Castle)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
996,"Beacon Hill, Leicestershire","Possibly late Bronze Age due to stray finds of artefacts including a hoard of an axe, gouge and two spearheads (19th century finds), also bronze working debris. A medieval beacon is on the hilltop.",NA,Medieval beacon.,No,Yes,Yes,No,No,No,No,No,C,No,Yes,No,Yes,No,No,No
997,"Hallaton Wood, Leicestershire",No dating,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
998,"Robin-a-Tiptoe Hill, Leicestershire",No dating,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
999,"Bury Camp, Leicestershire (Ratby Camp; Ratby Burrow)",Surface finds of late Bronze Age and Iron Age pottery have been found associated with the bank. A mortarium sherd also found. Incorporated into a medieval deer park.,NA,NA,No,No,Yes,Yes,No,No,No,No,C,No,Yes,Yes,No,No,No,No
1000,"Burrough Hill, Leicestershire","From excavation - stratified artefacts, C14 dates. Neolithic activity, Romano-British occupation.",NA,NA,No,No,No,Yes,Yes,No,No,No,A,Yes,Yes,Yes,No,No,Yes,No
1001,"The Bulwarks, Leicestershire (Breedon Hill; Breedon-On-The-Hill)","Dated to the Iron Age by excavation, stratigraphy and artefacts. Pre-rampart Iron Age occupation. Medieval church in the interior.",NA,NA,No,No,Yes,Yes,No,No,No,No,B,Yes,Yes,Yes,No,No,No,No
1002,"Life Hill, Leicestershire",No dating evidence other than Romano-British pottery from field walking.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1003,"Blackberry Hill, Leicestershire","No evidence other than a beehive quern ploughed up, and Roman pottery and slag were noted on the site in the 1980s.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1004,"Muckelty, Sligo",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1005,"Alais Knowe, Elbeckhill, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Overlain by post-medieval farmstead and field-banks,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1006,"Mullaghcor, Sligo",None.,A bowl barrow is positioned at the NW section of fort interior.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
1007,"Bigwood, Westmeath (The Hill of Mael, The Hill of Moat)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1008,"Dinwoodie Hill, Dumfries & Galloway (Dalmakethar; Millhill)",There are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.,NA,Overlain by a rectilinear settlement enclosure,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1009,"Oldcourt, Wicklow (Woodend Hill)",None.,A cairn is recorded at the highest point of the interior but has since been removed (Grogan and Kilfeather 1997).,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
1010,"Rathmoon, Wicklow",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1011,"Middle Houghton, Northamptonshire (Great Houghton)",No dating,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1012,"Athgoe, Dublin (Athgoe Hill, Raheen)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1013,"Ardcarney, Clare",None.,NA,Possibly overlain by an early medieval ringfort,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1015,"Dalmakethar, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1016,"Ballyneillan, Clare (Cairn Hill)",None.,Cairn adjacent,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
1017,"Dalmakethar, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,"Overlain by Late Iron Age settlement, and subsequently ploughed down to one side of a post-medieval field-boundary",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1019,"Ballybroony, Mayo (Rathnabart)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1020,"Broomhillbank Hill, Dumfries & Galloway (Broom Hill Bank Hill)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Cord rig is visible in the interior,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1021,"Ballynamrossagh, Tipperary (Rathmoyle)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1022,"Ballyneety, Tipperary",None.,NA,Lazy-beds visible in the interior,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1023,"Broomhillbank Hill, Dumfries & Galloway (Broom Hill Bank Hill)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1024,"Dornock Mains, Dumfries & Galloway (Dornoch; Gleningle)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Ploughed flat,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1025,"Robgill, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Planted with trees,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1026,"Carterton, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1027,"Boeeshil, Leitrim",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1028,"Dormont Rig, Carterton, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Ploughed down on one side by post-medieval rig-systems,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1029,"Garristown, Dublin",None.,NA,Post-medieval windmill built in the centre of the interior,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1030,"Whitcastles, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Quarried and planted with trees in the 19th century,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1031,"Newland Hill, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1032,"Craighousesteads, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Overlain by post-medieval field bank and ploughed down,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1033,"Cleuchheads, Dumfries & Galloway (Wynholm Burn)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Overlain by modern farmstead (now derelict),No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1034,"Doe's Hill, Dumfries & Galloway (Kirtlehead)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Overlain by Late Iron Age settlements,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1035,"Mid Hill, Dumfries & Galloway (Cairnknowe; Haggy Hill)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1036,"Minsca, Dumfries & Galloway (Minsca Farm)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",Palisaded enclosures,Overridden by a second settlement enclosure on the S,No,No,No,No,No,No,No,Yes,D,Yes,Yes,No,Yes,No,No,No
1037,"Newhall Hill (NW), Dumfries & Galloway (Newhall Farm)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",Earlier palisaded enclosure,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,Yes,No,No,No
1038,"Newhall Hill (SE), Dumfries & Galloway (Newhall Farm)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1039,"Kilfarrasy, Waterford",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1040,"Knockmahon, Waterford","There is no dating available for the site. While the discovery of Ogham stones within the ditch could indicate an early medieval date for the site, it cannot be confirmed without excavation.",NA,The discovery of Ogham stones could indicate post-hillfort activity however this cannot be confirmed without excavation.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1041,"Rathmoylan, Waterford",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1042,"Crawthat Cottage, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Subdivided interior and overlain by a sod ring enclosure and most recently demolished in a pasture improvement scheme,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1043,"West-Town, Waterford (Great Island)",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1044,"Woodstown, Waterford",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1045,"Kilpoole Upper, Wicklow",There is no dating available for the site.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1046,"Mountbagnall, Louth (Mota Gormfhlaith)",There is no dating available for the site.,NA,"Bulldozed by 1966, the site was completely removed in the course of gravel extraction prior to 1985",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1047,"Nook, Wexford",There is no dating available for the site,NA,Fortified medieval church is recorded in the interior of the site (WX044-002002),No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1048,"Ramstown, Wexford (Dundonnell)",There is no dating available for the site,NA,"OConor (2003 22-4) identifies the remains of two small ditches at the S end beyond the line of the defensive earthworks. They appear to be cut by the massive earthworks, which suggests to him that the large visible works are secondary and might have been re-fortified by Raymond le Gros in 1170 prior to an attack by the Ostmen of Waterford and their Irish allies (ibid. 24-5).",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1049,"Castlewideham, Cork (Dun Cruadha)",None.,NA,Late Medieval tower house. Country house.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1050,"Gort An Choirce, Donegal (Cashel)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1051,"Slieve, Louth",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1052,"Knockagh, Louth",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1053,"Kane, Louth",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1054,"Anneville, Clare",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1055,"Oldcourt, Cork",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1056,"Drombrow, Cork",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1057,"Ballyhugh, Cavan",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1058,"Glasleck, Cavan",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1059,"Garrysallagh (D'Arcy), Cavan",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1060,"Mullagh, Cavan",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1061,"Tullynavinn, Donegal",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1062,"Doon, Donegal (Doon Rock)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1063,"Templetown, Wexford",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1064,"Saltee Island Great, Wexford (Saltee Island Great)",There is no dating available for the site.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1065,"Conundrum South, Northumberland (Halidon Hill Iron Age Fort)","Undated, presumed Iron Age",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1066,"An Machaire, Donegal",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1067,"Drumnasillagh, Donegal",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1068,"An Bhraid Ochtarach, Donegal",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1069,"Liathleitir, Galway",Modern,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,No,No,No,Yes
1070,"Fawnlion, Leitrim",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1071,"Woodford Demesne, Leitrim",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1072,"Ballinwing, Leitrim",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1073,"Glen (Richards), Wexford (Pollshone Moat)",site not dated,NA,"Possible ringfort built within an earlier defence (Moore 1996, 26)",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1074,"Ballinteskin, Louth",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1075,"Ballycahill, Limerick",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1076,"Chatton Law Camp, Northumberland (Chatton Park)","Undated, presumed Iron Age.  The proximity of the cup and ring marked stones might indicate an earlier use of this location.  The stone construction of the internal walls and hut circles suggests later reuse.",NA,NA,No,No,No,No,No,No,No,Yes,D,Yes,Yes,No,No,Yes,No,No
1077,"Bessie's Hill, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1078,"Errew, Mayo",None.,NA,Modern religious house and holy well.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1079,"Cloghans, Mayo",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1080,"Treanbeg, Mayo",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1081,"Doontrusk, Mayo",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1082,"Bank Head Hill, Dumfries & Galloway (Bankhead Hill; Bank Head Hill 2; Bankburnfoot)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Overlain by post-medieval field-banks,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1083,"Castlecarra, Mayo (Doon Wood.)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1084,"Enzieholm, Bogle Walls, Dumfries & Galloway","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1085,"Carrickspringan, Meath (Big Rock.)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1086,"Knowth, Meath","None, but possibly an early medieval ringfort.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1087,"Billholm, Dumfries & Galloway (River Esk)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,Planted with trees,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1088,"Greaghnaglogh, Roscommon (Doon Roeree)",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1089,"Castletenison Demesne, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1090,"Cloonamore (Cluana Mór), Galway (Inishbofin) (Dunahineena)",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1091,"Annagh, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1092,"Churchacres, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1093,"Beagh, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1094,"Camp Hill, Bailiehill, Dumfries & Galloway (Bailiehill)","In the absence of excavation, there are neither stratified artefacts nor radiocarbon dates to provide a chronology for the defences.",NA,"Elements ploughed down in the post-medieval period, and a rectangular building platform has been inserted into the interior",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1095,"Curragh (An Curragh), Galway (Caherdoona (Fort of The City))",There is no dating available for the site,NA,Ridge and furrow. The remains of a WWII lookout stand is recorded at the W end.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1096,"Ballymore, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1097,"Shankoagh, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1098,"Fahy (An Fhaiche), Galway",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1099,"Dundermot, Roscommon",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1100,"Fawnmore (An Fán Mór), Fawnmore (Inishbofin)",There is no dating evidence available for the site.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1101,"Warren, Roscommon (Rindown Peninsula)",None.,Possible bowl-barrow,Anglo-Norman castle and associated structures.,No,No,No,No,No,No,No,Yes,D,Yes,Yes,No,Yes,No,No,No
1102,"High Island (Ardoileán), Galway (High Island)",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1103,"Castle O'Er, Dumfries & Galloway","Five radiocarbon dates, but they may all relate to a late phase of occupation in what is almost certainly a complex and longer sequence.",NA,Some of the house platforms seem to overlie elements of the defences,No,No,No,No,Yes,No,No,No,C,No,Yes,Yes,No,No,Yes,No
1104,"Inishark (Inis Airc), Galway",There is no dating available for the site,NA,"Topped by a later wall, this whole work may be a succession of agricultural boundaries",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
1105,"Clogher Beg, Sligo",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1106,"Inishshark, Galway (Inishark) (Dooneenapisha)",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1107,"Bleakmoor Hill, Northumberland (Harden Quarry)",Undated. Palisaded enclosures usually date to the Late Bronze Age or Early Iron Age.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,No,Yes,No,No
1108,"Hazelwood Demesne, Sligo",None.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
1109,"Knoxspark, Sligo","An animal bone found in the ditch produced a radiocarbon date of 1260+/-40 BP (GrA-2452; 660 to 880 cal AD) (Mount 2003, 106). Despite this, Mount (1994, 1995, 2003) describes the promontory fort as 'Iron Age'. The cemetery may have been Early Medieval. Kelly (2009) has argued that the promontory fort is actually part of a later Viking Age Longphort.",NA,"Also site of an early medieval cairn (AD 680-880; SMR SL020-166008), a second cairn (SL020-166009) and a later burial-ground (SL020-166002) that was subsequently enclosed",No,No,No,No,No,Yes,No,No,B,No,Yes,No,No,No,Yes,No
1110,"Killeany (Cill Ñinne), Galway (Inis Mór) (Dooncaher (The Black Fort))",There is no dating available for the site,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
