Main_Atlas_Number,Main_Display_Name,Annex_Summary,Annex
1095,"Curragh (An Curragh), Galway (Caherdoona (Fort of The City))",NA,No
1096,"Ballymore, Roscommon",None.,No
1097,"Shankoagh, Roscommon",None.,No
1098,"Fahy (An Fhaiche), Galway",NA,No
1099,"Dundermot, Roscommon",None.,No
1100,"Fawnmore (An Fán Mór), Fawnmore (Inishbofin)",NA,No
1101,"Warren, Roscommon (Rindown Peninsula)",None.,No
1102,"High Island (Ardoileán), Galway (High Island)",NA,No
1103,"Castle O'Er, Dumfries & Galloway","The annexe encloses an area of 0.5ha within twin banks with a substantial medial ditch up to 6m in breadth against the outer defences of the fort on the SE. Its angular returns to the defences on the ENE and WSW, not only show that it is conceived as an addition, but the configuration of the angle at the WSW end to leave an entrance at the junction with a linear earthwork that approaches the fort from the N and swings round its SW end, clearly shows that the annexe was designed as part of the system of landscape enclosures that has been identified around the fort. At this entrance the tops of packing stones marking the line of a palisade can be seen protruding through the turf on the crest of the linear earthwork.  A second linear earthwork that approaches the angle of the annexe at this entrance from the S, is cut through it and a radiocarbon date from the primary silts of the annexe ditch indicate its use in the Roman Iron Age. A third linear earthwork approaches the annexe from the ESE, where the broad entrance left between its terminal and the outer bank of the annexe was subsequently blocked with a short length of bank and ditch. There is also a broad entrance into the annexe on the ENE.",Yes
1104,"Inishark (Inis Airc), Galway",NA,No
1105,"Clogher Beg, Sligo",None.,No
1106,"Inishshark, Galway (Inishark) (Dooneenapisha)",NA,No
1107,"Bleakmoor Hill, Northumberland (Harden Quarry)",NA,No
1108,"Hazelwood Demesne, Sligo",None.,No
1109,"Knoxspark, Sligo",None.,No
1110,"Killeany (Cill Ñinne), Galway (Inis Mór) (Dooncaher (The Black Fort))",NA,No
1111,"Haw Birren, Westside, Dumfries & Galloway (Westside)",NA,No
1112,"Tanlawhill, Dumfries & Galloway",NA,No
1113,"Westquarter (An Cheathr– Iartharach), Galway (Inishbofin) (Doonmore (Big Fort))",NA,No
1114,"Hetton Dean West, Northumberland",NA,No
1115,"Lahanagh, Sligo",None.,No
1116,"Douglas Farm, Dumfries & Galloway (Wardens Dykes; Boghead; The Bracken; Gretna)",NA,No
1117,"Westquarter (An Cheathr– Iartharach), Westquarter (Inishbofin) (Doongrania)",NA,No
1118,"Alaghee/Alachaí Mór, Kerry (Doongar)",NA,No
1119,"Ballyhoge, Wexford",None.,No
1120,"Cloghanecanuig (Clochán Ceannúigh), Kerry (Iveragh Peninsula) (An Dún)",NA,No
1121,"Cool East (An Chúil Thoir), Kerry (Iveragh Peninsula) (Dún Rua (Red Fort))",NA,No
1122,"Gilknockie Castle, Dumfries & Galloway (Gilnockie Bridge)",NA,No
1123,"Loch Hill, Dumfries & Galloway (Glendivan; Hoghill)",NA,No
1124,"Shaw Hill, Calkin, Dumfries & Galloway (Cauldkinefoot; Culkin)",NA,No
1125,"Craig Hill, Dumfries & Galloway (Craig)",The outer earthwork is unconvincing as the remains of an annexe.,No
1126,"Little Hill, Craig, Dumfries & Galloway (Little Hill Craig; Craighill)",NA,No
1127,"Gibb's Hill, Dumfries & Galloway (Logan Water)",NA,No
1128,"Brieryshaw Hill, Dumfries & Galloway",NA,No
1129,"Kirk Hill, Scottish Borders",NA,No
1130,"Carby Hill, Scottish Borders",NA,No
1131,"Cool West (An Chúil Thiar), Cool West (Iveragh Peninsula) (Dundagallan; Dún Dá Ghallán (fort of the two pillars))",NA,No
1132,"Emlagh (An Timleach), Kerry (Doonear)",NA,No
1133,"Foilnageragh (Faill na Gcaoireach), Kerry (Iveragh Peninsula) (Dromgour  (Goats Ridge))",NA,No
1134,"Reencaheragh (Rinn Chathrach), Kerry (Caisleán Rinn Chathrach; Doon Point)",NA,No
1135,"Reencaheragh (Rinn Chathrach), Kerry",NA,No
1136,"Ballyickeen Commons (Coimên Bhaile Cên), Kerry (Doonbinnia)",NA,No
1137,"Ballymacadoyle (Baile Mhic and Daill), Kerry (Doon; An Dún)",NA,No
1138,"Ballymore West (Baile Móir Thiar), Kerry (Fail na Mná)",NA,No
1139,"Ballymore West (Baile Móir Thiar), Kerry (An Dúinín)",NA,No
1140,"Ballynahow (Baile na Habha), Kerry (Doonore; An Dún Rua)",NA,No
1141,"Hepburn Bell, Northumberland",NA,No
1142,"Shipman Head, Isles of Scilly",NA,No
1143,"Burnt Hill, St Martin's, Isles of Scilly",NA,No
1144,"Giant's Castle, St Mary's, Isles of Scilly",NA,No
1145,"Arran, Glenashdale, North Ayrshire",NA,No
1146,"Arran, Dippen, North Ayrshire",NA,No
1147,"Arran, Dippen, North Ayrshire",NA,No
1148,"Arran, Clauchlands, 'Dun Fionn', North Ayrshire",NA,No
1149,"Arran, An Cnap, North Ayrshire",NA,No
1150,"Arran, North Sannox, Torr An T' Sean Chaisteil, North Ayrshire","Outworks enclose annexes on the NW and SE, the latter providing additional protection to the entrance and the former an enclosure of about 0.04ha. the relationship between this larger annexe and the inner fort is unknown and it conceivably represents an independent enclosure.",Yes
1151,"Bute, Ardnahoe, Argyll & Bute",NA,No
1152,"Bute, Loch Quien, Argyll & Bute",NA,No
1153,"Bute, Dun Scalpsie, Argyll & Bute",NA,No
1154,"Moel Hiraddug, Denbighshire (Moel Hiraddug Camp)",NA,No
1155,"Penycloddiau, Denbighshire (Pen y Cloddiau)",NA,No
1156,"Moel Arthur, Flintshire",NA,No
1157,"Llwyn Bryn Dinas, Powys (Llwyn Bryn-Dinas)",NA,No
1158,"Cadzow, South Lanarkshire (Hamilton High Parks; High Parks Farm)",NA,No
1159,"Castell Dinas Brân, Denbighshire (Castle Dynas Bran)",NA,No
1160,"Pen y Gaer, Trefor, Denbighshire",NA,No
1161,"y Gardden, Ruabon, Wrexham (Gardden Camp, Caer Din; y Dref Fawr; Coed Cristionydd)",NA,No
1162,"Caer Estyn, Flintshire",NA,No
1164,"Moel Ffagnallt, Flintshire",On SW-facing slope low curvilinear bank to 0.3m high and 2m wide possible annexe.,Yes
1165,"Moel y Gaer, Rhosesmor, Flintshire (Moel-y-Gaer Camp)",NA,No
1166,"Bryn-y-Gaer, Broughton, Wrexham (Bryn-y-Gaer Enclosure)",NA,No
1167,"Pen y Corddyn Mawr, Conwy (Pen y Gorddyn; Pen-y-Corddyn-Mawr, Abergele; Pen-y-Corddyn Camp)",Substantial annexe adds c. 200m to site and 5.3ha on N and NW with single wall and simple annexe on NW.,Yes
1168,"Dinorben, Conwy (Parc y Meirch)",NA,No
1169,"Castell Cawr, Conwy",NA,No
1170,"Crogals Castle, North Lanarkshire",NA,No
1171,"Moel y Gaer, Llanbedr, Denbighshire","To N additional bank provides a possible annexe where slopes less steep and neck joins the main massif. This consists of a ditch and an external bank of simple dump construction. Possible dry-stone rampart within the ditch, as a mass of tumbled stone found in the ditch in 1849.",Yes
1172,"Bute, Barone Hill, Argyll & Bute","While the outer enclosure might be construed as an annexe, it is likely to be a free-standing fort of 0.7ha",No
1173,"Caer Ddunod, Conwy (Caer-Ddunod)",NA,No
1174,"Caer Caradog, Conwy",NA,No
1175,"Pwll-y-Clai, Denbighshire (Caer Bryn; Pwll y Clai; Prolly Clai)",NA,No
1177,"Dinas Melin-y-Wig, Denbighshire",NA,No
1178,"Moel Fodig, Denbighshire",NA,No
1179,"Caer Drewyn, Denbighshire (Caer Drewen)","Possible 'annexe' on NE side, but possibly earlier banked and ditched enclosure.",Yes
1180,"Bute, Little Dunagoil, Argyll & Bute",The annexe on the ENE of the fort virtually doubles the size of the interior.,Yes
1182,"Craig yr y chain, Denbighshire (Craig yr ychen; Craig yr Uchain)",NA,No
1183,"Pen y Gaer, Efenechtyd, Denbighshire",NA,No
1184,"Craig Adwy Wynt, Denbighshire (Craig Adwywynt; Craig-Adwy-Wynt)",The lower level enclosure has been termed an 'annexe'.,Yes
1185,"Cerrig Gwynion, Wrexham (Mynnyd Bach Camp; Roman Camp Wood)",NA,No
1187,"Pen-y-Coed, Powys",NA,No
1188,"Pant-y-Ffridd, Powys (Ffridd Penthryn West)",NA,No
1189,"Lawn Farm, Powys",NA,No
1190,"Fron Goth Ii, Powys (Fron-Goth)",NA,No
1192,"Mynydd Llangorse, Powys (Cockit Hill)",NA,No
1193,"Perwlwyn Coppice, Powys (Derwlwyn Coppice)",NA,No
1194,"Nant Tarthwynni West, Powys (Nant Tarthwyni I; Nant Torthwyni)",NA,No
1195,"Garth Hill Enclosure, Nantmel, Powys",NA,No
1196,"Llwyn Llwyd, Powys",NA,No
1197,"Bausley Hill, Powys (Bausley Camp; Castle Camp)",NA,No
1198,"Cefn-y-Castell, Powys (Middletown Hill)",Small annexe beyond the SW entrance gate.,Yes
1199,"Pen-y-Castell Ii, Powys (Pen-y-Castell Hillfort)",NA,No
1200,"Pen-y-Clun, Powys (Pen y Clun)",NA,No
1201,"Bute, Dunagoil, Argyll & Bute","The existence of an extensive outer enclosure (Harding, Ralston and Burgess 1995; Harding 1997, 121; 2004a, 141-4; 2004b) is disputed by RCAHMS, who could find no in situ vitrifaction in the outer walls and considered the pieces of vitrifaction they observed to be material incorporated into later agricultural enclosures associated with the extensive rig and furrow visible E of the fort (Geddes and Hale 2010, 23-4).",Yes
1202,"Pen y Gaer, Llanidloes, Powys",NA,No
1203,"Coed Mawr Gaer, Powys (y Gaer, Coed Mawr; Gaer Fechan)",NA,No
1204,"Sibwll Wood Camp, Powys (Clwt Camp)",NA,No
1205,"Coneypark, Falkirk (Easter Auchincloich)",NA,No
1206,"Fronderw Wood Camp, Powys (Fron Derw Camp; Fron Derw Wood Camp)",NA,No
1207,"Cwm Golog, Kerry, Powys (Cwm-Golog)",NA,No
1209,"Rhyd Uchaf Ii, Powys",NA,No
1210,"Gelli-Nedd, Powys",NA,No
1211,"Coed Pentwyn, Powys (Coed Pen-Twyn)",NA,No
1212,"Cross Oak, Powys",NA,No
1217,"Moel y Gaer, Bodfari, Denbighshire (Moel-y-Gaer, Bodfari)",NA,No
1218,"Craig-y-Ddinas, Pontneddfechan, Powys (Craig y Dinas)","Possible annexe of 0.6ha, but not proven.",Yes
1219,"Bryn Euryn Camp, Rhos-On-Sea, Conwy (Bryn Eirin)",NA,No
1221,"Mynydd-y-Gaer, Conwy",NA,No
1222,"Llangenny Camp, Powys (Coed Cefn)",NA,No
1223,"Gallt-y-Gog, Powys",NA,No
1224,"Fron Goch, Powys",NA,No
1225,"Corn y Fan, Powys",NA,No
1226,"Barmore, Argyll & Bute",The outer rampart on the NW is sufficiently far in advance of the inner that it may be considered as enclosing an annexe.,Yes
1227,"Great Cumbrae Island, Down Craig, North Ayrshire",NA,No
1228,"Bute, Kerrytonlia, Argyll & Bute",NA,No
1229,"Great Cumbrae, The Lorn, North Ayrshire",NA,No
1230,"Buachailean, Argyll & Bute",NA,No
1231,"Kildoon Hill, South Ayrshire",NA,No
1232,"Hallowshean, South Ayrshire (Hollowshean Camp)",NA,No
1233,"Captain's Bridge, Drummochreen, South Ayrshire",NA,No
1234,"Heads of Ayr, South Ayrshire (Bower Hill)",NA,No
1235,"Bower Hill, South Ayrshire (Heads of Ayr)",NA,No
1236,"Dunduff, South Ayrshire",NA,No
1237,"West Kilbride, Seamill, North Ayrshire",NA,No
1238,"Knockjargon, North Ayrshire (Knock Jargon)",NA,No
1239,"Law Hill, North Ayrshire",NA,No
1240,"Knoweside, South Ayrshire",NA,No
1241,"Montfode Mount, North Ayrshire",NA,No
1242,"Largs, Castle Hill, North Ayrshire (Cockmalane; Gogo Water)",NA,No
1243,"Carwinning Hill, North Ayrshire",NA,No
1244,"Coumeenoole North/Com Dhêneol Thuaidh, Kerry (Dún Mor (Big Fort))",NA,No
1245,"Doonmanagh (Dún Meánach), Kerry",NA,No
1246,"Doonsheane (Dún Sián), Kerry (Doonmore; An Dún Mór and Doonbeg; An Dún Beag)",NA,No
1247,"Knockglass More (An Cnoc Glas Mór), Kerry (An Dún (The Fort))",NA,No
1248,"Minard West (Minn Aird Thiar), Kerry",NA,No
1249,"Paddock, Kerry (Doonywealaun (Dún Uí Mhaoláin))",NA,No
1250,"Minard West (Minn Aird Thiar), Kerry",NA,No
1251,"Murirrigane (Muragrán), Kerry (An Cathairin)",NA,No
1252,"Kilfarnoge (Cill Fearnóg), Kerry (Monacarroge (Móin na Caróige))",NA,No
1253,"Coed Fennifach, Powys (Coed Fenni-Fach Camp; Fennifach Camp; Fenni-Fach Camp)",NA,No
1257,"Fron Haul, Powys",NA,No
1258,"Doonties Commons (Coimên Nd–Nta), Kerry (The Bulls Head)",NA,No
1259,"Ballyoughteragh South (Baile Uachtarach Thiar), Kerry (Doon Point; Dún an Fheirtéaraigh)",NA,No
1260,"Tiduff (An Tigh Duibh), Kerry (Cathair Cairbre Mór (Cahercarbery (More))",NA,No
1261,"Tiduff (An Tigh Duibh), Kerry (Cathair Cairbre Beag)",NA,No
1262,"Barrow, Kerry",NA,No
1263,"Beal Middle, Kerry (Lissadooneen (Lios an Dúinín - ringfort of the little fortification))",NA,No
1264,"Ballybunion, Kerry",NA,No
1265,"Wyle Cop Camp, Caersws, Powys",NA,No
1266,"Caesar's Camp, Scholes Coppice, South Yorkshire (Castle Holmes)",NA,No
1267,"Knucklas Castle, Powys (Cnwclas Castle; Castle Ring)",NA,No
1268,"Cefn-Du Camp, Powys (Cefn-Du Castle)",NA,No
1269,"Cefnllys Castle, Powys (Castell Glan Iethon, Castle Bank)","Possible annexe on NW side, much damaged by quarrying. Not proven.",Yes
1270,"Doon West, Kerry (Stack's Promontory Fort)",NA,No
1271,"Meenogahane, Kerry (Lisheen (The Little Ringfort))",NA,No
1272,"Coarha Beg, Kerry (Cromwell's Fort)",NA,No
1273,"Clashmelcon, Kerry",NA,No
1274,"Clashmelcon, Kerry (Dooneen)",NA,No
1275,"Meenogahane, Kerry (Lisheen-Cankeragh (Little Fort of The Sheep's Head))",NA,No
1276,"y Breiddin, Powys (Breddin Hillfort; The Breiddin Hillfort; Breiddin Hill Camp)",NA,No
1277,"Dolforwyn Castle, Abermule, Powys",NA,No
1278,"Aberllynfi Gaer, Powys (Gwernyfed Gaer; Gwernyfed Park Camp; The Gaer, Aberllynfi; Three Cocks Hillfort, Gwernyfed)",Possible annexe on N.,Yes
1279,"Doon West, Kerry ('Poulaninneen', Poll na NinOnach (Hole of The Daughters))",NA,No
1280,"Castell Dinas, Talgarth, Powys",NA,No
1281,"Bromore West, Kerry (Tonalassa (Tóin an Leasa - back of the ringfort))",NA,No
1282,"Doon East, Kerry (Doon Point)",NA,No
1283,"Fahan/Fán (Dún Beg), Kerry (Dunbeg; An Dún Beg)",NA,No
1284,"Castell Tinboeth, Powys (Castell Dinbaud, Llananno)",NA,No
1286,"The Knock, North Ayrshire",NA,No
1287,"Doonans Hill, South Ayrshire",NA,No
1288,"Carrowmoran, Sligo",NA,No
1289,"Greenan Castle, South Ayrshire",NA,No
1290,"Kilkillogue, Sligo (Dún Baltra)",NA,No
1291,"Dowan's Hill, South Ayrshire",NA,No
1292,"Donaghintraine, Sligo",NA,No
1293,"Carrowmoran, Sligo",NA,No
1294,"Carrownrush, Sligo (Lackavarna)",NA,No
1295,"Carrownrush, Sligo",NA,No
1296,"Vivod, Denbighshire",NA,No
1297,"Dundonald Castle, South Ayrshire",The putative outer defence might be construed as an annexe enclosing an overall area of about 0.28ha.,Yes
1298,"Knolls End Promontory Fort, North Yorkshire",NA,No
1299,"Howth, Dublin (Dun Griffen and The Bailey Fort)",NA,No
1300,"Allt-yr-Esgair, Powys (Allt-yr-Yscrin)","To S is annexe extending c. 138m to SSE  and up to 47m across, that tapers to a blunt point towards the S. Possible that the main enclosure encompasses an earlier annexed enclosure on the highest part of the ridge.",Yes
1302,"Twyn-y-Gaer, Trallwng, Powys",Annexe of  40m by 35m at SW bounded by field way and scarps.,Yes
1303,"Lambay Island, Dublin (The Garden Fort)",NA,No
1304,"Lambay Island, Dublin",NA,No
1306,"Ffinant Isaf, Aberysgir, Powys",NA,No
1307,"Gaer Fawr, Alltarnog, Powys",NA,No
1308,"Gaer Fach, Merthyr Cynog, Powys",NA,No
1309,"Twyn-y-Gaer, Garthbrengy, Powys",NA,No
1310,"Gates Hill Camp, Nidd Gorge, North Yorkshire",NA,No
1311,"Pen-y-Crug, Powys (Pen y Crug)",Annexe on S side.,Yes
1313,"Tre Durn Wood, Powys (Tredurn Wood)",NA,No
1314,"Gogerddan Camp, Powys (Gogerddan)",NA,No
1315,"Pen Rhiw Wen, Powys (Llyswen Camp; Llys-Wen; Pen-Rhiw Wen)",Main enclosure is pentangonal in form with an annexe on the W defined by bank up to 2m high internally but lower or absent on S and rising to 3.4m externally on junction of SW corner of main enclosure. Entrance to main enclosure through gap at N end.,Yes
1316,"Hillis Camp, Powys (Hillis Fort; Hillis; Llanfilo Camp)",NA,No
1317,"Pen-yr-Allt, Powys (Pen yr Allt; Western Camp)",NA,No
1318,"Drostre Bank, Powys",NA,No
1319,"Drumanagh, Dublin",NA,No
1320,"Pendre, Talgarth, Powys",NA,No
1321,"Twyn y Gaer, Defynnog, Powys (y Gaer; Craig y Gaer)",Annexe of 7lm NNE-SSW by 70m sited on fairly steep slopes immediately S of summit and best on S where it is up to 2.5 m above the fronting ditch. Affected by linear quarrying obscuring relationship between main enclosure and annexe.,Yes
1322,"y Gaer, Pen-Pont, Powys (Twyn y Gaer)",NA,No
1323,"Scarborough Castle, North Yorkshire (Castle Hill Promontory Fort)",NA,No
1324,"Slwch Tump, Powys (Slwch Camp; Ginger Wall)",NA,No
1326,"Twyn Llechfaen, Powys",NA,No
1327,"Tump Wood Camp, Powys",NA,No
1328,"Tyle Clydach, Powys",NA,No
1329,"Wardlaw Hill, South Ayrshire",NA,No
1330,"Harpercroft, South Ayrshire","While the outer enclosure might be considered an annexe of some 6.5ha, it is more likely to represent the remains of a freestanding fortification.",Yes
1332,"Coed-y-Gaer, Llanfihangel Cwmdu, Powys",NA,No
1333,"Penmyarth Camp, Powys (Myarth Camp)",NA,No
1334,"Law Hill, Bridge of Weir, Renfrewshire",NA,No
1335,"Castle Hill, Gotter Linn, Inverclyde (Gotter Water; South Gibbalston)",NA,No
1336,"Nant Tarthwynni East, Powys (Nant Tarthwyni Ii)","Roughly concentric bank, c. 1.5m high, and ditch, widely-spaced about its S perimeter, in one way forming an outer enclosure or possible annexe.",Yes
1337,"Marshall Moor, Renfrewshire (Bower)",NA,No
1338,"Carman, West Dunbartonshire","At the time of its discovery, Kenneth Steer considered that the defences probably comprised a citadel with an outer enclosure, as did the Alcocks (Alcock and Alcock 1990, 101-3). For the purposes of the Atlas, the outer enclosure is identified as probably a fort in its own right rather than an annexe, enclosing an area of about 1.5ha. Nevertheless, the outermost rampart on the E flank forms what might be construed as a narrow annexe about 150m in length and from 10m in breadth at the southern end to 20m at the northern end.",Yes
1340,"Pant Mawr, Powys (y Clawdd Llesg)",NA,No
1341,"Craigmarloch Wood, Inverclyde","Two subsidiary enclosures are present here, one on the N and the second on the S, though it is uncertain how the latter is attached to the fort. Excavation was not sufficiently extensive to be certain that either is directly related to the fort.",Yes
1344,"Soldiers Ring, Broniarth Hill, Powys (Broniarth)",NA,No
1345,"Clawdd Wood, Powys",NA,No
1346,"Trefnanney Gaer, Powys",NA,No
1347,"Gaer Fawr, Guilsfield, Powys",Annexe to the NE found by RCAHMW survey 2007.,Yes
1348,"Crowther's Camp, Powys (Crowther's Coppice Camp; Crowther's Coppice Hillfort)",NA,No
1349,"Tan-y-Clawdd Camp, Powys (y Gaer)",NA,No
1350,"y Golfa Camp, Powys",NA,No
1351,"Pen-y-Foel, Powys","Annexe to W, N of farmhouse, of c. 0.6ha formerly delineated by a bank and ditch, some 38m from the main enclosure bank. Access to the annexe N of the farmhouse is via central gap between both enclosures.",Yes
1352,"Lower House Camp, Powys (Fridd Penthryn East)",NA,No
1353,"Ballygorman, Donegal (Dungolgan)",NA,No
1354,"Ballygorman, Donegal (Doherty's Dun)",NA,No
1355,"Ballynakilly (Inch Island), Donegal (Doonalin)",NA,No
1356,"Carthage, Donegal (Donowen)",NA,No
1357,"Carthage, Donegal (Doondavy)",NA,No
1358,"Gargieston, East Ayrshire",NA,No
1359,"Carthage, Donegal",NA,No
1360,"Black Bank, Powys",NA,No
1361,"Cefn-yr-Allt, Powys",NA,No
1362,"Craigie Hill, South Ayrshire",NA,No
1363,"Croaghross, Donegal (Dooanmore)",NA,No
1364,"Craigie, South Ayrshire",NA,No
1365,"Dumbarton Castle, West Dunbartonshire (Dumbarton Rock; Dumbarton Military Hospital)",NA,No
1367,"Beacon Ring, Powys (Caer Digoll)",NA,No
1370,"Cefn Llan, Powys (Cefnllan)",NA,No
1371,"Cefn-y-Coed, Powys",NA,No
1372,"Roundton, Powys",NA,No
1373,"Castle Ring, Old Churchstoke, Powys",NA,No
1374,"Pentre Wood, Powys (Pentre Camp)",NA,No
1376,"Caer Din, Powys (Caer Din Ring)",NA,No
1377,"Cwm Cefn-y-Gaer, Powys (Cefn-y-Gaer)","Possible annexe, c. 44m by 45m, to NE.",Yes
1378,"y Gaer, Llandewi Ystradenni, Powys",Main inner enclosure has remains of a possible incomplete annexe or enclosure on its NE side.,Yes
1379,"Coed Swydd, Powys (Coed-Swydd)",NA,No
1380,"Llandegley Rocks (East Enclosure), Powys",NA,No
1381,"Glog Hill Camp, Powys (Glog Camp; Glog)",NA,No
1382,"Castle Ring, Pen Offa, Powys (Castel Ring, Presteigne)",NA,No
1383,"Burfa Bank, Powys (Burfa Camp; Burfa Hillfort; Burva Bank)",NA,No
1384,"Graig Fawr Camp, Hundred House, Powys (Graigfawr)",NA,No
1385,"Wern Camp, Powys",NA,No
1386,"Culoort, Donegal (The Five Fort)",NA,No
1387,"Doonalt (Dún Alt), Donegal",NA,No
1388,"Drumacrin, Donegal",NA,No
1389,"Walls Hill, Renfrewshire (North Castle Walls)",NA,No
1390,"Errarooey More (Oirear Dhumhaí Mór), Donegal",NA,No
1391,"Derrylahan (Doire Leathan), Donegal",NA,No
1392,"Glengad, Donegal",NA,No
1393,"Careg-Wiber Bank, Powys (Carregwiber Bank)",NA,No
1395,"Castle Bank, Glascwm, Powys",NA,No
1396,"Castell-y-Blaidd, Powys",NA,No
1397,"Cwm Aran, Powys","On WNW side, two arms of the earthwork overlap for some 30m, suggesting an annexe, but it is possible that this was more to do with entrance, and as result not included.",No
1399,"Garth, Nantmel, Powys",NA,No
1400,"Llys-y-Cawr (Giant's Hall), Powys (Allt Dolanog)",Bank extending c. 90m to E delineates annexe.,Yes
1401,"Barr Hill, Kilbarchan, Renfrewshire (Wallace's Chair)",NA,No
1402,"Bryn Mawr, Powys",NA,No
1403,"Moel Dolwen Camp, Powys (Moelddolwen Hillfort; Dol Hywel Hillfort)",NA,No
1404,"Gardden Camp, Powys (Gardden Enclosure; y Gardden)",NA,No
1405,"Moel Bentyrch, Powys (Moel Pentyrch)",NA,No
1406,"Gortnatraw North (Gort Na Trá), Donegal (Gortnatraw Doon)",NA,No
1407,"Illion, Donegal",NA,No
1408,"Pen y Gaer, Dwyriw, Powys",NA,No
1409,"Cefn Cyfronydd, Powys (Cefn-Cyfronydd)",NA,No
1410,"Castell Carno, Powys",NA,No
1411,"y Gaer, Cefn Cloddiau, Powys (y Gaer)",NA,No
1412,"Craig Rhiwarth, Powys",NA,No
1413,"Welfield Camp, Powys (Wellfield Camp)",NA,No
1414,"Caer Einon, Powys",NA,No
1415,"Gaer, Glascwm, Powys",NA,No
1416,"Soldier's Mount, Foel, Powys (Foel Hill Mount)",NA,No
1417,"Hill of Dun, West Dunbartonshire",NA,No
1418,"Sheep Hill, West Dunbartonshire","There is a small triangular annexe (0.13ha) on the south, through which access to the fort from this side passes.",Yes
1419,"Knockinhaglish, Stirling",NA,No
1420,"Pen-Llys, Powys",NA,No
1421,"Bryngwyn Wood Camp, Powys",NA,No
1423,"Bwlch-y-Cibau, Powys (Bryn Bowlian)",NA,No
1424,"Bryn-y-Saethau, Powys",NA,No
1425,"Gwern Ddu Wood, Powys (Gwern Ddu Wood)",NA,No
1427,"Ffridd Mathrafal, Powys",NA,No
1428,"Knockfola (Cnoc Fola), Donegal",NA,No
1429,"Dunwan Hill, East Renfrewshire","The outer rampart encloses an area of 0.94ha, but there is no evidence that this enclosure is dependent on the inner rampart and it may represent a separate scheme of defence.",Yes
1432,"Largysillagh, Donegal (Largy Fort)",NA,No
1433,"Duncarnock, East Renfrewshire (Craig of Carnock)",NA,No
1434,"Linsfort, Donegal",NA,No
1435,"Muckross, Donegal",NA,No
1436,"Craigmaddie, East Dunbartonshire",NA,No
1437,"Glol Camp, Flintshire","Fragments of banks noted elsewhere on the hill, including a stretch springing from the enclosure with traces of bank on W possibly formed annexe.",Yes
1438,"Ffridd Faldwyn, Powys",Outer annexe on SW to later enclosure.,Yes
1441,"Mynydd Rhyd Ddu, Denbighshire",NA,No
1442,"Dinas, Trefeglwys, Powys",NA,No
1443,"Dol-y-Gaer, Powys (y Gaer)",NA,No
1444,"Plas-y-Gaer, Powys",NA,No
1446,"Coed y Caerau, Powys",NA,No
1448,"Cefn Carnedd, Powys",In second phase around the ends of the hill and on the NW three banks and ditches later enclosed 3.25ha with annexes.,Yes
1449,"Castell-y-Dail, Powys (Pen-y-Castell)",NA,No
1450,"Pen Ffawyddog Gaer, Powys (Penffawyddog; Pen Ffawyddog; Ffawyddog Gaer)",NA,No
1451,"Llanerch Farm Enclosure, Powys",NA,No
1452,"Llysin Hill, Powys (Llysin Hill, Lower Defended Enslosure; Lysin Hill)",NA,No
1453,"Pen-y-Castell, Kerry, Powys (Hubert's Folly; Penycastell; Pen y Gelli)",NA,No
1454,"Llethrau Camp, Powys",NA,No
1455,"Ty'n y Cwm Camp, Powys",NA,No
1456,"Lower Ucheldre Camp, Powys (Ucheldre Camp)",NA,No
1457,"Muntermellan, Donegal",NA,No
1458,"Quinloch Muir, Stirling (Quinlochmore; Quinlochmuir; Catythirst Well)",The outwork on the N is sufficiently far in advance of the inner wall that it forms a small annexe adjacent to the NW entrance.,No
1459,"Parkmore, Donegal",NA,No
1460,"Arngibbon, Stirling (Wester Arngibbon)",NA,No
1461,"Reneely, Donegal",NA,No
1462,"Dasher, Stirling (Boquhan Burn; Dasher Wood)",NA,No
1463,"Kemp's Castle, Euchan Water, Dumfries & Galloway",NA,No
1464,"Dechmont Hill, South Lanarkshire",NA,No
1465,"Redford Glebe, Donegal (Doonglass)",NA,No
1466,"Meikle Reive, East Dunbartonshire",NA,No
1467,"Townparks, Donegal",NA,No
1468,"Maglin Beg (Málainn Bhig), Donegal",NA,No
1469,"Inishdooey (Oileán Dúiche), Donegal (Inishdooey) (Doon Mór (Big Fort))",NA,No
1470,"Carlston, East Dunbartonshire (Red Burn)",NA,No
1471,"Leckie, Stirling",NA,No
1472,"Tory Island, Donegal (Tory Island) (Balors Fort)",NA,No
1473,"Giant's Bank, Powys",NA,No
1474,"Crug Hywel, Powys (Crucywel)",NA,No
1475,"Great Cloddiau, Powys",NA,No
1476,"Pen-y-Gaer, Bettws-Cedewain, Powys (y Pegwn)",NA,No
1477,"Dunmore, Stirling","A length of wall fronting the E flank of a rocky terrace below the N flank of the fort, controls access to this area and thus forms an annexe below the fort, measuring about 130m from ESE to WNW by 65m transversely (0.8ha). The main entrance to the fort opens into this annexe, and there is probably a gap in its wall in the bottom of a natural gully on the E.",Yes
1478,"Moel y Gaer, Llantysilio, Denbighshire (Moel y Gaer, Cefn)",NA,No
1479,"Dunbeg, Stirling",NA,No
1480,"Kippenross, Stirling (Mill of Keir Bank)",NA,No
1482,"Carnduff, Antrim (Duinnagregor)",NA,No
1483,"Dooninish, Antrim",NA,No
1485,"Dunineny Castle, Antrim (Townparks)",NA,No
1486,"Pentre Camp, Llangyniew, Powys (Pen-y-Castell; Pen-y-Gorddin)",NA,No
