Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
454,"Plainsfield Camp, Somerset (Cockercombe Castle)",1.2,-1.0,-1.0,-1.0,1.2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Rampart and silted up external ditch (now intermittent) giving a maximum width for both of 14m and rampart width of 7m-10m, 3m high on the downslope side. Simple rampart constructed of earth and stone, and ditch all but gone on NE and for most of NW sides. The rampart is best preserved to the W where up to 1.5m high interior and ditch 1m deep, less so on NW and SE where reaches 0.4m, making use also of the natural slope. To NE and NW forestry tracks have damaged the ditch, a surviving stretch to the N of entrance has small counterscarp to 0.7m high. 1983 watching brief exposed part of ditch 1m deep.",NA,NA,NA,Banks of earth and stone. Surviving stretch of ditch to N of entrance has small counterscarp to 0.7m high.,Watching brief exposed outer side and base of ditch; c. 1m deep with flat base and 70 degree sloping side. Fill friable clay with stones above angular block of stone.,NA,Intermittent ditch silted up and all but gone to NE and NW. Watching brief exposed part of ditch 1m deep.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
455,"Orchard Wood, Somerset (Orchard Wood Hillfort)",1.4,-1.0,-1.0,-1.0,1.4,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,"Site appears unfinished, a 240m length of rampart and external ditch running E-W across middle of summit plateau turning N at both ends, the rampart extending maximum 2.5m above ditch. Traces of rampart and ditch visible at N end of summit and counterscarp at both N and S ends of defences.",NA,NA,NA,Counterscarp at both N and S ends of defences. Defences such as to appear unfinished.,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
456,"Mells Down Camp, Somerset",11.0,-1.0,-1.0,-1.0,11.0,-1.0,1.0,1.0,1.0,1.0,1.0,4.0,"Main enclosure possibly triple or quadruple ditched in places, all enclosing c. 11ha. Formerly bank to 1m high and 10m wide in places, but present extent not determined. Visible on aerial photographs, possible, larger, single-ditched enclosure attached to W of  main. To assess plough damage, two trenches opened 1998 revealing possible dry-stone wall along inner edge of buried ditch which found to be U-shaped.",In early phase possible farmstead or enclosed settlement suggested and therefore site phased construction.,Former circuit estimated only.,NA,Possible bank only.,"Ramparts not excavated, but, to assess plough damage, two trenches opened 1998 revealing possible dry-stone wall along inner edge of buried ditch which found to be U-shaped.",NA,"Up to three or four ditches possible. To assess plough damage, two trenches opened 1998 revealing possible drystone wall along inner edge of buried ditch which found to be U-shaped.",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
457,"Winsmoor Hill, Stocklinch, Somerset",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,No features determined.,Area not determined.,Not determined.,NA,NA,NA,NA,Not determined.,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
458,"Blacker's Hill, Somerset",4.6,-1.0,-1.0,-1.0,4.6,-1.0,2.0,2.0,1.0,0.0,2.0,2.0,"Double banks with medial and outer ditch define the moderate NW and NE sides, part of the SE quadrant having a single bank and ditch. The rest of the circuit has precipitous slopes on the S. The N ramparts are still impressive, especially to the NW up to 4m high intervening ditch 2m-4m wide. The outer ditch is broader and shallower. A 1-2m wide ledge along scarp face  2m below break of slope on SW side suggests that the slope was artificially steepened and strengthened.",NA,NA,NA,1-2m wide ledge along scarp face 2m below break of slope on SW side.,NA,NA,Medial and outer ditch to N.,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
459,"Maesbury Castle, Somerset (Marksbury)",2.8,-1.0,-1.0,-1.0,2.8,6.1,2.0,2.0,2.0,1.0,2.0,2.0,"Two intermittent ramparts complete circuit. Possible traces of stone core to bank at SE entrance. The inner to 1.5m-3m high with external ditch of 2m-2.5m deep and counterscarp 0.3m-1.2m high mainly visible on N and SW sides. On SW main bank and ditch separated by berm. Inner ditch to N often filled with water. Outer rampart is smaller in scale, with bank 0.3m-1.2m high with external ditch 0.2m-2m deep with counterscarp, most notable on NW but traceable elsewhere. On SW only a break of slope visible with terrace where ditch ploughed-out. To N counterscarp of inner circuit and main bank of outer rampart seen as twin banks with either side of a space between.",Whole site footprint measured to outer lip of outer ditch.,NA,NA,Possible traces of stone core to bank at SE entrance. Counterscarp 0.3m-1.2m high mainly visible on N and SW sides. Incomplete sections could indicate hillfort unfinished.,NA,NA,Two intermitent ditches complete circuit.,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
460,"Dinies Camp, Somerset",0.33,-1.0,-1.0,-1.0,0.33,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,Continuous ditch with intermittent counterscarp and inner bank. On N side survives as bank 8m wide and 0.75m above interior and 1.5m above outer ditch bottom. Ditch 4m wide and 0.5m deep with slight counterscarp. Exploratory section across NE bank near entrance in 1961 revealed silted V-shaped ditch 2m deep cutting into bedrock. Beneath the bank was a silted-up U-shaped ditch and that this ditch itself cut into an earlier bank.,NA,Continuous ditch with intermittent counterscarp and inner bank.,NA,Intermittent counterscarp.,Exploratory section across NE bank near entrance in 1961 revealed silted V-shaped ditch 2m deep cutting into bedrock. Beneath the bank was a silted-up U-shaped ditch and that this ditch itself cut into an earlier bank.,NA,Ditch continuous. V and U-shaped.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
461,"Tedbury Camp, Somerset",26.0,-1.0,-1.0,-1.0,26.0,-1.0,3.0,0.0,3.0,0.0,2.0,2.0,"Two parallel banks cut off the promontory NW-SE. Only 94m of outer bank at SE end and 150m at  NW end remain. Inner bank mostly complete 3m-4.7m high, with remains of 1.2m-1.8m thick dry-stone wall formerly running from SE end for distance, but now only visible in two places, where there are also traces of third bank. However, it is possible that this wall could be similar to that enclosing the wood within the camp.",NA,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
462,"Small Down Camp, Somerset (Small Down Knoll Camp)",2.0,-1.0,-1.0,-1.0,2.0,-1.0,3.0,3.0,3.0,2.0,2.0,2.0,"Triple ramparts with double ditch visible on on E, two ramparts elsewhere. Possible that additional outer ditch to third rampart on E may be buried.",NA,NA,NA,NA,Excavation evidence not determined.,NA,"Two ditches visible, outer ditch to third bank on E may be buried feature.",No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
463,"Kingsdown Camp, Somerset",2.0,-1.0,-1.0,-1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Pre-Flavian drystone wall and v-shaped outer ditch and inner ditch. This enclosing wall, which is now concealed within a low bank, is also suggested by parched surface of the grass covered banks in dry conditions and exposed stones in places. The surrounding ditch survives only on the N and W sides; probably a buried feature elsewhere.",NA,NA,NA,NA,Pre-Flavian dry-stone wall and v-shaped outer ditch and inner ditch.,NA,v-shaped outer ditch and inner quarry ditch. The surrounding ditch survives only on the N and W sides; probably a buried feature elsewhere.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
464,"Wadbury Camp, Somerset (Wadbury Hillfort)",30.0,-1.0,-1.0,-1.0,30.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,"On E is a strong double rampart, c. 5.5m high with ditch and counterscarp and with the vestiges of another bank, much altered by domestic gardens. There is some confusion as to whether one of the banks is modern and whether the site is a promontory fort per se, as on the N side a scarp survives with a stony bank below.",NA,NA,NA,NA,Watching brief at Wadbury Fort Cottage 1998 found an undated buried soil horizon to E end of cottage.,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
465,"Fox Covert, Somerset",3.25,-1.0,-1.0,-1.0,3.25,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Simple bank and ditch surrounds site, except where very steep slopes where scarped. Circuit for most part determined by natural contours, except on level E side where slight bank,much reduced by ploughing, and substantial outer ditch (7.5m wide and once 1.8m deep recorded 1875, but now largely in-filled) cut across contours. The remaining defences run at, or just below, spur edge - to N and W scarp, ditch and low counterscarp, to 1m high and 3m wide in places, stopping at W where later quarrying and best on N where ditch 3m wide. S and W sides defined by simple scarping.",NA,NA,NA,NA,NA,NA,Outer ditch on E 7.5m wide and largely infilled.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
466,"Westbury Camp, Somerset",2.4,-1.0,-1.0,-1.0,2.4,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,"Very narrow-topped bank some 0.7m-1m high, with external ditch 0.5m deep extends around the higher N part of the site, degenerating to a scarp on the SW. A berm between the bank and ditch on E side. The site has been much damaged by small quarries around the perimeter and the narrow top to the bank suggests a dry-stone surrounding wall, possibly robbed for local field walls and limekiln outside entrance.",NA,S side degenerates to scarp.,NA,"Site has been suggested as unfinished, but there is insufficient evidence for this because of the recent quarry damage.",NA,NA,"Very narrow-topped bank some 0.7-1m high, with external ditch 0.5m deep extends around the higher N part of the site, degenerating to a scarp on the SW.",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
467,"Roddenbury Hill, Somerset (Roddenbury Camp)",0.84,-1.0,-1.0,-1.0,0.84,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Curvilinear in shape, the defences are most massive across the ridge on E side, the bank 1.6m high with external ditch 1.8m deep. Elsewhere bank c. 0.4m high, with drop to outer terrace up to 10m wide. Defences disturbed on SW by sand digging.",NA,NA,NA,NA,NA,NA,External ditch.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
468,"Yeavering Bell Camp, Northumberland",5.6,-1.0,-1.0,-1.0,5.6,6.0,1.0,1.0,1.0,1.0,1.0,-1.0,"The hillfort proper comprises a univallate wall of rough stones 3-3.5m thick with a probable height 2-2.5m and was possibly faced externally with a drystone wall, no ditch. Crescent-shaped banks in the E and W on the most accessible sides of the hill are considered to be an earlier phase of enclosure.",NA,Crescent-shaped banks in the E and W on the most accessible sides of the hill are considered to be an earlier phase of enclosure.,NA,NA,Rough stone wall with possible drystone wall externally.,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
469,"Fawcett Shank, Northumberland",0.19,-1.0,-1.0,-1.0,0.19,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,"Stone-built bank with some evidence for stone facing, no evidence for a ditch. The ramparts are more massive in the W where it overlooks the College Valley. Now partially obscured by a post-medieval sheepfold which was constructed over the collapsed remains of the Iron Age rampart.  The stonework has tumbled in places with a spread of up to 10m exposing the rubble core. In-situ dressed revetting stones are visible in places, surviving up to two courses high in the SW.",NA,Overlain by a sheepfold and now tumbled in places,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
470,"Great Hetha, Northumberland (Great Hetha Camp)",1.1,0.8,0.4,-1.0,1.1,-1.0,2.0,2.0,1.0,1.0,2.0,-1.0,"The hillfort was constructed in three phases, with the earliest being an oval, low earthen bank of 1.1 ha.  Phase 2 and 3 were both of stone wall construction, 0.8ha and 0.4ha respectively, with evidence for facing stones in both phases. No evidence of ditches.","Phase 1, 1.1ha; phase 2, 0.8ha; phase 3, 0.4ha.",NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
471,"Ring Chesters, Northumberland (Elsdon Burn Camp)",0.07,0.41,0.19,-1.0,0.41,0.8,3.0,3.0,3.0,3.0,3.0,1.0,"The earliest phase of the hillfort has been identified as a low, curving scarp underlying the central stone-built circuit constructed mainly of small loose stones. It stands 4-5m wide and approximately 0.3m high internally and approximately 2m above the top of the centre rampart. The base of the rampart is reveted by large boulders in places.  Some damage has occurred in the W.  Middle rampart 4-5m wide, approximately 0.3m high standing 3m above the top of the outer rampart.  Some levelling has occurred in the E and SE. The two ramparts are approximately 6m apart except in the S where it projects outwards by 18.5m enclosing an area of level ground of 0.07ha. The outer rampart is equidistant from the middle rampart at 7-8m and is 0.2-0.6m high internally and approximately 1m high on the exterior. Traces of a ditch between the middle and outer ramparts, seen most clearly in the NW.",NA,NA,NA,NA,No record of excavation although possible trenches have been identified,NA,"Traces of a ditch between the middle and outer ramparts, seen most clearly in the NW ",Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
472,"Staw Hill, Northumberland",0.13,-1.0,-1.0,-1.0,0.13,0.2,2.0,1.0,1.0,2.0,1.0,-1.0,An earth and stone bank 2m high and up to 7.5m wide encloses an area of 0.13ha which is univallate for the most part except in the S and SW where the enclosure is strengthened by a further bank with a maximum width of 9.6m. The double banks form an annex which is divided radially around its circuit. There is no evidence for ditches.,Second outer rampart in S and W approximately 4m wide by 1m high possibly added later.,NA,NA,Large revetting boulders in the W,NA,NA,NA,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
473,"Middleton Dean, Northumberland (Dod Hill (North) Camp)",0.32,-1.0,-1.0,-1.0,0.32,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,Oval in form measuring 115m NW-SE by 50m SW-NE enclosing 0.32ha. Earth and stone rampart 5m wide and 2.5m high internally and ditch 8m wide and 3m deep from the top of the rampart.,"Internal area approximate, estimated from satellite imagery",NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
474,"West Wylam, Northumberland",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,Two banks and two ditches 85m in length,Area unknown,NA,NA,Destroyed,NA,NA,Two ditches in the SW,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
475,"Prendwick Chesters, Northumberland (Prickly Knowe Enclosures)",0.4,-1.0,-1.0,-1.0,0.4,-1.0,2.0,2.0,2.0,1.0,1.0,-1.0,"81m E to W by 76m N to S enclosing 0.4ha.  The inner earthen rampart is thought to be Iron Age in date, the outer stone rampart opens in the W onto a later field system and was considered during an Ordnance Survey inspection to possibly be contemporary with that. No ditch is recorded",NA,Outer rampart opens in the W onto a later field system and was considered during an Ordnance Survey inspection to possibly be contemporary with that,NA,NA,Excavations were carried out within the hillfort interior only,NA,NA,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
476,"Camp Hill, Northumberland",0.4,-1.0,-1.0,-1.0,0.4,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,"Possibly once having triple ramparts, the defences in the N have been augmented by scarping the hill to form a 7m wide bank with an average height of 1.8m.  In the S there is a ditch and outer bank. There are also traces of an inner rampart in the NW.","The outer bank is possibly a counterscarp, and has been recorded here as such, with the inner rampart in the NW once continuous","levelled except in the S, possibly once three ramparts",NA,Shown as grassy banks on Megalithic Portal,NA,NA,Internal ditch in the S,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
477,"Glead's Cleugh Camp, Northumberland (Gledes-Cleugh Camp; Gleadscleugh)",0.3,-1.0,-1.0,-1.0,0.3,-1.0,3.0,3.0,1.0,1.0,3.0,3.0,"Constructed in two phases and originally a univallate enclosure with a single bank running around the spur and cutting across the neck of the promontory in the N.  A later phase saw two further ramparts constructed across the neck outside the original bank to enclose an area of 0.3ha. The original bank in the N was partially levelled at that time. The ramparts are of stone rubble construction and are now mostly grass covered. The innermost rampart is 50m long by 0.2-2m high and 6m wide. A U-shaped ditch 9m wide separates it from the middle rampart. The middle rampart is  67m long, up to 3m high and 10m wide. It is separated from the outer rampart by a flat bottomed ditch up to 4m wide. The outer rampart is 74m long by 5m wide and up to 2m high. It is revetted by large stones on both the inner and outer faces. An external ditch 2.5m wide by 0.4m deep lies outside the rampart with a slight counterscarp bank 3m wide. The original enclosure bank has now eroded in the NE corner and along an adjacent 50m long stretch in the E",NA,Promontory fort,NA,NA,NA,NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
478,"Humbleton Hill Camp, Northumberland (Homildon; Hameldun; Holmedon; Homilheugh)",4.3,0.29,1.0,-1.0,4.3,4.3,3.0,3.0,3.0,1.0,1.0,-1.0,"The hillfort component measures 110m both E-W and N-S enclosing 0.29ha and is open in the S above the ravine, giving it a U-shaped ground plan. It originally comprised two closely-spaced walls, more massive than the earlier outer enclosure.  Of these the outer rampart survives as a 10m wide bank of stones, the inner rampart present only in the N and E side, elsewhere naturally protected by the scarp and rock outcrops. In a possibly later phase, an inner hillfort rampart was constructed which survives as a bank of loose stones running N-SW, averaging 9.5m wide and up to 1m high, and is best preserved in the N where both the inner and outer faces are intact.",Measured from satellite imagery. Whole site footprint includes earlier enclosure,Open to the ravine in the S,NA,NA,NA,NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
479,"Monday Cleugh, Northumberland",0.2,-1.0,-1.0,-1.0,0.2,0.77,3.0,3.0,2.0,2.0,3.0,-1.0,"Three earth and stone banks in the N and W, two scarped banks in S. A single bank aligns on the gorge in the E where the crags render defences unnecessary. The banks have a 4-5m separation but some damage has occurred and the material has spread in places, in particular that of the outer rampart. The inner bank has a maximum height of 1.5m and is 5m wide, the middle  bank 1.2m and 5m wide and the outer bank 1m. wide by 3m high.  Kerb stones are visible along the outer edges of the outer and middle ramparts. The ramparts are separated by a 4-5m wide level berm. No ditches.",Estimated from satellite imagery,Single bank in E,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
480,"Castle Hill Alnham, Northumberland",0.4,-1.0,-1.0,-1.0,0.4,1.9,3.0,3.0,3.0,3.0,3.0,1.0,"Multivallate, comprising three turf-covered ramparts and an outer ditch which is absent in the SW.  The innermost bank is 3m high, the middle 0.4-1.8m high internally and 1.0-2.2m externally.  The outer and most substantial bank is 2.6m high internally and 4m externally.  The outer ditch is 1.5m deep in the S and E and 2m deep in the W.  Slight traces of an internal low, intermittent earthen bank probably represents and earlier phase",NA,The ditch is not present in the SW,NA,NA,NA,NA,NA,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
481,"Chubden Camp, Northumberland (Low Chubden)",0.4,-1.0,-1.0,-1.0,0.4,-1.0,3.0,3.0,3.0,3.0,3.0,-1.0,Originally three concentric banks approximately 90m in diameter. The outer rampart is now mainly destroyed,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
482,"Isabella's Mount Camp, Northumberland (Rayheugh)",0.2,-1.0,-1.0,-1.0,0.2,-1.0,3.0,1.0,3.0,3.0,1.0,-1.0,"Small, oval multivallate hillfort. It measures 53m N-S by 50m E-W and was enclosed by up to three ramparts, only the innermost of which is still continuous. This survives to a height of between 0.3-0.8m and 3-4m wide. The remnants of two parallel outer banks have been recorded in the S",NA,Uncertain - now damaged. Two further bank survive in the S,NA,A section through a quarried part of the ramparts consisted of small stones and earth with larger stones on top,NA,NA,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
483,"Lucker Camp, Northumberland (Ratchwood)",0.4,-1.0,-1.0,-1.0,0.4,-1.0,2.0,2.0,-1.0,-1.0,2.0,1.0,"Two semi-circular ramparts survive in the NW but have been destroyed in the N, with the defences in the S formed by a steep cliff edge. The enclosing works, which follow the contours of the ridge have been formed by scarping the natural hillside to form banks up to 4m wide with a 10m wide ditch.",Less than 0.4ha,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
484,"Roundabouts Camp, Northumberland",0.4,-1.0,-1.0,-1.0,0.4,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,Bivallate enclosure surviving only as a cropmark.  Two concentric infilled ditches are visible on aerial photographs forming a circle approximately 82m in diameter enclosing approximately 0.4ha.,NA,Ditches only,NA,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
485,"Broxmouth, East Lothian",0.38,1.05,1.15,-1.0,1.15,-1.0,4.0,3.0,3.0,4.0,4.0,4.0,"Three ramparts with extermal ditches and a fourth on the W: univallate and 0.38ha in phase 2a, it is again univallate and 1.15ha by phase 3d, having undergone intermediate univallate (1.05ha), bivallate and multivallate (1.05ha) phases (Armit & Mackenzie 2013, ill. 4.1).",NA,NA,NA,NA,Ditches Limited vitrifaction found at the SW entrance,NA,NA,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
486,"Castle Dykes, Dunglass Dean, Scottish Borders (Castle Dykes, Dunglass Mill)",0.5,-1.0,-1.0,-1.0,0.5,0.7,4.0,0.0,4.0,0.0,0.0,4.0,Four ditches cutting off a promontory.,NA,NA,NA,NA,NA,NA,Excavation uncovered one substantial ditch.,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
487,"Castle Dykes, Bilsdean, East Lothian",0.4,-1.0,-1.0,-1.0,0.4,1.2,1.0,0.0,1.0,0.0,0.0,1.0,"Single rampart cutting off coastal promontory, but with a fragment of another rampart suggesting a bigger enclosure of at least 0.6ha.",NA,NA,NA,"In 1945 Hogg noted a 'dilapidated drystone wall' in the top of the rampart, which he suggested was an original feature, but it is not mentioned by any other investigator",NA,NA,"Nothing visible, but almost certainly present",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
488,"Portencross, Auld Hill, North Ayrshire (Auldhill)",0.3,-1.0,-1.0,-1.0,0.3,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,Single vitrified rampart.,NA,NA,NA,NA,Stone filled ditch elsewhere on summit may indicate a further tumbled wall.,NA,Ditch cutting across the interior possibly relating to a later defended enclosure on the summit of the hill,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
