Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
502,"Whiteadder Bridge, Northumberland",2.0,2.0,NA,NA,NA,A break lies in the SW facing downslope towards Whiteadder Water. A further break lies in the SE,Simple Gap (South east); Simple Gap (South west),No,No
503,"Brinklaw, Northumberland (Brinkburn Priory Promontory Fort)",1.0,1.0,"Unknown, now damaged",NA,NA,The location of the original entrance is unknown but might lie close to the holloway in the SE corner,Simple Gap (South east),No,No
504,"Castle Hill Callaly, Northumberland (Callaly Hill)",3.0,2.0,NA,NA,NA,Opposing entrances in the E and W allow access to the interior via a causeway across the ditch,Simple Gap (East); Simple Gap (West); Simple Gap (West),No,No
505,"The Old Hag, Northumberland",2.0,1.0,NA,NA,NA,Simple gap entrance 10m wide in the E. A further gap in the W is probably not original,Simple Gap (East),No,No
506,"Tinkler's Dene, Northumberland (Tinker's Dene; Rabbit Hall Or Rabbit Hill)",1.0,1.0,NA,NA,NA,A purported entrance recorded in the NE in the 1970's is unverified,Simple Gap (North east),No,No
507,"Shaftoe Crags, Northumberland",2.0,2.0,NA,NA,NA,Entrance lies in the E with a possible later entrance in the NW.,Simple Gap (East); Simple Gap (North west),No,No
508,"East Moneylaws Camp, Northumberland (Castle Hill)",2.0,2.0,Two entrances recorded but it is uncertain if these are original,NA,NA,Entrance recorded in the S of the inner enclosure before damage occurred but is no longer discernible.  A further gap has been recorded in the W.,Simple Gap (South); Simple Gap (West),No,No
509,"Mindrummill Farm 1, Northumberland (Mindrim-Mill Farm)",0.0,0.0,NA,NA,NA,The location of any entrances is unknown,NA,No,No
510,"Camp Hill, Downham, Northumberland (Downham Camp)",1.0,1.0,NA,NA,NA,"A simple gap entrance lies in the SE, possibly original",Simple Gap (South east),No,No
511,"Mindrummill Farm 2, Northumberland (Mindrim-Mill Farm)",0.0,0.0,NA,NA,NA,The location of any entrances is unknown,NA,No,No
512,"Dendon, Northumberland (Little Mill)",2.0,1.0,Break through each rampart,NA,NA,"A simple break cuts through both ramparts in the SE, with a causeway between, from which a holloway extends southeastwards towards former field systems in the S and W.",Simple Gap (South east); Simple Gap (South east),No,No
513,"Buttony Wood Camp, Northumberland",0.0,0.0,NA,Unknown,NA,The location of the entrances is unknown,NA,No,No
514,"Curls Walls, Northumberland (Carls Walls)",1.0,1.0,NA,NA,NA,A possible entrance lies in the NW corner where there is a causeway across the ditch and a lowering of the bank,Simple Gap (North west),No,No
515,"Kay Hill, Northumberland (Low Thor Law)",1.0,1.0,NA,NA,NA,"A break in the ditches in the E, possibly out-turned, could be an original entrance.",Out-turned (East),No,No
516,"Ros Castle, Northumberland (Ross Castle)",2.0,2.0,NA,NA,NA,"A 1.8m wide entrance with out-turned banks, marked with boulders and slabs in the NE. A further possible entrance lies in the SW.",Out-turned (North east); Simple Gap (South west),No,No
517,"Hepburn Crags Camp, Northumberland",2.0,-1.0,NA,NA,NA,Entrances lie in the E and W with the eastern entrance slightly inturned on the northern side.,In-turned (East); Simple Gap (West),No,No
518,"Blue Crags, Northumberland",1.0,1.0,NA,NA,NA,Simple gap entrance lies in the SW angle of the ramparts,Simple Gap (South west),No,No
519,"Oxhill Plantation, Northumberland",1.0,1.0,NA,NA,NA,A single gap lies in the SE corner,Simple Gap (South east),No,No
520,"Gunnerton Crag Camps, Northumberland (West Gunnar Peak)",0.0,0.0,NA,NA,NA,An entrance is recorded but its location is not given,NA,No,No
521,"Craster Heugh, Northumberland",1.0,1.0,NA,Possible entrance,NA,A simple break in the ramparts lies in the SE.  It is uncertain if this was the original entrance,Simple Gap (South east),No,No
522,"Chesters, Northumberland",1.0,1.0,NA,NA,NA,A possible entrance lies in the SE where there is a gap in the outer rampart,Simple Gap (South east),No,No
523,"The Ringses Camp Doddington, Northumberland",5.0,1.0,NA,NA,NA,"Entrance in the SE facing gently sloping ground where the ramparts are widely spaced.  A passage is formed by two transverse banks between the middle and outer ramparts, which are suggested by Hogg (1947), to give the effect of a barbican.  Four further breaks in the ramparts are probably not original.",Oblique (South east); Oblique (South east),No,No
524,"Fenton Hill Camp, Northumberland",1.0,1.0,NA,NA,NA,A simple 4-m wide causeway in the W with a timber-lined entrance passage which carried a cobbled roadway.,Passage-way/Corridor (West),No,No
525,"Dod Law West, Northumberland (West Camp Dod Law)",6.0,2.0,NA,NA,NA,"Entrances in the SE and NW.  The ramparts at the SE entrance are inturned, almost to the inner rampart, forming a passageway. In the NW the entrance opens into an annex. Two other more recent breaks.",Passage-way/Corridor (South east); Simple Gap (South east); Simple Gap (North west); Simple Gap (North west),No,No
526,"Roughting Linn Camp, Northumberland",1.0,1.0,NA,NA,NA,Single inturned entrance in the N,In-turned (North),No,No
527,"Farhill Crags, Northumberland",1.0,1.0,NA,NA,NA,"Now destroyed, but documented as being in the NE flanked by a smaller circular enclosure, possibly a guardhouse.",Simple Gap (North east),Yes,No
528,"Crook Hill Easington, Northumberland",-1.0,-1.0,NA,NA,NA,No evidence for entrances,NA,No,No
529,"Spindlestone Heugh, Northumberland",3.0,3.0,NA,NA,NA,"A 10m wide entrance in the S near the cliff edge and a further 6m wide entrance, marked by upright stones in the W. Access to the western enclosure is provided by a well defined 4m wide entrance in the W",Simple Gap (South); Simple Gap (West); Simple Gap (West),No,No
530,"Camp Plantation, Northumberland (North Charlton Camp)",3.0,2.0,NA,NA,NA,"Two original entrances, 7m wide in the N and 6m wide in the S. A further break in the SE is considered to be modern.",Simple Gap (North); Simple Gap (South),No,No
531,"Shipley Camp, Northumberland (Shipley Moor)",1.0,1.0,NA,NA,NA,"A simple gap entrances lies in the E, with a possible outwork comprising a length of bank 8m long and 0.4m high on the southern side",Outworks (East); Simple Gap (East),No,No
532,"Sandy House Camp, Northumberland (Sandy Ouse Camp)",4.0,1.0,Single break through each ditch,NA,NA,A single entrance lies in the SW marked by out-turned ditches flanking the entrance. The two outermost ditches possibly converge. Three other breaks.,Out-turned (South west),No,No
533,"Flodden Edge Camp, Northumberland",2.0,1.0,NA,NA,NA,"A simple gap entrance lies to the SE, one other break.",Simple Gap (South east),No,No
534,"Blackchesters, Northumberland",1.0,1.0,NA,NA,NA,A possible simple gap entrance lies in the SW,Simple Gap (South west),No,No
535,"Broomie Knowe, Northumberland",3.0,3.0,It is uncertain if 2 and 3 are original,NA,NA,"Three causeways are visible in the E, NE and NNE across the outer ditch, the the one in the NNE having an out-turned ditch terminal in the NE",Out-turned (North east); Simple Gap (North east); Simple Gap (North east); Simple Gap (East),No,No
536,"Fordwood Camp, Northumberland",1.0,1.0,NA,NA,NA,A possible entrance lies in the NE,Simple Gap (North east),No,No
537,"Flodden Camp, Northumberland (South Flodden)",6.0,2.0,NA,"Difficult to discern in the E from satellite imagery but staggered breaks are reported in E and W, therefore six breaks assumed",NA,Staggered opposed entrances lie in the E and W through all the ditches with the ones in the W being slightly out-turned.  Both are flanked by outward projecting ditches or 'hornworks'.,Oblique (East); Oblique (East); Oblique (East); Oblique (West); Oblique (West); Oblique (West),No,No
538,"Kaimknowe Fort, Northumberland",-1.0,-1.0,NA,NA,NA,The location of entrances is unknown,NA,No,No
539,"Harehaugh Camp, Northumberland",4.0,3.0,NA,NA,NA,Four breaks occur in the rampart two of which carry a track which runs NE-SW a further break in the NW is possibly original.,Simple Gap (North west),No,No
540,"Lanternside, Northumberland (Campville Cliff Fort)",-1.0,1.0,NA,NA,NA,"Unusually wide entrance lies in the E, possibly widened by medieval ploughing",Simple Gap (East),No,No
541,"The Ringses Camp, Beanley Moor, Northumberland (Beanley Ringses)",6.0,2.0,Single breaks through each rampart in E and W,NA,Descriptions vary about the location and type of entrance,"Entrances lie in the E and W, although the eastern entrance is now mutilated. The western entrance has transverse banks along the N and S sides between the middle and outer rampart described as 'guard chambers' in the scheduling description. An E-W footpath crosses the enclosure utilising the breaks in the rampart.",Simple Gap (East); Simple Gap (East); Simple Gap (East); Simple Gap (West); Recesses/Guard Chambers (West); Recesses/Guard Chambers (West),Yes,No
542,"Jenny's Lantern, Northumberland",4.0,2.0,NA,NA,NA,Entrances lie in the NE and SW corners. Transverse banks delineate a passageway through the SW entrance.,Simple Gap (North east); Simple Gap (North east); Passage-way/Corridor (South west); Passage-way/Corridor (South west),No,No
543,"Beanley Moor, Northumberland (Beanley Plantation)",6.0,3.0,NA,NA,NA,Entrances lie in the NW and NE continuous through both ramparts. At the NE and NW angles of the outer rampart upright stones create barriers. This is particularly well defined in the NW where it lies in close relation to the entrance through the inner and intermediate ramparts.  At the outer side of the inner rampart a large stone demarcates the NW entrance.  An entrance in the SE side is also lined by large stones.,Simple Gap (North west); Simple Gap (North west); Simple Gap (North east); Simple Gap (North east); Simple Gap (North west),No,No
544,"Shawdon Wood House, Northumberland",1.0,-1.0,NA,NA,NA,A possible entrance lies in the S where the two ditches on either side of a gap meet on the SE and SW sides to form rounded terminals.,Simple Gap (South),No,No
545,"Crawley Dean, Northumberland",-1.0,-1.0,NA,NA,NA,Not recorded,NA,No,No
546,"Hetchester Camp, Northumberland",-1.0,-1.0,NA,NA,NA,The location of entrances is unrecorded,NA,No,No
547,"Soldiers Fold, Northumberland",3.0,1.0,A holloway carrying a track W to NE has broken through the rampart in these directions,NA,NA,"A causeway across the ditch and a break in the rampart in the SW is possibly the location of the entrance, two other breaks",Simple Gap (South west),No,No
548,"Witchy Neuk, Northumberland (Witchy Nick)",3.0,2.0,Lowering of the bank in the S is probably later,NA,NA,"Entrances lie in the E and W. Both display the remains of defensive mounds, or clavicula, projecting outwards, with the one  at the western entrance being curved. The ditch is stone-filled in the W to give access to the interior.  Excavation suggests the entrance in the E was a later break (Wake 1936).  A lowering of the bank in the S which carries a track is visible on satellite imagery. Possibly a sheep track",Out-turned (East); Out-turned (West),No,No
549,"Horsley Wood, Northumberland",1.0,1.0,NA,NA,NA,A break in the SE occupying a modern track possibly an original entrance,Simple Gap (South east),No,No
550,"Norham Castle, Northumberland",-1.0,-1.0,NA,NA,NA,NA,NA,No,No
551,"Lordenshaws, Northumberland (Lurgenshaws)",2.0,2.0,NA,NA,NA,"Opposing embanked entrances in the E and W, the western entrance being 3.5m wide marked with substantial facing stones where the entrance cuts through the inner rampart. These are possibly a later Roman Iron Age modification (Oswald et al. 2006). The less well-preserved eastern entrance is 4.8m wide marked out by several large boulders.",Oblique (West); Oblique (West); Oblique (West); Simple Gap (East),No,No
552,"Green Hill, Northumberland",-1.0,-1.0,NA,NA,NA,"No entrances have been identified, but satellite imagery from 2007 shows a shallow fold in the surface of the field on the NW that may well mark its position.",NA,No,No
553,"Loanend, Northumberland (Union Bridge)",1.0,1.0,NA,NA,NA,The scar of the rampart between the outer and middle ditches appears to turn outwards at the apex of the curve and might indicate a former entrance at this location.,Out-turned (East),No,No
554,"The Ringles, Northumberland",-1.0,-1.0,NA,NA,NA,None recorded,NA,No,No
556,"Reaveley Hill Camp, Northumberland (Ewe Hill)",2.0,1.0,NA,NA,NA,"A 4m wide entrance lies in the E. Two outer hornworks, 4.5m wide and 15m high which extend from the main entrance to the N and S are probably later.",Simple Gap (East); Simple Gap (East); Hornwork (East),No,No
558,"Middle Dean Camp, Northumberland (Middledene Camp)",3.0,2.0,NA,NA,NA,"A 2.8m wide break in the outer rampart in the NW, lined with partially buried stone slabs in the N and possibly the S, probably original.  No corresponding break can be seen through the inner rampart although there is a lowering of the bank in this area which might indicate medieval disturbance.  Further staggered breaks occur in the NE, 4m wide through the outer rampart and 2.7m wide through the inner.",Simple Gap (North west); Oblique (North east); Oblique (North east),No,No
559,"Brough Law, Northumberland",5.0,2.0,3 later breaks and an excavation trench,NA,NA,"An entrance cuts through the main enclosure wall in the E, 3.8m wide on the inner face and 2.6m wide on the outer. A further, probably later break in the W, connects to a path leading down to the valley bottom.  In the outer rampart the entrance lies in the SE.  Damage to the outer rampart prevents accurate measurement of the entrance but it is estimated at 2.5m wide. Further breaks towards the N of the rampart and in the WSW are an old excavation trench and a modern gap respectively.",Simple Gap (East); Simple Gap (South east); Simple Gap (West),No,No
560,"Wether Hill, Northumberland (Corbie Cleugh Camp)",4.0,2.0,NA,NA,NA,"The entrance in the NW is considered to be original with a further break in the inner rampart in the NE probably later. The entrance of the stone-built enclosure coincides with that of the palisade, suggesting this was a direct replacement (Oswald  2006).",Simple Gap (North west); Simple Gap (North west),No,No
561,"Castle Knowe Camp, Northumberland (Clinch Castle; Castle Hill)",9.0,1.0,NA,NA,NA,"Possible entrances lie in the E, N and S although only the eastern entrance with slight in-turned ramparts appears to be original, the other two created later by breaking obliquely through the ramparts.",In-turned (East); In-turned (East); In-turned (East),No,No
562,"Old Fawdon Hill, Northumberland",3.0,1.0,Possible gaps in palisade,NA,NA,"A 2.5m wide gap, probably an entrance lies in the outer trench in the S with the terminal in the W turning slightly inwards, giving an oblique appearance. Others might have existed in the E where there are gaps in the trench",In-turned (South); Simple Gap (South),No,No
563,"Brandon Hillhead, Northumberland",-1.0,-1.0,NA,NA,NA,Unknown,NA,No,No
564,"Pawston Hill Camp, Northumberland (Paston Hill Camp)",-1.0,1.0,Unknown number of breaks around outer rampart,NA,NA,An entrance lies in the E. There are a number of breaks around the outer rampart and it was suggested during scheduling that it was possibly unfinished.,Simple Gap (East); Simple Gap (East); Simple Gap (East),No,No
565,"Bowmont Hill Camp, Northumberland",-1.0,-1.0,NA,NA,NA,The location of entrances is unknown,NA,No,No
566,"Castle Hill Camp, Northumberland (Howtel Castle Hill)",1.0,-1.0,Possible break,NA,NA,A slight causeway midway across the arc in the N might be the location of the entrance.,Other Forms (North),No,No
567,"Little Hetha Camp, Northumberland (Little Hetha Hillfort)",4.0,4.0,NA,NA,Possible guardchamber,"The NE entrance is 3m wide, marked by a large stone; the 4m wide entrance in the NW is overlapped by the outer rampart which protects it. The innermost rampart is the most disturbed and only the W terminal of the NE entrance survives. Foundations of a sub-rectangular structure set into the inner rampart to the S of the NW entrance is possibly a guard chamber.",Simple Gap (North east); Simple Gap (North east); Recesses/Guard Chambers (North west); Over-lapping (North west),Yes,No
568,"Mid Hill Camp, Northumberland",2.0,1.0,NA,NA,NA,"A simple gap entrance lies in the NW which is probably contemporary with the Iron Age phase. A second, opposing entrance in the E in the rebuilt stone wall, was probably created in the Roman period",Simple Gap (North west),No,No
569,"North Black Hagg, Northumberland (Ring Cairn)",1.0,1.0,NA,NA,NA,An entrance lies in the E where the approach is slightly terraced into the slope,Simple Gap (East),No,No
570,"Pressen Hill, Northumberland",2.0,2.0,NA,NA,NA,"Described as staggered entrances in the NE and SW sides (Gates and Deegan 2009, 358)",Oblique (North east); Oblique (South west),No,No
571,"Sinkside Hill, Northumberland",1.0,1.0,NA,NA,NA,"In the NW, a simple gap entrance 3m wide faced with large upright boulders set on edge at right angles to the rampart.",Simple Gap (North west),No,No
572,"St. Gregory's Hill, Northumberland",2.0,1.0,NA,NA,NA,The original entrance probably lay in the S but was blocked in the Roman Iron Age and is now extensively robbed. An entrance in the NE probably dates to the Roman period associated with the enclosure in that area.,Simple Gap (South),No,No
573,"West Hill, Northumberland (Newton Hill Camp)",1.0,1.0,NA,NA,NA,"Single entrance in the E, simple gap",Simple Gap (East),No,No
574,"Burrowses Camp, Northumberland",-1.0,-1.0,NA,NA,NA,Unknown,NA,No,No
575,"Great Wanney, Northumberland",1.0,1.0,NA,NA,NA,A funnel-shaped entrance lies in the SE with a causeway across the ditch,Out-turned (South east),No,No
576,"Fenhamhill, Northumberland",0.0,0.0,NA,NA,NA,The location of entrances is unknown,NA,No,No
577,"Kyloe Camp, Northumberland (Kyloe Crags)",4.0,2.0,NA,NA,NA,"Entrances lie in the NW and SE, simple gaps",Simple Gap (North west); Simple Gap (North west); Simple Gap (South east); Simple Gap (South east),No,No
578,"Kentstone Hill, Northumberland",6.0,2.0,NA,NA,NA,Staggered entrances cut obliquely through the three enclosure ditches in the S and in the NW.,Oblique (South); Oblique (South); Oblique (South); Oblique (North west); Oblique (North west); Oblique (North west),No,No
579,"Fenham, Northumberland",-1.0,-1.0,NA,NA,NA,The location of entrances is unknown,NA,No,No
580,"Howick Hill Camp, Northumberland (Howick Haven)",2.0,2.0,NA,NA,NA,Two possible contemporary entrances  In the E an entrance with an inturned terminal in the S and a narrower entrance in the W,In-turned (East); Simple Gap (East); Simple Gap (West),No,No
581,"Hetton Dean East, Northumberland",-1.0,-1.0,NA,NA,NA,Entrances are described as staggered but their location is unrecorded and could not be seen on available satellite imagery,NA,No,No
582,"Scotch Camp, Northumberland",1.0,1.0,NA,NA,NA,Slightly inturned entrance in the W with a length of single earthen bank 4.5m wide and 0.6m high in either side.,In-turned (West),No,No
583,"Whittle Hill, Northumberland",-1.0,-1.0,NA,NA,NA,Location of entrances is unknown,NA,No,No
584,"Groat Haugh, Northumberland",4.0,2.0,NA,NA,NA,Possible entrances are aligned through the three outer ditches in the S where the construction ditches line into what has been interpreted as a timber-lined passageway. The entrance through the inner ditch is aligned slightly further to the N.,Passage-way/Corridor (South); Simple Gap (South east),No,No
585,"Chester Crane Camp, Northumberland (Canny Shiel)",2.0,1.0,NA,NA,NA,Simple gap entrance in NE.  A further gap is depicted on OS maps in the S,Simple Gap (North east),No,No
586,"Murton High Crags, Northumberland",-1.0,-1.0,NA,NA,NA,"Location not given, said to have been destroyed through quarrying",NA,No,No
587,"Colwell Hill Camp, Northumberland (Camp Hill)",6.0,2.0,Number of later breaks around the circuit,NA,NA,"Entrances lie in the NE and SW, 3m wide, with the one in the SW slightly staggered with an additional length of bank extending in the N to further defend the entrance",Simple Gap (North east); Simple Gap (North east); Simple Gap (North east); Oblique (South west); Oblique (South west); Oblique (South west),No,No
588,"Fawdon Hill, Northumberland (Girsonfield)",2.0,2.0,NA,NA,NA,Simple gap entrances lie in the S and NW.  That in the NW is very narrow and was possibly not the principal entrance.,Simple Gap (South); Simple Gap (North west),No,No
589,"West Hills Camp, Northumberland",9.0,1.0,There is some uncertaintly to this number,NA,NA,"The number of entrances is unclear from written descriptions, but would imply up to 9 breaks - three gaps through the ramparts in the E, two of which measure 33m across appear to be associated with staggered entrances and corresponding gaps through the inner rampart thought to represent the sites of original entrances.",Oblique (East),No,No
590,"Old Rothbury, Northumberland (Kimmer Nod)",2.0,1.0,NA,NA,NA,An entrance lies in the E through the double ramparts with a causeway across the ditch,Simple Gap (East); Simple Gap (East),No,No
591,"Fallowfield, Northumberland",-1.0,-1.0,NA,Unknown,NA,The location of entrances is unknown,NA,No,No
592,"Wall Crags, Northumberland",1.0,1.0,NA,NA,"Square enclosure, possibly a form of guard chamber","A single 4m wide entrance and holloway lie in the NW.  Directly inside the entrance to the N is a 7m square enclosure, possibly contemporary with, and related to, the entrance.",Simple Gap (North west),Yes,No
593,"Warden Hill, Northumberland (Warden Law)",2.0,1.0,Later break in the E,NA,NA,A slightly in-turned entrance lies in the W,In-turned (West),No,No
594,"Camp House, Northumberland",-1.0,-1.0,NA,NA,NA,The location of entrances is unrecorded,NA,No,No
595,"Tosson Burgh, Northumberland (Burgh Hill Camp)",3.0,3.0,NA,NA,NA,"Entrance in the S where there is a break in the ditch and a staggered rampart with the SE terminal of the rampart curving slightly inwards.  Further 2.5m wide gap in the ramparts in the W with a causeway across the ditch, and a lowering of the ramparts in the E might be further entrances.",In-turned (South); Over-lapping (South); Other Forms (East); Simple Gap (West),No,No
596,"The Kettles, Northumberland (Maiden Castle; Greenside Camp; Cauterdale)",4.0,2.0,NA,NA,NA,In the NW compartment a single entrance lies in the N. In the SE compartment a single entrance lies centrally in the SE.,Simple Gap (North); Simple Gap (North); Simple Gap (South east); Simple Gap (South east),No,No
598,"Porth Joke, Inner Kelsey, Cornwall (Kelsey Head, Cubert)",1.0,1.0,Rampart dips suggesting entrance.,NA,NA,"Possible simple gap original entrance possibly near centre of rampart, where it dips by c. 0.5m for some 3m. Interior falls towards cliffs with natural slope, broken by outcrops of bedrock, except inside the entrance where it forms a natural or modified platform c. 8m across and 0.8m high above the slope.",Simple Gap (North),No,No
599,"Caer Bran, Cornwall (Caerbran Castle; Hill Castle)",1.0,1.0,NA,NA,NA,Possible NW entrance.,Simple Gap (North west),No,No
600,"Kilcobben Cove, Cornwall",0.0,0.0,NA,NA,NA,None determined.,NA,No,No
601,"Castle An Dinas, St Columb Major, Cornwall (Castle-An-Dinas)",6.0,1.0,Difficult to determine. At least six+ modern gaps.,NA,NA,"Original SW entrance, inturned traces to inner rampart, though possibly affected by modern spoil.Causeway noted by Hals now destroyed. Modern tracks cut through Ramparts 1 and 2 on NE and Rampart 4 cut through in four places. Rampart 3 has possibly two or three gaps. Grass covered stone causeway runs W from entrance to Trekenning.",In-turned (South west),No,No
602,"Ashbury Camp, Cornwall (Ash Bury (Camp); Ashbury)",4.0,2.0,NA,NW and SE possible original entrances.,NA,"Entrance breaks occur in enclosure rampart and ditch circuit at NW end, c. 5m wide, and SE end, c.10m wide, where out-turned.",Out-turned (South east); Simple Gap (North west),No,No
603,"Berry Castle, Cornwall (Berry)",1.0,1.0,NA,NA,NA,"Hollow way leads from inturned inner bank entrance, cutting inturned outer rampart to form original passage on SE.",In-turned (South east); Hollow Way (South east),No,No
604,"Bishops Wood, Cornwall",3.0,2.0,"Three gaps, on N modern.",NA,NA,"Original entrances on W and SE sides survive as gaps in the rampart, measuring c. 2.8m wide, with causeways up to 9.8m wide across ditch. N gap modern.",Simple Gap (West); Simple Gap (South east),No,No
605,"Blacketon Rings, Cornwall (Blacketon Camp)",1.0,1.0,NA,NA,NA,A 30m gap to S probably an entrance.,Simple Gap (South),No,No
606,"Bury Castle, Cornwall",1.0,1.0,NA,NA,NA,"NE entrance now extensively mutilated. Probably inturned and is protected by two outer banks, also mutilated.",In-turned (North east); Outworks (North east),No,No
607,"Cadson Bury, Cornwall",4.0,4.0,NA,NW and S breach uncertain.,NA,Two well-preserved original inturned entrances to SE and (possibly) NW. Staggered S breach may also be original.,In-turned (South east); In-turned (North west); Over-lapping (South); In-turned (South east),No,No
608,"Caer Dane, Cornwall",1.0,1.0,NA,NA,NA,E entrance.,Simple Gap (East),No,No
609,"Carn Brea, Cornwall",1.0,1.0,NA,NA,NA,Possible SW entrance.,Simple Gap (South west),No,No
610,"Carnsew, Cornwall",0.0,0.0,NA,NA,NA,No entrance visible.,NA,No,No
611,"Carthamartha, Cornwall (Carthamartha Wood; Inney Fort)",5.0,2.0,"Possibly five gaps. Original entrance not determined, but E and W entrances surmised.",NA,NA,"Possibly five gaps. Original entrance not determined, but E and W entrances surmised.",Simple Gap (East); Simple Gap (West),No,No
612,"Carvossa, Cornwall",1.0,1.0,NA,NA,NA,"Single E entrance where bank terminals curved and revetted in stone to form massive timber gateway with causeway over ditch. Later, in Romano-British period, this causeway overlain by well-made road which can be traced out of site SE through Park Mears and S of Bartelever to River Fal.",In-turned (East),No,No
613,"Castle Canyke, Cornwall",-1.0,1.0,Many gaps total not defined.,NA,NA,"Possible SW entrance, but many gaps in ramparts.",Simple Gap (South west),No,No
614,"Castle Dore, Cornwall (Ruddon)",1.0,1.0,"One major gap, but also many modern gaps in circuit not defined.",NA,NA,"E entrance (inner and outer), the inner re-designed with inturn, roadway linking the two. Many modern gaps in circuit.",In-turned (East),No,No
615,"Castle Killibury Camp, Cornwall (Kelly Rounds)",3.0,2.0,Break on NNW side possibly not original as here ditch continues across gap.,Possible E and W entrances,NA,"Breaks on W and ENE sides, where ditches stop, possible entrances. Break on NNW side, but here ditch continues across gap. Surviving N part of sub-rectangular outwork covering possible W entrance with another, now destroyed, outwork covering possible ENE entrance",Simple Gap (West); Outworks (West); Simple Gap (North east); Outworks (North east),No,No
616,"Castle Pencaire, Cornwall (Castle Pencair)",2.0,2.0,NA,NA,NA,"Possible E entrance, but possible in-turned entrance on SW, but this has been questioned.",Simple Gap (East); In-turned (South west),No,No
617,"Chun Castle, Cornwall",1.0,1.0,NA,NA,Possibly two guard chambers.,Inner and outer rampart gaps both in SW overlooking Chun Quoit. Entrance passage in inner rampart converges and has two large entrance jambs on its inner side. Possibly two guard chambers.,Passage-way/Corridor (South west); Simple Gap (South west); Recesses/Guard Chambers (South west),Yes,No
618,"Dingerein Castle, Cornwall",0.0,0.0,NA,NA,NA,No entrance visible. Possibly on S where rampart gone.,Simple Gap (South),No,No
619,"Dunmere Wood, Cornwall (Dunmere Camp; Dunmere)",1.0,1.0,NA,Possibly modern outer banks.,NA,"Slightly inturned causewayed entrance to NW. This simple entrance has two short 1m high outer ""covering"" banks and an inner bank, all possibly modern.",In-turned (North west),No,No
620,"Engelly, Cornwall (Plyn En Gwear)",2.0,2.0,NA,NA,NA,Aligned NE entrances to outer and inner circuits.,Simple Gap (North east); Simple Gap (North east),No,No
621,"Gear Farm, Cornwall (Gear Hill; Gearhill)",2.0,2.0,NA,NA,NA,"Original entrance, now partly cut by farm buildings, on N and possibly original to W.",Simple Gap (North); Simple Gap (West),No,No
622,"Golden Camp, Cornwall (Golden Fort; Golden)",5.0,1.0,"SW and SE gaps modern, those on N probably modern also.",NA,NA,"Five gaps in ramparts, that on W probably original, where some inturning and on easiest approach, but bank ploughed-out here. SW and SE gaps modern, those on N also probably modern.",In-turned (West),No,No
623,"Hall Rings, Cornwall",2.0,2.0,NA,NA,NA,Simple entrance on SE to inner enclosure. Entrance to outer enclosure possibly on NW.,Simple Gap (South east); Simple Gap (North west),No,No
624,"Helsbury Castle, Cornwall",1.0,1.0,NA,NA,NA,"No entrance visible into main enclosure, but simple gap to outwork/possible annexe on E probably original. Hollow way runs through outwork and parts of the rampart.",Hollow Way (East); Outworks (East),No,No
625,"Kestle Rings, Cornwall (Rings Wood, Kestle; The Rings; St Thomas Ring)",3.0,2.0,NA,NA,NA,"Inner enclosure has causewayed entrance, 6m wide, to W. Middle enclosure has to W simple causewayed entrance leading to outer annexe. Annexe has simple entrance to outside approached by a hollow way at SW corner.",Simple Gap (West); Simple Gap (West),No,No
626,"Largin Castle, Cornwall",1.0,1.0,NA,NA,NA,In S of the outer rampart remains of club-ended or inturned entrance leads to broad shallow hollow way which extends to the simple entrance of the main enclosure.,In-turned (South); Hollow Way (South),No,No
627,"Lescudjack Castle, Cornwall (Hill Castle; Castle Lescudjack; Lescaddock, The Giant's Round)",1.0,1.0,Entrance lost but possible on NW.,NA,NA,"Entrance possibly to NW, now into pasture field; a 3m high mound of earth on N side may be the simple entrance with club terminals. Possible protecting outworks.",Simple Gap (North west); Outworks (North west),No,No
628,"Padderbury Top, Cornwall",2.0,2.0,NA,NA,NA,E and W possible original entrances.,Simple Gap (East); Simple Gap (West),No,No
629,"Pencarrow Rounds, Cornwall (Pencarrow Rings)",3.0,2.0,Drive to Pencarrow House cuts through site.,Possible? Status of gap on SE not determined.,NA,"Probable original entrances through inner and outer banks on W, now part of drive to Pencarrow House, which cuts through annexe on W, crosses central area and cuts through ramparts on W and SE. Status of gap on SE not determined.",Simple Gap (West); In-turned (West); Simple Gap (South east),No,No
630,"Penhargard Castle, Cornwall",1.0,1.0,NA,NA,NA,Simple entrance through both ramparts to SW.,Simple Gap (South west),No,No
631,"Resugga Castle, Cornwall",1.0,1.0,Main enclosure.,NA,NA,Main enclosure has entrance on NW opposing the central entrance of the outwork from which the hollow-way runs NW.,Hollow Way (North west); Outworks (North west),No,No
632,"St Nons Camp, Cornwall (St Nun's)",0.0,0.0,None recorded,NA,NA,No entrance recorded.,NA,No,No
633,"St Stephens Beacon, Cornwall",1.0,1.0,NA,NA,NA,Possible N causewayed entrance.,Simple Gap (North),No,No
634,"Tregeare Rounds Camp, Cornwall (Dameliock Castle; Tregaer Rounds)",6.0,1.0,Five modern part gaps in outer circuit.,NA,NA,Simple SE entrance with well-defined hollow way. Five modern part gaps in outer circuit.,Hollow Way (South east),No,No
