Atlas_Number,Investigations_Display_Name,Investigations_Date,Investigations_Type,Investigations_Comments,Investigations_Date_From,Investigations_Date_To
1188,WA1188,2007,Other,RCAHMW aerial reconnaissance.,2007,2007
1188,WA1188,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1189,WA1189,1908,Other,RCAHMW investigation.,1908,1908
1189,WA1189,2006,Other,CPAT defended enclosures survey.,2006,2006
1190,WA1190,1990-1997,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1192,WA1192,1978,Other,RCAHMW investigation.,1978,1978
1192,WA1192,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1193,WA1193,1875-76,1st Identified Map Depiction,OS map.,1875,1876
1193,WA1193,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1194,WA1194,1980,Other,RCAHMW investigation.,1980,1980
1194,WA1194,2006-2007,Other,CPAT defended enclosures survey,2006,2007
1196,WA1196,1978,Other,RAHMW investigation,1978,1978
1196,WA1196,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1197,WA1197,1988,Other,CPAT Iron Age and Romano-British Settlement in the Upper Severn Valley research project.,1988,1988
1197,WA1197,1886-87,1st Identified Map Depiction,OS map.,1886,1887
1198,WA1198,1886-87,1st Identified Map Depiction,OS map.,1886,1887
1198,WA1198,"1978, 1992",Other,CPAT investigations.,1978,1992
1198,WA1198,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1199,WA1199,1886,1st Identified Map Depiction,OS map.,1886,1886
1199,WA1199,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1200,WA1200,1886,1st Identified Map Depiction,OS map.,1886,1886
1200,WA1200,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1201,SC1201,1780,Earthwork Survey,"Estate plan (Bute archive, Mount Stuart)",1780,1780
1201,SC1201,1863,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 25-inch map (Argyll and Bute 1869, sheet 227.2)",1863,1863
1201,SC1201,1880,Other,"Noted (Ross 1880, 75-7)",1880,1880
1201,SC1201,1893,Other,"Description by James King Hewison (1893, 289-92)",1893,1893
1201,SC1201,1914,Excavation,and 1915 (Mann 1915; Marshall 1915),1914,1914
1201,SC1201,1919,Excavation,Ludovic Mann (1925),1919,1919
1201,SC1201,1943,Other,Description (RCAHMS Emergency Surveys),1943,1943
1201,SC1201,1953,Other,Scheduled,1953,1953
1201,SC1201,1958,Other,Visited by Helen Nisbet (Nisbet 1975; Photographs held by RCAHMS),1958,1958
1201,SC1201,1975,Other,Visited by Kenneth Steer,1975,1975
1201,SC1201,1993,Other,Re-Scheduled,1993,1993
1201,SC1201,1995,Earthwork Survey,"In the field 1994 & 1995 (Harding, Ralston and Burgess 1995; Harding 1997, 121; 2004a, 141-4; 2004b)",1995,1995
1201,SC1201,2009,Other,Description (RCAHMS),2009,2009
1201,SC1201,2010,Earthwork Survey,"Plan and description (Geddes and Hale 2010, 22-5; RCAHMS DC49423 & SC1231881)",2010,2010
1202,WA1202,2005,Other,RCAHMW visit.,2005,2005
1202,WA1202,1886-87,1st Identified Map Depiction,OS map.,1886,1887
1202,WA1202,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1203,WA1203,1778,1st Identified Written Reference,Mention by T. Pennant.,1778,1778
1203,WA1203,1886,1st Identified Map Depiction,OS map.,1886,1886
1203,WA1203,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1204,WA1204,1886,1st Identified Map Depiction,OS map.,1886,1886
1204,WA1204,1987,Other,CPAT detailed survey.,1987,1987
1204,WA1204,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1205,SC1205,1796,1st Identified Written Reference,"Noted (Stat Acct xviii, 1796, 292)",1796,1796
1205,SC1205,1954,Earthwork Survey,Plan and description (RCAHMS STD 15/1-2),1954,1954
1205,SC1205,1959,1st Identified Map Depiction,Visited by the OS,1959,1959
1205,SC1205,1974,Other,Surveyed at 1,1974,1974
1205,SC1205,1977,Other,Vsited by the OS,1977,1977
1205,SC1205,1977,Other,Cropmarks photographed by RCAHMS Aerial Survey Programme,1977,1977
1205,SC1205,1992,Other,Scheduled,1992,1992
1206,WA1206,1886,1st Identified Map Depiction,OS map.,1886,1886
1206,WA1206,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1207,WA1207,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1209,WA1209,1978,Other,RCAHMW investigation.,1978,1978
1209,WA1209,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1210,WA1210,1980,Other,RCAHMW investigation.,1980,1980
1210,WA1210,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1211,WA1211,1977,Other,RCAHMW investigation.,1977,1977
1211,WA1211,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1212,WA1212,1969,Other,RCAHMW investigation.,1969,1969
1212,WA1212,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1217,WA1217,1908,Excavation,null,1908,1908
1217,WA1217,2011,LiDAR Survey,null,2011,2011
1217,WA1217,2011,Geophysical Survey,null,2011,2011
1217,WA1217,2011,Earthwork Survey,null,2011,2011
1217,WA1217,2012,Other,Visited by Hillfort Study Group,2012,2012
1217,WA1217,1885-1900,1st Identified Map Depiction,null,1885,1900
1217,WA1217,2012-ongoing,Excavation,null,2012,null
1218,WA1218,1978,Other,RCAHMW investigation.,1978,1978
1219,WA1219,1875,1st Identified Map Depiction,OS map.,1875,1875
1219,WA1219,1992,Other,Visited by Hillfort Study Group,1992,1992
1219,WA1219,1997,Excavation,Gwynedd Archeological Trust.,1997,1997
1221,WA1221,1875,1st Identified Map Depiction,OS map.,1875,1875
1222,WA1222,1978,Other,RCAHMW investigation.,1978,1978
1222,WA1222,1887-89,1st Identified Map Depiction,OS map.,1887,1889
1222,WA1222,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1223,WA1223,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1223,WA1223,2007-2008,Other,CPAT defended enclosures project.,2007,2008
1224,WA1224,1887,1st Identified Map Depiction,OS map.,1887,1887
1224,WA1224,2007,Other,CPAT defended enclosures project 2008.,2007,2007
1224,WA1224,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1225,WA1225,1978,Other,RCAHMW investigation.,1978,1978
1225,WA1225,1886-88,1st Identified Map Depiction,OS map.,1886,1888
1225,WA1225,2006-2997,Other,CPAT defended enclosures survey.,2006,2997
1226,SC1226,1965,1st Identified Written Reference,Discovery (Christian 1965),1965,1965
1226,SC1226,1972,1st Identified Map Depiction,Surveyed at 1,1972,1972
1226,SC1226,1976,Other,Surveyed at 1,1976,1976
1226,SC1226,1985,Earthwork Survey,"Plan and description (RCAHMS 1988, 144-5, no.236; RCAHMS DC13261 & DC13262)",1985,1985
1227,SC1227,1861,1st Identified Written Reference,"Identified as vitrified fort by William Keddie (1868, 238-9)",1861,1861
1227,SC1227,1964,1st Identified Map Depiction,Surveyed at 1,1964,1964
1227,SC1227,2014,Earthwork Survey,John Lumley,2014,2014
1228,SC1228,1977,1st Identified Written Reference,First photographed by the RCAHMS Aerial Survey Programme,1977,1977
1228,SC1228,1997,Other,Re-photographed by RCAHMS Aerial Survey Programme,1997,1997
1229,SC1229,1886,1st Identified Written Reference,Noted (Lytteil 1886),1886,1886
1229,SC1229,1964,Other,Visited by the OS,1964,1964
1229,SC1229,1990,Other,Visited by WoSAS,1990,1990
1229,SC1229,2014,Other,Visited by John Lumley,2014,2014
1230,SC1230,1819,1st Identified Map Depiction,"Appears on an estate plan (Name Book, Argyll, No.4, p 93)",1819,1819
1230,SC1230,1865,Other,"Annotated Fort on the 1st edition OS 25-inch map (Argyll and Bute 1869, sheet 194.8)",1865,1865
1230,SC1230,1973,Other,Visited by the OS,1973,1973
1230,SC1230,1994,Other,Description (Rennie 1995),1994,1994
1230,SC1230,2015,Other,Visited by S Halliday,2015,2015
1231,SC1231,1857,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 25-inch map (Ayrshire 1859, sheet 44.12)",1857,1857
1231,SC1231,1895,Other,"Description, John Smith (1895, 178-9)",1895,1895
1231,SC1231,1942,Other,"Description by Angus Graham and Gordon Childe for RCAHMS wartime Emergency Surveys (Childe and Graham 1943, 39-40)",1942,1942
1231,SC1231,1953,Other,Description during RCAHMS Survey of Marginal Lands,1953,1953
1231,SC1231,1961,Other,Scheduled,1961,1961
1231,SC1231,1967,Other,Resurveyed at 1,1967,1967
1231,SC1231,1977,Other,Revised at 1,1977,1977
1231,SC1231,1982,Other,Description by RCAHMS,1982,1982
1231,SC1231,1983,Other,Visited by the Hill-Fort Study Group,1983,1983
1232,SC1232,1857,1st Identified Map Depiction,"Named Camp on the 1st edition OS 25-inch map (Ayrshire 1869, sheet 44.14)",1857,1857
1232,SC1232,1891,Other,"Description by David Christison (1893, 396)",1891,1891
1232,SC1232,1893,Earthwork Survey,"Sketch-plan and description (Smith 1895, 199-200, fig 270)",1893,1893
1232,SC1232,1953,Other,Description during RCAHMS Survey of Marginal Lands,1953,1953
1232,SC1232,1962,Other,Scheduled,1962,1962
1232,SC1232,1967,Other,Resurveyed at 1,1967,1967
1232,SC1232,1977,Other,Revised at 1,1977,1977
1232,SC1232,1982,Other,Description by RCAHMS,1982,1982
1232,SC1232,1983,Other,Visited by the Hill-Fort Study Group,1983,1983
1233,SC1233,1982,Other,Discovery and description by RCAHMS,1982,1982
1234,SC1234,1983,1st Identified Written Reference,Photographed from the air by W Hanson,1983,1983
1234,SC1234,1985,Other,Description by RCAHMS,1985,1985
1235,SC1235,1895,1st Identified Written Reference,"Description (Smith 1895, 175-6)",1895,1895
1235,SC1235,1954,Other,Description and dismissal during RCAHMS Survey of Marginal Lands,1954,1954
1235,SC1235,1955,Other,Visited by the OS and dismissed,1955,1955
1235,SC1235,1967,Other,Visited by the OS and dismissed,1967,1967
1235,SC1235,1983,Other,Discovered by W H Hanson (copies of photographs in RCAHMS),1983,1983
1235,SC1235,1985,Other,Description by RCAHMS,1985,1985
1235,SC1235,1993,Other,Scheduled,1993,1993
1236,SC1236,1837,1st Identified Written Reference,"Noted (NSA 5, Ayrshire, 365)",1837,1837
1236,SC1236,1895,Earthwork Survey,"Sketch-plan and description (Smith 1895, 176-7, fig 253)",1895,1895
1236,SC1236,1942,Other,Description by Angus Graham and Gordon Childe during RCAHMS wartime Emergency Surveys,1942,1942
1236,SC1236,1955,Earthwork Survey,"RCAHMS AYD 11/1-2, DP147608 & DP147613",1955,1955
1236,SC1236,1955,Other,Surveyed at 1,1955,1955
1236,SC1236,1967,Other,Surveyed at 1,1967,1967
1236,SC1236,1977,Other,Revised at 1,1977,1977
1236,SC1236,1985,Other,Description by RCAHMS,1985,1985
1236,SC1236,1989,Other,Scheduled,1989,1989
1237,SC1237,1837,1st Identified Written Reference,"Noted (NSA 5, Ayrshire, 257-8)",1837,1837
1237,SC1237,1858,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 25-inch map (Ayrshire 1858, sheet 10.12)",1858,1858
1237,SC1237,1880,Excavation,Party from the Ayrshire and Wigtownshire Archaeological Association with a gang of workmen (Munro 1882),1880,1880
1237,SC1237,1893,Other,"Description by David Christison (1893, 397)",1893,1893
1237,SC1237,1895,Other,"Description by John Smith (1895, 7-8)",1895,1895
1237,SC1237,1952,Other,Description during RCAHMS Survey of Marginal Lands,1952,1952
1237,SC1237,1956,Other,Visited by the OS,1956,1956
1237,SC1237,1964,Other,Resurveyed at 1,1964,1964
1237,SC1237,1982,Other,Visited by the OS,1982,1982
1237,SC1237,2010,Excavation,Turner 2010,2010,2010
1238,SC1238,1856,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 25-inch map (Ayrshire 1858, sheet 11.5)",1856,1856
1238,SC1238,1891,Other,"Description by David Christison (1893, 397)",1891,1891
1238,SC1238,1895,Earthwork Survey,"John Smith (Smith 189523-4, fig 29)",1895,1895
1238,SC1238,1942,Other,Description by Angus Graham and Gordon Childe for the RCAHMS wartime Emergency Surveys,1942,1942
1238,SC1238,1955,Other,Scheduled,1955,1955
1238,SC1238,1956,Other,Visited by the OS,1956,1956
1238,SC1238,1965,Other,Revised at 1,1965,1965
1238,SC1238,1982,Other,Revised at 1,1982,1982
1238,SC1238,1983,Other,Visit by the Hillfort Study Group,1983,1983
1239,SC1239,1984,1st Identified Written Reference,Discovery by RCAHMS Aerial Survey Programme,1984,1984
1240,SC1240,1983,1st Identified Written Reference,Discovery; W S Hanson,1983,1983
1241,SC1241,1856,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 25-inch map (Ayrshire 1860, sheet 16.1)",1856,1856
1241,SC1241,1891,Other,"Description by David Christison (1893, 394)",1891,1891
1241,SC1241,1895,Other,"Description (Smith 1895, 24)",1895,1895
1241,SC1241,1952,Other,Description during RCAHMS Survey of Marginal Lands,1952,1952
1241,SC1241,1956,Other,Visited by the OS,1956,1956
1241,SC1241,1973,Other,Scheduled,1973,1973
1241,SC1241,1982,Other,Visited by the OS,1982,1982
1241,SC1241,1985,Excavation,James 1986,1985,1985
1241,SC1241,2002,Excavation,Evaluation (Stronach 2002),2002,2002
1241,SC1241,2006,Excavation,(Dutton and Stronach 2006),2006,2006
1242,SC1242,1855,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 25-inch map (Ayrshire 1860, sheet 16.1)",1855,1855
1242,SC1242,1891,Other,"Description by David Christison (1893, 401)",1891,1891
1242,SC1242,1895,Other,"Description by John Smith (1895, 4)",1895,1895
1242,SC1242,1942,Other,Visiterd by Angus Graham and Gordon Childe for the RCAHMS wartime Emergency Surveys,1942,1942
1242,SC1242,1952,Other,Description for RCAHMS Survey of Marginal Lands,1952,1952
1242,SC1242,1964,Other,Surveyed at 1,1964,1964
1242,SC1242,1983,Other,Visited by the OS,1983,1983
1242,SC1242,2002,Other,Scheduled,2002,2002
1243,SC1243,1836,1st Identified Written Reference,"Noted (NSA, 5, Ayrshire, 219)",1836,1836
1243,SC1243,1856,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 25-inch map (Ayrshire 1858, sheet 7.11)",1856,1856
1243,SC1243,1891,Earthwork Survey,"Sketch-plan and description (Christison 1893, 389-90, pl 5, fig 4)",1891,1891
1243,SC1243,1895,Other,"Description (Smith 1895, 68)",1895,1895
1243,SC1243,1942,Other,Description by Angus Graham and Gordon Childe for the RCAHMS wartime Emergency Surveys,1942,1942
1243,SC1243,1952,Other,Description during RCAHMS Survey of Marginal Lands,1952,1952
1243,SC1243,1956,Other,Visited by the OS,1956,1956
1243,SC1243,1964,Other,Surveyed at 1,1964,1964
1243,SC1243,1977,Excavation,Cowie 1977,1977,1977
1243,SC1243,1978,Excavation,Cowie 1978,1978,1978
1243,SC1243,1983,Other,Revised at 1,1983,1983
1244,IR1244,1899,Other,Macalister,1899,1899
1244,IR1244,1910,1st Identified Written Reference,Westropp,1910,1910
1244,IR1244,1986,Earthwork Survey,Cuppage,1986,1986
1245,IR1245,1996,1st Identified Written Reference,O'Sullivan and Sheehan,1996,1996
1246,IR1246,1840,1st Identified Map Depiction,OS six-inch mapping,1840,1840
1246,IR1246,1910,1st Identified Written Reference,Westropp,1910,1910
1246,IR1246,1986,Earthwork Survey,Cuppage,1986,1986
1246,IR1246,1996,Earthwork Survey,O'Sullivan and Sheeehan 1996,1996,1996
1247,IR1247,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1247,IR1247,1986,Earthwork Survey,Cuppage 1986,1986,1986
1248,IR1248,1995,1st Identified Written Reference,Redmond,1995,1995
1249,IR1249,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1249,IR1249,1910,1st Identified Written Reference,Westropp,1910,1910
1249,IR1249,1986,Earthwork Survey,Cuppage,1986,1986
1250,IR1250,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1250,IR1250,1910,1st Identified Written Reference,Westropp,1910,1910
1250,IR1250,1986,Earthwork Survey,Cuppage,1986,1986
1250,IR1250,1995,Other,Redmond,1995,1995
1251,IR1251,1986,Earthwork Survey,Cuppage,1986,1986
1251,IR1251,1995,Other,Redmond,1995,1995
1252,IR1252,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1252,IR1252,1910,1st Identified Written Reference,Westropp,1910,1910
1252,IR1252,1986,Earthwork Survey,Cuppage (Dingle Survey),1986,1986
1253,WA1253,1889,1st Identified Map Depiction,OS map.,1889,1889
1253,WA1253,1980,Other,RCAHMW investigation.,1980,1980
1253,WA1253,2006-2007,Other,CPAT defended enclosures survey 2006-2007.,2006,2007
1257,WA1257,2007,Other,RCAHMW investigation.,2007,2007
1257,WA1257,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1258,IR1258,1893,1st Identified Written Reference,Newenham Deane,1893,1893
1258,IR1258,1978,Other,Creedon,1978,1978
1258,IR1258,1986,Earthwork Survey,Dingle Survey (Cuppage),1986,1986
1259,IR1259,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1259,IR1259,1910,1st Identified Written Reference,Westropp,1910,1910
1259,IR1259,1986,Earthwork Survey,Dingle Survey (Cuppage),1986,1986
1260,IR1260,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1260,IR1260,1910,1st Identified Written Reference,Westropp,1910,1910
1260,IR1260,1995,Earthwork Survey,North Dingle Survey (Toal),1995,1995
1261,IR1261,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1261,IR1261,1910,1st Identified Written Reference,Westropp,1910,1910
1261,IR1261,1995,Earthwork Survey,North Dingle Survey (Toal),1995,1995
1262,IR1262,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1262,IR1262,1995,Earthwork Survey,Redmond,1995,1995
1263,IR1263,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1263,IR1263,1995,Earthwork Survey,North Dingle Survey (Toal),1995,1995
1264,IR1264,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1264,IR1264,1914,1st Identified Written Reference,OS six-inch mapping,1914,1914
1264,IR1264,1995,Earthwork Survey,North Dingle Survey (Toal),1995,1995
1264,IR1264,2001,Excavation,Laurence Dunne test excavations,2001,2001
1265,WA1265,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1266,EN1266,1778,1st Identified Map Depiction,South Yorkshire HER reference a map of 1778 which is said to show the earthwork much as it survives today,1778,1778
1266,EN1266,1965,Other,Field investigation,1965,1965
1266,EN1266,1979,Other,Visit by Hillfort Study Group,1979,1979
1266,EN1266,1992,Excavation,null,1992,1992
1266,EN1266,1992,Earthwork Survey,null,1992,1992
1266,EN1266,1992,Other,Environmental sample analysis,1992,1992
1266,EN1266,1854-5,1st Identified Map Depiction,OS mapping,1854,1855
1266,EN1266,Uncertain,Other,Scheduled,null,null
1267,WA1267,1889,1st Identified Map Depiction,OS map.,1889,1889
1267,WA1267,2006,Other,CPAT defended enclosures survey.,2006,2006
1268,WA1268,1885-1900,1st Identified Map Depiction,OS map.,1885,1900
1268,WA1268,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1269,WA1269,1889,1st Identified Map Depiction,OS map.,1889,1889
1269,WA1269,2006,Other,CPAT defended enclosures survey.,2006,2006
1270,IR1270,1995,Earthwork Survey,North Dingle Survey (Toal),1995,1995
1271,IR1271,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1271,IR1271,1995,Earthwork Survey,North Dingle Survey,1995,1995
1272,IR1272,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1272,IR1272,1912,1st Identified Written Reference,Westropp,1912,1912
1272,IR1272,1996,Earthwork Survey,O'Sullivan and Sheehan 1996,1996,1996
1273,IR1273,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1273,IR1273,1995,Earthwork Survey,North Dingle Survey,1995,1995
1274,IR1274,1912,1st Identified Written Reference,Westropp,1912,1912
1274,IR1274,1995,Earthwork Survey,North Dingle Survey,1995,1995
1275,IR1275,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1275,IR1275,1995,Earthwork Survey,North Kerry Survey,1995,1995
1276,WA1276,1886,1st Identified Map Depiction,OS map.,1886,1886
1276,WA1276,1977,Other,Visit by Hillfort Study Group,1977,1977
1276,WA1276,1933-35,Excavation,B.H. St. J. O'Neil.,1933,1935
1276,WA1276,1969-73,Excavation,C.R. Musson.,1969,1973
1277,WA1277,1886,1st Identified Map Depiction,OS map.,1886,1886
1277,WA1277,1981-2002,Excavation,"L.A.S. Butler, University of York.",1981,2002
1277,WA1277,1990-97,Other,CPAT Montgomeryshire Small enclosures project.,1990,1997
1278,WA1278,1756,1st Identified Map Depiction,Estate map.,1756,1756
1278,WA1278,1888,Other,OS map.,1888,1888
1278,WA1278,1951,Excavation,S.N. Savory,1951,1951
1278,WA1278,"1951, 1983",Other,RCAHMW investigations.,1951,1983
1278,WA1278,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1279,IR1279,1841,1st Identified Written Reference,OS six-inch mapping,1841,1841
1279,IR1279,1995,Earthwork Survey,North Kerry Survey,1995,1995
1280,WA1280,1337,1st Identified Written Reference,Described in survey - no details.,1337,1337
1280,WA1280,1889,1st Identified Map Depiction,OS map.,1889,1889
1280,WA1280,1983,Other,RCAHMW investigation.,1983,1983
1280,WA1280,16th Century,Other,Reported by Leland - no details.,1501,1600
1280,WA1280,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1281,IR1281,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1281,IR1281,1910,1st Identified Written Reference,Westropp,1910,1910
1281,IR1281,1995,Earthwork Survey,North Kerry Survey,1995,1995
1282,IR1282,1910,1st Identified Written Reference,Westropp,1910,1910
1282,IR1282,1995,Earthwork Survey,North Dingle Survey,1995,1995
1283,IR1283,1841,1st Identified Map Depiction,OS six-inch mapping,1841,1841
1283,IR1283,1848,1st Identified Written Reference,Windele,1848,1848
1283,IR1283,1856,Earthwork Survey,George Du Noyer,1856,1856
1283,IR1283,1910,Earthwork Survey,Westropp,1910,1910
1283,IR1283,1977,Excavation,T.B Barry,1977,1977
1283,IR1283,1986,Earthwork Survey,Kerry Archaeological Survey,1986,1986
1284,WA1284,1889,1st Identified Map Depiction,OS map.,1889,1889
1284,WA1284,2006,Other,CPAT defended enclosures survey.,2006,2006
1286,SC1286,1855,1st Identified Map Depiction,"Annotated Fort on the OS 25-inch map (Ayrshire 1857, sheet 3.4)",1855,1855
1286,SC1286,1891,Other,"Description by David Christison (1893, 398)",1891,1891
1286,SC1286,1895,Other,"Description by John Smith (Smith 1895, 2)",1895,1895
1286,SC1286,1942,Other,"Description by Angus Graham and Gordon Childe for the RCAHMS wartime Emergency Surveys (Childe and Graham 1943, 38-9)",1942,1942
1286,SC1286,1952,Other,Description during RCAHMS Survey of Marginal Lands,1952,1952
1286,SC1286,1956,Other,Visited by the OS,1956,1956
1286,SC1286,1961,Other,Scheduled,1961,1961
1286,SC1286,1964,Other,Revised at 1,1964,1964
1286,SC1286,1983,Other,Visited by the OS,1983,1983
1286,SC1286,2016,Excavation,Minor trenches into the defences for environmental sampling by Carol Lang of York University,2016,2016
1287,SC1287,1954,1st Identified Written Reference,Discovery and description by RCAHMS Survey of Marginal Lands,1954,1954
1287,SC1287,1955,Earthwork Survey,Plan (RCAHMS AYD 9/1-2; DP 148745 & 148746),1955,1955
1287,SC1287,1955,Other,Visited by the OS,1955,1955
1287,SC1287,1976,Other,Surveyed at 1,1976,1976
1287,SC1287,1980,Other,Visited by the OS,1980,1980
1287,SC1287,1982,Other,Description by RCAHMS,1982,1982
1288,IR1288,2014,Other,Visit noted in the National Record,2014,2014
1289,SC1289,1978,Other,Discovery by RCAHMS Aerial Survey Programme,1978,1978
1289,SC1289,1980,Other,Visited by the OS,1980,1980
1289,SC1289,1985,Other,Description by RCAHMS,1985,1985
1289,SC1289,1993,Other,Scheduled,1993,1993
1290,IR1290,1837,1st Identified Written Reference,OS Letters,1837,1837
1290,IR1290,1991,Other,Visit noted in the National Record,1991,1991
1291,SC1291,1856,1st Identified Map Depiction,"Annotated Camp on the 1st edition OS 25-inch map (Ayrshire 1860, sheet 39.14)",1856,1856
1291,SC1291,1891,Earthwork Survey,"Sketch-plan and description by David Christison (1893, 393)",1891,1891
1291,SC1291,1895,Other,"Noted John Smith (1895, 183)",1895,1895
1291,SC1291,1953,Other,Description during RCAHMS Survey of Marginal Lands,1953,1953
1291,SC1291,1955,Other,Visited by the OS,1955,1955
1291,SC1291,1968,Other,Resurveyed at 1,1968,1968
1291,SC1291,1969,Other,Scheduled,1969,1969
1291,SC1291,1980,Other,Resurveyed at 1,1980,1980
1291,SC1291,1982,Other,Description by RCAHMS,1982,1982
1292,IR1292,1890,1st Identified Written Reference,"O'Rorke (1878, 256-7; cited in the National Record)",1890,1890
1292,IR1292,1913,1st Identified Map Depiction,OS six-inch mapping,1913,1913
1294,IR1294,1913,1st Identified Map Depiction,OS six-inch mapping,1913,1913
1296,WA1296,pre-1995,Other,CPAT Clwyd small enclosures rapid survey.,null,1995
1297,SC1297,1920,Other,Scheduled,1920,1920
1297,SC1297,1986,Excavation,Beginning of excavation and the discovery of the vitrified rampart (Ewart and Pringle 2004),1986,1986
1298,EN1298,1978,Other,APS (OS 71/271 103-4 2-JUN-71),1978,1978
1298,EN1298,1995,Other,Scheduled,1995,1995
1299,IR1299,1837,1st Identified Map Depiction,OS six-inch mapping,1837,1837
1299,IR1299,1922,1st Identified Written Reference,Thomas Westropp,1922,1922
1299,IR1299,1993,Other,Visit noted in the National Record,1993,1993
1300,WA1300,1886,1st Identified Map Depiction,OS map.,1886,1886
1300,WA1300,1979,Other,RCAHMW survey.,1979,1979
1300,WA1300,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1302,WA1302,1978,Other,RCAHMW investigation.,1978,1978
1302,WA1302,1886-88,1st Identified Map Depiction,OS map.,1886,1888
1302,WA1302,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1303,IR1303,1837,1st Identified Map Depiction,OS six-inch mapping,1837,1837
1303,IR1303,1922,1st Identified Written Reference,Westropp,1922,1922
1303,IR1303,2013,Geophysical Survey,Dowling,2013,2013
1304,IR1304,2009,Geophysical Survey,Gabriel Cooney UCD,2009,2009
1304,IR1304,2013,Geophysical Survey,Dowling,2013,2013
1306,WA1306,1980,Other,RCAHMW investigation.,1980,1980
1306,WA1306,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1307,WA1307,1888,1st Identified Map Depiction,OS map.,1888,1888
1307,WA1307,1968,Other,RCAHMW investigation.,1968,1968
1307,WA1307,2006-2007,Other,CPAT defended enclosures survey,2006,2007
1308,WA1308,1888,1st Identified Map Depiction,OS map.,1888,1888
1308,WA1308,1968,Other,RCAHMW investigation.,1968,1968
1308,WA1308,2006-2007,Other,CPAT defended enclosures survey,2006,2007
1309,WA1309,1888,1st Identified Map Depiction,OS map.,1888,1888
1309,WA1309,1982,Other,Visit by Hillfort Study Group,1982,1982
1309,WA1309,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1310,EN1310,1912,1st Identified Written Reference,VCH Yorks,1912,1912
1310,EN1310,1963,Other,Field investigation,1963,1963
1310,EN1310,2003,Other,Walkover and metal detecting surveys,2003,2003
1310,EN1310,1885-1900,1st Identified Map Depiction,null,1885,1900
1311,WA1311,1982,Other,Visit by Hillfort Study Group,1982,1982
1311,WA1311,1983,Other,RCAHMW investigation.,1983,1983
1311,WA1311,1888-89,1st Identified Map Depiction,OS map.,1888,1889
1311,WA1311,2006-2007,Other,CPAT defended enclosures survey.,2006,2007
1313,WA1313,1983,Other,RCAHMW investigation.,1983,1983
