References_Atlas_Number,References_Title_Name,References_Source,References_Citation
0195,"SC0195 Core Hill, Kirkmaiden, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0197,"SC0197 The Dunnan, Portankill, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0197,"SC0197 The Dunnan, Portankill, Dumfries & Galloway",Trotter and Maxwell 1886,"Trotter, R, and Maxwell, H E (1886) 'Notice of the excavation of St Medan's cave and chapel, Kirkmaiden, Wigtownshire', Proc Soc Antiq Scot 20, 76-90."
0197,"SC0197 The Dunnan, Portankill, Dumfries & Galloway",Wilson 1885,"Wilson, G (1885) 'Description of ancient forts, etc., in Wigtownshire'. Archaeol Hist Collect Ayrshire Galloway 5 (1885), 62-73"
0198,"SC0198 Carrickcamrie, West Cairngaan, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0199,"SC0199 Dunorroch, West Cairngaan, Dumfries & Galloway",Maxwell 1885,"Maxwell, H E (1885) 'Ancient weapons, instruments, utensils and ornaments of Wigtonshire. With list of the principal stone implements recorded from Wigtonshire', Archaeol Hist Collect Ayrshire Galloway 5"
0199,"SC0199 Dunorroch, West Cairngaan, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0200,"SC0200 Mull Glen, West Tarbet, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0200,"SC0200 Mull Glen, West Tarbet, Dumfries & Galloway",Wilson 1885,"Wilson, G (1885) 'Description of ancient forts, etc., in Wigtownshire'. Archaeol Hist Collect Ayrshire Galloway 5 (1885), 62-73"
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",Maxwell 1885,"Maxwell, H E (1885) 'Ancient weapons, instruments, utensils and ornaments of Wigtonshire. With list of the principal stone implements recorded from Wigtonshire', Archaeol Hist Collect Ayrshire Galloway, vol.5"
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",Strachan 2000,"Strachan, R (2000a) 'Mull of Galloway linear earthworks, Dumfries and Galloway (Kirkmaiden parish), survey; evaluative excavation', Discovery Excav Scot 1, 21"
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",Williams 1970,"Williams, J (1970a) 'Neolithic axes in Dumfries and Galloway', Trans Dumfriesshire Galloway Natur Hist Antiq Soc, ser 3, 47"
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",Wilson 1878,"Wilson, G (1878) 'Notes on the ancient stone implements of Wigtonshire', Archaeol Hist Collect Ayr Wigton, 1"
0201,"SC0201 Mull of Galloway, Dumfries & Galloway",Wilson 1885,"Wilson, G (1885) 'Description of ancient forts, etc., in Wigtownshire'. Archaeol Hist Collect Ayrshire Galloway 5 (1885), 62-73"
0204,"SC0204 Round Dounan, Dumfries & Galloway",McCarthy 2002,"McCarthy, M 2002 'Rheged"
0204,"SC0204 Round Dounan, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0204,"SC0204 Round Dounan, Dumfries & Galloway",Reid 1952,"Reid, R C (1952) 'Dunragit', Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3rd Ser, 29, 155-6."
0207,"SC0207 Cruise Back Fell, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963b) A guide to prehistoric Scotland, London (p 160)"
0207,"SC0207 Cruise Back Fell, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0207,"SC0207 Cruise Back Fell, Dumfries & Galloway",Wilson 1885,"Wilson, G (1885) 'Description of ancient forts, etc., in Wigtownshire'. Archaeol Hist Collect Ayrshire Galloway 5 (1885), 62-73"
0207,"SC0207 Cruise Back Fell, Dumfries & Galloway",Wilson 1899,"Wilson, G (1899) 'List of the antiquities of Glenluce, Wigtownshire, with descriptive notes', Proc Soc Antiq Scot 33"
0209,"SC0209 Duniewick, South Ayrshire",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland, London (p 179)"
0209,"SC0209 Duniewick, South Ayrshire",Smith 1895,"Smith, J 1895 Prehistoric Man in Ayrshire. London"
0210,"SC0210 Doon of May, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland, London (p 159)"
0210,"SC0210 Doon of May, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0211,"SC0211 Garliachen, Laigh Sinniness, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0211,"SC0211 Garliachen, Laigh Sinniness, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc 3 Ser, 77, 37-78"
0211,"SC0211 Garliachen, Laigh Sinniness, Dumfries & Galloway",Wilson 1899,"Wilson, G (1899) 'List of the antiquities of Glenluce, Wigtownshire, with descriptive notes', Proc Soc Antiq Scot 33"
0212,"SC0212 Bennan of Garvilland, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland, London (p 160)"
0212,"SC0212 Bennan of Garvilland, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0212,"SC0212 Bennan of Garvilland, Dumfries & Galloway",Wilson 1885,"Wilson, G (1885) 'Description of ancient forts, etc., in Wigtownshire'. Archaeol Hist Collect Ayrshire Galloway 5 (1885), 62-73"
0213,"SC0213 Maxwellston Hill, South Ayrshire",Christison 1893,"Christison, D (1893) 'The Prehistoric Forts of Ayrshire'. Proc Soc Antiq Scot 27 (1892-93), 381-405."
0213,"SC0213 Maxwellston Hill, South Ayrshire",Feachem 1963,"Feachem, R (1963b) A guide to prehistoric Scotland, London (p 110)."
0213,"SC0213 Maxwellston Hill, South Ayrshire",Smith 1895,"Smith, J (1895) Prehistoric Man in Ayrshire. London."
0215,"SC0215 Back Bay, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh."
0215,"SC0215 Back Bay, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0218,"SC0218 Fell of Barhullion, Dumfries & Galloway",Douglas et al. 2012,"Douglas, C, Hudson, G, Sproat, D and Cavers, G (2012) The Machars; An Archaeological Survey. Available online from AOC Archaeology Group."
0218,"SC0218 Fell of Barhullion, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963b) A guide to prehistoric Scotland, London"
0218,"SC0218 Fell of Barhullion, Dumfries & Galloway",null,Page(s)
0218,"SC0218 Fell of Barhullion, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0218,"SC0218 Fell of Barhullion, Dumfries & Galloway",null,Page(s)
0219,"SC0219 Barsalloch Point, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963b) A guide to prehistoric Scotland, London (p 159-60)."
0219,"SC0219 Barsalloch Point, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0220,"SC0220 Doon Hill, Boreland, Dumfries & Galloway",Douglas et al. 2012,"Douglas, C, Hudson, G, Sproat, D and Cavers, G (2012) The Machars; An Archaeological Survey. Available online from AOC Archaeology Group."
0220,"SC0220 Doon Hill, Boreland, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh."
0221,"SC0221 Doon Hill, Capenoch Croft, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0222,"SC0222 Barnkirk Hill, Dumfries & Galloway",Feachem 1955,"Feachem, R W (1955) 'Iron Age and early medieval monuments in Galloway and Dumfriesshire'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 33 (1954-5), 58-65"
0223,"SC0223 Drummoral, Dumfries & Galloway",Feachem 1955,"Feachem, R W (1955) 'Iron Age and early medieval monuments in Galloway and Dumfriesshire'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 33 (1954-5), 58-65"
0223,"SC0223 Drummoral, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh."
0224,"SC0224 Cairnhead Mote, Dumfries & Galloway",Feachem 1955,"Feachem, R W (1955) 'Iron Age and early medieval monuments in Galloway and Dumfriesshire'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 33 (1954-5), 58-65"
0224,"SC0224 Cairnhead Mote, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh."
0225,"SC0225 Steinhead Mote, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0225,"SC0225 Steinhead Mote, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0226,"SC0226 Isle Head, Dumfries & Galloway",Armit et al. 2009,"Armit, I, Friel, B, Gaffney, C and McCarthy, M 2009 A survey of Isle Head Fort, Isle of Whithorn, January 2009"
0226,"SC0226 Isle Head, Dumfries & Galloway",McCarthy 2008,"McCarthy, M (2008) 'Isle Head Fort, Whithorn, Dumfries and Galloway (Whithorn parish), survey', Discovery Excav Scot, New ser, 9, 55"
0226,"SC0226 Isle Head, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0226,"SC0226 Isle Head, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0227,"SC0227 Court Hill, High Skeog, Dumfries & Galloway",Feachem 1955,"Feachem, R W (1955) 'Iron Age and early medieval monuments in Galloway and Dumfriesshire'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 33 (1954-5), 58-65"
0227,"SC0227 Court Hill, High Skeog, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0228,"SC0228 Glasserton Hill, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh."
0229,"SC0229 Carghidown Castle, Dumfries & Galloway",M'Kerlie 1870,"M'Kerlie, P H (1870) History of the lands and their owners in Galloway, , vol.1 Edinburgh"
0229,"SC0229 Carghidown Castle, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'Carghidown (Whithorn parish), promontory fort', Discovery Excav Scot 4, 51"
0229,"SC0229 Carghidown Castle, Dumfries & Galloway",Toolis 2004,"Toolis, R (2004) 'Carghidown (Whithorn parish), promontory fort', Discovery Excav Scot 5, 40"
0229,"SC0229 Carghidown Castle, Dumfries & Galloway",Toolis 2007,"Toolis, R (2007) 'Intermittent occupation and forced abandonment"
0230,"SC0230 Burrow Head, Dumfries & Galloway",Feachem 1963,Feachem (1963) Guide to Prehistoric Scotland. Batsford
0230,"SC0230 Burrow Head, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0230,"SC0230 Burrow Head, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0231,"SC0231 Burrow Head, Dumfries & Galloway",Feachem 1963,Feachem (1963) Guide to Prehistoric Scotland. Batsford
0231,"SC0231 Burrow Head, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0232,"SC0232 Castle Feather, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0232,"SC0232 Castle Feather, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0233,"SC0233 Eggerness Castle, Dumfries & Galloway",NSA 1834,"NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy, 15v Edinburgh"
0234,"SC0234 Dinnans, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0234,"SC0234 Dinnans, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0235,"SC0235 Dinnans, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0235,"SC0235 Dinnans, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78."
0236,"SC0236 Doon of Carsluith, Dumfries & Galloway",Coles 1893,"Coles, Frederick R (1893) 'The Motes, Forts, and Doons in the East and West Divisions of the Stewartry of Kirkcudbright.' Proc Soc Antiq Scot 27, 92-182."
0236,"SC0236 Doon of Carsluith, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh."
0237,"SC0237 North Balfern, Dumfries & Galloway",RCAHMS 1912,"RCAHMS (1912) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fourth report and inventory of monuments and constructions in Galloway, 1, county of Wigtown, Edinburgh"
0239,"SC0239 Parliament Knowe, Dumfries & Galloway",Coles 1893,"Coles F R (1893) 'The Motes, Forts, and Doons in the East and West Divisions of the Stewartry of Kirkcudbright.'"
0239,"SC0239 Parliament Knowe, Dumfries & Galloway",null,"Proc Soc Antiq Scot 27, 92-182)."
0239,"SC0239 Parliament Knowe, Dumfries & Galloway",Feachem 1955,"Feachem, R W (1955) 'Iron Age and early medieval monuments in Galloway and Dumfriesshire'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 33 (1954-5), 58-65"
0239,"SC0239 Parliament Knowe, Dumfries & Galloway",Morton 1938,"Morton, A S (1938) 'Kirroughtree', Trans Dumfriesshire Galloway Natur Hist Antiq Soc 3 ser, 20, 178"
0239,"SC0239 Parliament Knowe, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0240,"SC0240 Barn Heugh, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0240,"SC0240 Barn Heugh, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland, London (p 130)"
0240,"SC0240 Barn Heugh, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182."
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Feachem 1977,"Feachem, R W (1977) Guide to prehistoric Scotland, London (p 131)"
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Galloway Picts Project n.d.,Galloway Picts Project http
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Horn n.d.,"Horn, J. Forthcoming. The dating of hillforts in Britain and Ireland. Unpublished PhD thesis, University of Edinburgh."
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Stuart 1856,"Stuart, J (1856) Sculptured stones of Scotland, vol.1. Aberdeen"
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Thomas 1960,"Thomas, C (1960) 'Excavations at Trust's Hill, Anwoth, Kirkcudbright, 1960'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 38 (1959-60), 58-70"
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Toolis and Bowles 2013,"Toolis, R and Bowles, C (2013) 'Excavations at Trusty's Hill, 2012'. Trans Dumfriesshire Galloway Natur Hist Antiq Soc, 3 ser, 87 (2012-13), 27-50"
0241,"SC0241 Trusty's Hill, Anwoth, Dumfries & Galloway",Toolis and Bowles 2017,"Toolis, R & Bowles, C (2017) The lost Dark Age kingdom of Rheged. The discovery of a royal stronghold at Trusty's Hill, Galloway. Oxford"
0242,"SC0242 Boreland Wood, Dumfries & Galloway",Devereux and Collin 2002,"Devereux, D and Collin, D (2002) 'Boreland Wood, Dumfries and Galloway (Borgue parish), ?prehistoric hilltop enclosure', Discovery Excav Scot 3, 27"
0243,"SC0243 Court Knowe, High Auchenlarie, Dumfries & Galloway",Ordnance Survey n.d.,"Name Book, Ordnance Survey Object Name Books (6 inch and 1/2500 scale); available http"
0244,"SC0244 Drummore Castle, Dumfries & Galloway",Coles 1891,"Coles, F R (1891) The motes, forts, and doons of The Stewartry of Kirkcudbright. Proc Soc Antiq Scotland 25352-96"
0244,"SC0244 Drummore Castle, Dumfries & Galloway",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland, London (p 130)"
0244,"SC0244 Drummore Castle, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0245,"SC0245 Doon Wood, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0245,"SC0245 Doon Wood, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0246,"SC0246 Muncraig Heugh, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0246,"SC0246 Muncraig Heugh, Dumfries & Galloway",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
0246,"SC0246 Muncraig Heugh, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0246,"SC0246 Muncraig Heugh, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78"
0247,"SC0247 Borness Batteries, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0247,"SC0247 Borness Batteries, Dumfries & Galloway",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
0247,"SC0247 Borness Batteries, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0247,"SC0247 Borness Batteries, Dumfries & Galloway",Toolis 2003,"Toolis, R (2003) 'A study of the promontory forts of the north Solway coast'. Trans Dumfriesshire Galloway natur Hist Antiq Soc 3 Ser, 77, 37-78"
0250,"SC0250 Arden, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0250,"SC0250 Arden, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0251,"SC0251 The Doon, Twynholm, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0251,"SC0251 The Doon, Twynholm, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0252,"SC0252 Castle Hill, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0252,"SC0252 Castle Hill, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0253,"SC0253 Carse Mote, Dumfries & Galloway",Coles 1891,"Coles, F R (1891) 'The motes, forts and doons of the Stewartry of Kirkcudbright (part 1)', Proc Soc Antiq Scot 25, 352-96"
0253,"SC0253 Carse Mote, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0254,"SC0254 Castle Hill, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0254,"SC0254 Castle Hill, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0255,"SC0255 Kirkchrist Mote, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0255,"SC0255 Kirkchrist Mote, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0256,"SC0256 Kirkland Fort, Dumfries & Galloway",Coles 1891,"Coles, F R (1891) 'The motes, forts and doons of the Stewartry of Kirkcudbright (part 1)', Proc Soc Antiq Scot 25, 352-96"
0256,"SC0256 Kirkland Fort, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
0258,"SC0258 Conchieton Doon, Dumfries & Galloway",Coles 1893,"Coles, F R (1893) 'The motes, forts, and doons in the east and west divisions of the Stewartry of Kirkcudbright', Proc Soc Antiq Scot 27, 92-182"
0258,"SC0258 Conchieton Doon, Dumfries & Galloway",RCAHMS 1914,"RCAHMS (1914) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Fifth report and inventory of monuments and constructions in Galloway, II, county of the Stewartry of Kirkcudbright, Edinburgh"
